Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HOME SWEET HOME METAL SIGN,1,5.91,5.91,2010,December,Wednesday,5 PM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2010,December,Friday,12 PM,Weekday
HOME SWEET HOME METAL SIGN,12,2.95,35.4,2010,December,Friday,1 PM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2010,December,Friday,2 PM,Weekday
HOME SWEET HOME METAL SIGN,12,2.95,35.4,2010,December,Friday,5 PM,Weekday
HOME SWEET HOME METAL SIGN,2,2.95,5.9,2010,December,Sunday,12 PM,Weekend
HOME SWEET HOME METAL SIGN,2,2.95,5.9,2010,December,Sunday,1 PM,Weekend
HOME SWEET HOME METAL SIGN,1,5.91,5.91,2010,December,Monday,10 AM,Weekday
HOME SWEET HOME METAL SIGN,1,5.91,5.91,2010,December,Tuesday,6 PM,Weekday
HOME SWEET HOME METAL SIGN,12,2.95,35.4,2010,December,Wednesday,1 PM,Weekday
HOME SWEET HOME METAL SIGN,2,2.95,5.9,2010,December,Thursday,12 PM,Weekday
HOME SWEET HOME METAL SIGN,1,5.91,5.91,2010,December,Thursday,2 PM,Weekday
HOME SWEET HOME METAL SIGN,1,2.95,2.95,2010,December,Thursday,4 PM,Weekday
HOME SWEET HOME METAL SIGN,2,5.91,11.82,2010,December,Friday,9 AM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2010,December,Friday,2 PM,Weekday
HOME SWEET HOME METAL SIGN,3,2.95,8.85,2010,December,Sunday,12 PM,Weekend
HOME SWEET HOME METAL SIGN,4,2.95,11.8,2010,December,Sunday,4 PM,Weekend
HOME SWEET HOME METAL SIGN,4,2.95,11.8,2010,December,Sunday,4 PM,Weekend
HOME SWEET HOME METAL SIGN,1,5.91,5.91,2010,December,Monday,9 AM,Weekday
HOME SWEET HOME METAL SIGN,12,2.95,35.4,2010,December,Monday,9 AM,Weekday
HOME SWEET HOME METAL SIGN,2,2.95,5.9,2010,December,Monday,1 PM,Weekday
HOME SWEET HOME METAL SIGN,1,2.95,2.95,2010,December,Tuesday,1 PM,Weekday
HOME SWEET HOME METAL SIGN,2,2.95,5.9,2010,December,Wednesday,10 AM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2010,December,Thursday,1 PM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2010,December,Thursday,6 PM,Weekday
HOME SWEET HOME METAL SIGN,3,2.95,8.85,2010,December,Monday,11 AM,Weekday
HOME SWEET HOME METAL SIGN,1,2.95,2.95,2011,January,Tuesday,12 PM,Weekday
HOME SWEET HOME METAL SIGN,1,2.95,2.95,2011,January,Tuesday,12 PM,Weekday
HOME SWEET HOME METAL SIGN,1,2.95,2.95,2011,January,Wednesday,12 PM,Weekday
HOME SWEET HOME METAL SIGN,3,2.95,8.85,2011,January,Wednesday,1 PM,Weekday
HOME SWEET HOME METAL SIGN,5,5.91,29.55,2011,January,Monday,9 AM,Weekday
HOME SWEET HOME METAL SIGN,12,2.95,35.4,2011,January,Monday,2 PM,Weekday
HOME SWEET HOME METAL SIGN,12,3.21,38.52,2011,January,Tuesday,8 AM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2011,January,Wednesday,3 PM,Weekday
HOME SWEET HOME METAL SIGN,1,5.79,5.79,2011,January,Thursday,9 AM,Weekday
HOME SWEET HOME METAL SIGN,1,2.95,2.95,2011,January,Thursday,3 PM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2011,January,Friday,11 AM,Weekday
HOME SWEET HOME METAL SIGN,1,2.95,2.95,2011,January,Friday,1 PM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2011,January,Monday,2 PM,Weekday
HOME SWEET HOME METAL SIGN,1,5.79,5.79,2011,January,Tuesday,3 PM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2011,January,Thursday,10 AM,Weekday
HOME SWEET HOME METAL SIGN,12,2.95,35.4,2011,January,Tuesday,11 AM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2011,January,Tuesday,1 PM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2011,January,Tuesday,2 PM,Weekday
HOME SWEET HOME METAL SIGN,1,2.95,2.95,2011,January,Tuesday,5 PM,Weekday
HOME SWEET HOME METAL SIGN,5,2.95,14.75,2011,January,Wednesday,1 PM,Weekday
HOME SWEET HOME METAL SIGN,1,2.95,2.95,2011,January,Friday,12 PM,Weekday
HOME SWEET HOME METAL SIGN,3,2.95,8.85,2011,February,Tuesday,1 PM,Weekday
HOME SWEET HOME METAL SIGN,4,5.79,23.16,2011,February,Tuesday,3 PM,Weekday
HOME SWEET HOME METAL SIGN,1,5.79,5.79,2011,February,Wednesday,12 PM,Weekday
HOME SWEET HOME METAL SIGN,1,2.95,2.95,2011,February,Wednesday,5 PM,Weekday
HOME SWEET HOME METAL SIGN,2,2.95,5.9,2011,February,Thursday,6 PM,Weekday
HOME SWEET HOME METAL SIGN,1,2.95,2.95,2011,February,Sunday,11 AM,Weekend
HOME SWEET HOME METAL SIGN,1,2.95,2.95,2011,February,Monday,2 PM,Weekday
HOME SWEET HOME METAL SIGN,3,2.95,8.85,2011,February,Tuesday,2 PM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2011,February,Thursday,2 PM,Weekday
HOME SWEET HOME METAL SIGN,1,2.95,2.95,2011,February,Sunday,2 PM,Weekend
HOME SWEET HOME METAL SIGN,1,5.79,5.79,2011,February,Tuesday,9 AM,Weekday
HOME SWEET HOME METAL SIGN,72,2.55,183.6,2011,February,Tuesday,9 AM,Weekday
HOME SWEET HOME METAL SIGN,4,2.95,11.8,2011,February,Tuesday,2 PM,Weekday
HOME SWEET HOME METAL SIGN,2,2.95,5.9,2011,February,Wednesday,11 AM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2011,February,Wednesday,1 PM,Weekday
HOME SWEET HOME METAL SIGN,3,2.95,8.85,2011,February,Sunday,12 PM,Weekend
HOME SWEET HOME METAL SIGN,12,2.95,35.4,2011,February,Monday,8 AM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2011,February,Monday,11 AM,Weekday
HOME SWEET HOME METAL SIGN,4,2.95,11.8,2011,February,Monday,3 PM,Weekday
HOME SWEET HOME METAL SIGN,1,2.95,2.95,2011,February,Tuesday,4 PM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2011,February,Wednesday,11 AM,Weekday
HOME SWEET HOME METAL SIGN,1,2.95,2.95,2011,February,Wednesday,12 PM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2011,February,Thursday,10 AM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2011,February,Friday,10 AM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2011,February,Friday,11 AM,Weekday
HOME SWEET HOME METAL SIGN,6,2.95,17.7,2011,February,Friday,12 PM,Weekday
HOME SWEET HOME METAL SIGN,1,5.79,5.79,2011,February,Friday,2 PM,Weekday
