Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
I LOVE LONDON BEAKER,1,1.25,1.25,2011,July,Sunday,4 PM,Weekend
I LOVE LONDON BEAKER,2,1.25,2.5,2011,July,Monday,1 PM,Weekday
I LOVE LONDON BEAKER,1,2.46,2.46,2011,July,Tuesday,4 PM,Weekday
I LOVE LONDON BEAKER,1,1.25,1.25,2011,July,Wednesday,1 PM,Weekday
I LOVE LONDON BEAKER,2,1.25,2.5,2011,July,Thursday,11 AM,Weekday
I LOVE LONDON BEAKER,12,1.25,15.0,2011,July,Friday,12 PM,Weekday
I LOVE LONDON BEAKER,1,2.46,2.46,2011,August,Monday,4 PM,Weekday
I LOVE LONDON BEAKER,12,1.25,15.0,2011,August,Tuesday,10 AM,Weekday
I LOVE LONDON BEAKER,1,1.25,1.25,2011,August,Wednesday,4 PM,Weekday
I LOVE LONDON BEAKER,2,1.25,2.5,2011,August,Thursday,12 PM,Weekday
I LOVE LONDON BEAKER,24,1.25,30.0,2011,August,Thursday,12 PM,Weekday
I LOVE LONDON BEAKER,10,1.25,12.5,2011,August,Friday,2 PM,Weekday
I LOVE LONDON BEAKER,12,1.25,15.0,2011,August,Sunday,3 PM,Weekend
I LOVE LONDON BEAKER,1,1.25,1.25,2011,August,Monday,1 PM,Weekday
I LOVE LONDON BEAKER,1,1.25,1.25,2011,August,Tuesday,1 PM,Weekday
I LOVE LONDON BEAKER,12,1.25,15.0,2011,August,Wednesday,9 AM,Weekday
I LOVE LONDON BEAKER,1,2.46,2.46,2011,August,Thursday,5 PM,Weekday
I LOVE LONDON BEAKER,1,1.25,1.25,2011,August,Sunday,12 PM,Weekend
I LOVE LONDON BEAKER,12,1.25,15.0,2011,August,Tuesday,12 PM,Weekday
I LOVE LONDON BEAKER,12,1.25,15.0,2011,August,Wednesday,9 AM,Weekday
I LOVE LONDON BEAKER,4,1.25,5.0,2011,August,Wednesday,1 PM,Weekday
I LOVE LONDON BEAKER,12,1.25,15.0,2011,August,Thursday,8 AM,Weekday
I LOVE LONDON BEAKER,96,1.25,120.0,2011,August,Thursday,8 AM,Weekday
I LOVE LONDON BEAKER,2,1.25,2.5,2011,August,Sunday,1 PM,Weekend
I LOVE LONDON BEAKER,12,1.25,15.0,2011,August,Tuesday,2 PM,Weekday
I LOVE LONDON BEAKER,2,1.25,2.5,2011,August,Tuesday,3 PM,Weekday
I LOVE LONDON BEAKER,2,1.25,2.5,2011,August,Wednesday,2 PM,Weekday
I LOVE LONDON BEAKER,4,1.25,5.0,2011,August,Wednesday,2 PM,Weekday
