Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
JAM MAKING SET PRINTED,24,1.45,34.8,2010,December,Wednesday,9 AM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Wednesday,9 AM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Wednesday,10 AM,Weekday
JAM MAKING SET PRINTED,4,1.45,5.8,2010,December,Wednesday,11 AM,Weekday
JAM MAKING SET PRINTED,24,1.45,34.8,2010,December,Wednesday,11 AM,Weekday
JAM MAKING SET PRINTED,3,1.45,4.35,2010,December,Wednesday,11 AM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Wednesday,12 PM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Wednesday,12 PM,Weekday
JAM MAKING SET PRINTED,1,1.45,1.45,2010,December,Wednesday,12 PM,Weekday
JAM MAKING SET PRINTED,1,1.45,1.45,2010,December,Wednesday,1 PM,Weekday
JAM MAKING SET PRINTED,24,1.45,34.8,2010,December,Wednesday,1 PM,Weekday
JAM MAKING SET PRINTED,9,3.36,30.24,2010,December,Wednesday,2 PM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Wednesday,4 PM,Weekday
JAM MAKING SET PRINTED,1,3.36,3.36,2010,December,Wednesday,5 PM,Weekday
JAM MAKING SET PRINTED,24,1.45,34.8,2010,December,Thursday,8 AM,Weekday
JAM MAKING SET PRINTED,36,1.45,52.2,2010,December,Thursday,10 AM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Thursday,10 AM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Thursday,10 AM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Thursday,11 AM,Weekday
JAM MAKING SET PRINTED,6,1.45,8.7,2010,December,Thursday,11 AM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Thursday,11 AM,Weekday
JAM MAKING SET PRINTED,2,1.45,2.9,2010,December,Thursday,11 AM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Thursday,11 AM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Thursday,1 PM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Thursday,2 PM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Thursday,2 PM,Weekday
JAM MAKING SET PRINTED,24,1.45,34.8,2010,December,Thursday,4 PM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Thursday,6 PM,Weekday
JAM MAKING SET PRINTED,1,1.45,1.45,2010,December,Friday,11 AM,Weekday
JAM MAKING SET PRINTED,1,1.45,1.45,2010,December,Friday,11 AM,Weekday
JAM MAKING SET PRINTED,6,3.36,20.16,2010,December,Friday,11 AM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Friday,1 PM,Weekday
JAM MAKING SET PRINTED,1,1.45,1.45,2010,December,Friday,2 PM,Weekday
JAM MAKING SET PRINTED,3,1.45,4.35,2010,December,Sunday,10 AM,Weekend
JAM MAKING SET PRINTED,4,1.45,5.8,2010,December,Sunday,1 PM,Weekend
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Sunday,2 PM,Weekend
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Sunday,2 PM,Weekend
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Sunday,3 PM,Weekend
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Monday,8 AM,Weekday
JAM MAKING SET PRINTED,9,3.36,30.24,2010,December,Monday,9 AM,Weekday
JAM MAKING SET PRINTED,6,3.36,20.16,2010,December,Monday,10 AM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Monday,11 AM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Monday,12 PM,Weekday
JAM MAKING SET PRINTED,12,1.45,17.4,2010,December,Monday,2 PM,Weekday
JAM MAKING SET PRINTED,2,1.45,2.9,2010,December,Monday,3 PM,Weekday
