Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
JARDIN ETCHED GLASS CHEESE DISH,2,7.25,14.5,2011,January,Tuesday,1 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,2,7.25,14.5,2011,January,Thursday,1 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,2,7.25,14.5,2011,January,Monday,9 AM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,1,7.25,7.25,2011,January,Monday,1 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,1,7.25,7.25,2011,January,Tuesday,4 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,2,7.25,14.5,2011,January,Wednesday,3 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,2,7.25,14.5,2011,January,Thursday,11 AM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,1,7.25,7.25,2011,January,Sunday,11 AM,Weekend
JARDIN ETCHED GLASS CHEESE DISH,1,7.25,7.25,2011,February,Wednesday,5 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,2,7.25,14.5,2011,February,Tuesday,10 AM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,2,7.25,14.5,2011,February,Sunday,12 PM,Weekend
JARDIN ETCHED GLASS CHEESE DISH,4,7.25,29.0,2011,March,Wednesday,1 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,2,7.25,14.5,2011,March,Thursday,3 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,2,7.25,14.5,2011,March,Sunday,3 PM,Weekend
JARDIN ETCHED GLASS CHEESE DISH,2,7.25,14.5,2011,March,Wednesday,1 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,1,1.95,1.95,2011,March,Wednesday,5 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,1,1.95,1.95,2011,March,Wednesday,5 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,12,1.95,23.4,2011,April,Friday,9 AM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,2,1.95,3.9,2011,April,Monday,1 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,1,1.95,1.95,2011,April,Tuesday,12 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,1,1.95,1.95,2011,April,Tuesday,12 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,12,1.95,23.4,2011,April,Wednesday,1 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,1,1.95,1.95,2011,April,Thursday,12 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,1,1.95,1.95,2011,April,Thursday,12 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,1,1.95,1.95,2011,April,Thursday,1 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,2,1.95,3.9,2011,April,Sunday,3 PM,Weekend
JARDIN ETCHED GLASS CHEESE DISH,12,1.95,23.4,2011,April,Monday,1 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,12,1.95,23.4,2011,April,Tuesday,3 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,1,1.95,1.95,2011,April,Wednesday,12 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,2,1.95,3.9,2011,April,Wednesday,4 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,3,1.95,5.85,2011,April,Thursday,7 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,1,1.95,1.95,2011,April,Thursday,7 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,2,1.95,3.9,2011,April,Monday,10 AM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,5,1.95,9.75,2011,April,Monday,1 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,1,1.95,1.95,2011,April,Monday,4 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,3,1.95,5.85,2011,April,Monday,5 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,12,1.95,23.4,2011,April,Tuesday,2 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,12,1.95,23.4,2011,April,Thursday,12 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,12,1.95,23.4,2011,April,Thursday,4 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,2,1.95,3.9,2011,April,Wednesday,1 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,12,1.95,23.4,2011,April,Wednesday,2 PM,Weekday
JARDIN ETCHED GLASS CHEESE DISH,1,1.95,1.95,2011,May,Sunday,11 AM,Weekend
JARDIN ETCHED GLASS CHEESE DISH,65,1.95,126.75,2011,May,Tuesday,1 PM,Weekday
