Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
JARDIN ETCHED GLASS SMALL BELL JAR,12,4.95,59.4,2010,December,Wednesday,1 PM,Weekday
JARDIN ETCHED GLASS SMALL BELL JAR,4,5.95,23.8,2011,January,Monday,2 PM,Weekday
JARDIN ETCHED GLASS SMALL BELL JAR,1,5.95,5.95,2011,February,Sunday,2 PM,Weekend
JARDIN ETCHED GLASS SMALL BELL JAR,2,11.63,23.26,2011,March,Thursday,6 PM,Weekday
JARDIN ETCHED GLASS SMALL BELL JAR,2,5.95,11.9,2011,March,Friday,5 PM,Weekday
JARDIN ETCHED GLASS SMALL BELL JAR,1,1.95,1.95,2011,April,Monday,12 PM,Weekday
JARDIN ETCHED GLASS SMALL BELL JAR,4,1.95,7.8,2011,April,Monday,12 PM,Weekday
JARDIN ETCHED GLASS SMALL BELL JAR,8,1.95,15.6,2011,April,Tuesday,12 PM,Weekday
JARDIN ETCHED GLASS SMALL BELL JAR,9,1.95,17.55,2011,April,Thursday,12 PM,Weekday
JARDIN ETCHED GLASS SMALL BELL JAR,2,1.95,3.9,2011,April,Thursday,1 PM,Weekday
