Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
JAZZ HEARTS PURSE NOTEBOOK,9,0.85,7.65,2010,December,Wednesday,11 AM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,1,1.66,1.66,2010,December,Wednesday,2 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,12,0.85,10.2,2010,December,Thursday,11 AM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,3,0.85,2.55,2010,December,Sunday,12 PM,Weekend
JAZZ HEARTS PURSE NOTEBOOK,4,1.66,6.64,2010,December,Tuesday,6 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,12,0.85,10.2,2010,December,Wednesday,11 AM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,3,0.85,2.55,2010,December,Wednesday,12 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,1,0.85,0.85,2010,December,Wednesday,12 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,1,1.66,1.66,2010,December,Friday,4 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,12,0.85,10.2,2010,December,Sunday,2 PM,Weekend
JAZZ HEARTS PURSE NOTEBOOK,5,0.85,4.25,2011,January,Sunday,11 AM,Weekend
JAZZ HEARTS PURSE NOTEBOOK,3,0.85,2.55,2011,January,Tuesday,12 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,6,0.85,5.1,2011,January,Tuesday,12 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,12,0.85,10.2,2011,January,Thursday,2 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,6,0.85,5.1,2011,January,Tuesday,1 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,4,0.85,3.4,2011,January,Thursday,3 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,3,0.85,2.55,2011,January,Monday,11 AM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,1,0.85,0.85,2011,January,Monday,3 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,6,0.85,5.1,2011,February,Monday,2 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,11,1.63,17.93,2011,February,Monday,12 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,2,0.85,1.7,2011,February,Thursday,2 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,1,1.63,1.63,2011,February,Wednesday,3 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,2,0.85,1.7,2011,February,Sunday,1 PM,Weekend
JAZZ HEARTS PURSE NOTEBOOK,12,0.85,10.2,2011,March,Wednesday,2 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,12,0.85,10.2,2011,March,Thursday,9 AM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,3,0.85,2.55,2011,March,Tuesday,12 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,3,0.85,2.55,2011,March,Monday,11 AM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,4,1.63,6.52,2011,March,Thursday,6 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,2,0.85,1.7,2011,March,Friday,1 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,8,0.85,6.8,2011,March,Friday,1 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,2,0.85,1.7,2011,March,Thursday,12 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,4,0.85,3.4,2011,March,Thursday,11 AM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,1,1.63,1.63,2011,March,Thursday,4 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,12,0.85,10.2,2011,April,Friday,11 AM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,6,0.85,5.1,2011,April,Thursday,11 AM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,1,1.63,1.63,2011,April,Friday,3 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,24,0.85,20.4,2011,April,Sunday,3 PM,Weekend
JAZZ HEARTS PURSE NOTEBOOK,4,0.85,3.4,2011,April,Thursday,12 PM,Weekday
JAZZ HEARTS PURSE NOTEBOOK,3,0.85,2.55,2011,April,Sunday,12 PM,Weekend
