Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
JIGSAW RABBIT AND BIRDHOUSE,2,1.65,3.3,2010,December,Monday,11 AM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,1,1.65,1.65,2010,December,Thursday,2 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,2,1.65,3.3,2011,January,Sunday,12 PM,Weekend
JIGSAW RABBIT AND BIRDHOUSE,3,1.65,4.95,2011,January,Tuesday,12 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,3,1.65,4.95,2011,January,Wednesday,11 AM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,1,1.65,1.65,2011,February,Tuesday,2 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,1,1.65,1.65,2011,February,Thursday,11 AM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,12,1.65,19.8,2011,February,Friday,11 AM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,3,1.65,4.95,2011,February,Tuesday,2 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,12,1.65,19.8,2011,February,Thursday,12 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,8,1.65,13.2,2011,February,Sunday,12 PM,Weekend
JIGSAW RABBIT AND BIRDHOUSE,2,1.65,3.3,2011,February,Sunday,3 PM,Weekend
JIGSAW RABBIT AND BIRDHOUSE,1,1.65,1.65,2011,February,Tuesday,11 AM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,3,1.65,4.95,2011,February,Wednesday,10 AM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,1,3.29,3.29,2011,February,Monday,6 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,1,3.29,3.29,2011,February,Monday,4 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,1,1.65,1.65,2011,March,Tuesday,1 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,3,1.65,4.95,2011,March,Tuesday,4 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,1,3.29,3.29,2011,March,Friday,4 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,12,1.65,19.8,2011,March,Thursday,12 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,1,1.65,1.65,2011,March,Thursday,3 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,24,1.65,39.6,2011,March,Tuesday,3 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,12,1.65,19.8,2011,March,Wednesday,2 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,12,1.65,19.8,2011,March,Thursday,3 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,1,3.29,3.29,2011,March,Thursday,6 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,1,1.65,1.65,2011,March,Friday,2 PM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,1,1.65,1.65,2011,March,Sunday,1 PM,Weekend
JIGSAW RABBIT AND BIRDHOUSE,24,1.65,39.6,2011,March,Monday,8 AM,Weekday
JIGSAW RABBIT AND BIRDHOUSE,12,1.65,19.8,2011,March,Tuesday,12 PM,Weekday
