Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,10,2.95,29.5,2010,December,Wednesday,9 AM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,4,2.95,11.8,2010,December,Wednesday,11 AM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,10,2.95,29.5,2010,December,Thursday,6 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,2,2.95,5.9,2010,December,Sunday,1 PM,Weekend
JUMBO BAG CHARLIE AND LOLA TOYS,2,2.95,5.9,2010,December,Monday,12 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,1,2.95,2.95,2010,December,Tuesday,1 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,1,5.49,5.49,2010,December,Tuesday,3 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,1,5.49,5.49,2010,December,Tuesday,3 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,1,5.91,5.91,2010,December,Tuesday,6 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,1,5.49,5.49,2010,December,Thursday,4 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,3,2.95,8.85,2010,December,Sunday,4 PM,Weekend
JUMBO BAG CHARLIE AND LOLA TOYS,1,5.91,5.91,2010,December,Monday,11 AM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,1,2.95,2.95,2010,December,Tuesday,10 AM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,2,2.95,5.9,2010,December,Tuesday,11 AM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,10,2.95,29.5,2010,December,Thursday,12 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,3,5.91,17.73,2010,December,Monday,1 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,1,5.49,5.49,2010,December,Tuesday,3 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,1,5.49,5.49,2010,December,Tuesday,3 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,1,5.49,5.49,2010,December,Tuesday,3 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,26,2.51,65.26,2010,December,Thursday,1 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,36,2.51,90.36,2011,January,Tuesday,1 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,1,2.95,2.95,2011,January,Tuesday,3 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,2,2.51,5.02,2011,January,Wednesday,11 AM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,4,2.51,10.04,2011,January,Wednesday,4 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,8,2.51,20.08,2011,January,Thursday,2 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,9,2.51,22.59,2011,January,Friday,11 AM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,14,2.51,35.14,2011,January,Friday,1 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,14,2.51,35.14,2011,January,Monday,9 AM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,15,2.51,37.65,2011,January,Monday,2 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,11,2.51,27.61,2011,January,Monday,4 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,7,2.51,17.57,2011,January,Tuesday,1 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,16,2.51,40.16,2011,January,Wednesday,9 AM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,12,2.51,30.12,2011,January,Wednesday,3 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,14,2.46,34.44,2011,January,Thursday,9 AM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,24,2.46,59.04,2011,January,Thursday,2 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,1,5.38,5.38,2011,January,Friday,10 AM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,10,2.46,24.6,2011,January,Friday,2 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,17,2.46,41.82,2011,January,Monday,5 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,8,2.46,19.68,2011,January,Monday,5 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,9,2.46,22.14,2011,January,Monday,5 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,9,2.46,22.14,2011,January,Monday,5 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,11,2.46,27.06,2011,January,Tuesday,3 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,6,2.46,14.76,2011,January,Tuesday,5 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,7,2.46,17.22,2011,January,Wednesday,3 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,17,2.46,41.82,2011,January,Thursday,6 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,16,2.46,39.36,2011,January,Thursday,6 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,2,2.95,5.9,2011,January,Friday,2 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,3,5.38,16.14,2011,January,Friday,3 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,17,2.46,41.82,2011,January,Friday,5 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,4,2.46,9.84,2011,January,Friday,5 PM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,1,2.95,2.95,2011,January,Sunday,12 PM,Weekend
JUMBO BAG CHARLIE AND LOLA TOYS,1,5.79,5.79,2011,January,Monday,9 AM,Weekday
JUMBO BAG CHARLIE AND LOLA TOYS,10,2.95,29.5,2011,January,Tuesday,10 AM,Weekday
