Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2010,December,Thursday,5 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2010,December,Monday,2 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2010,December,Monday,2 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2010,December,Tuesday,5 PM,Weekday
KEY CABINET MA CAMPAGNE,1,20.38,20.38,2010,December,Thursday,2 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2010,December,Thursday,2 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2010,December,Thursday,4 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2010,December,Thursday,7 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2010,December,Thursday,7 PM,Weekday
KEY CABINET MA CAMPAGNE,1,20.38,20.38,2010,December,Friday,2 PM,Weekday
KEY CABINET MA CAMPAGNE,1,20.38,20.38,2010,December,Friday,5 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,January,Tuesday,11 AM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,January,Wednesday,12 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,January,Wednesday,12 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,January,Thursday,9 AM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,January,Friday,10 AM,Weekday
KEY CABINET MA CAMPAGNE,1,19.96,19.96,2011,January,Thursday,2 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,January,Friday,9 AM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,January,Monday,4 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,January,Wednesday,2 PM,Weekday
KEY CABINET MA CAMPAGNE,12,8.5,102.0,2011,January,Monday,11 AM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,January,Tuesday,2 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,January,Wednesday,2 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,February,Tuesday,10 AM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,February,Monday,1 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,February,Wednesday,1 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,February,Monday,3 PM,Weekday
KEY CABINET MA CAMPAGNE,4,9.95,39.8,2011,March,Tuesday,2 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,March,Sunday,11 AM,Weekend
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,March,Sunday,12 PM,Weekend
KEY CABINET MA CAMPAGNE,1,19.96,19.96,2011,March,Monday,5 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,March,Monday,11 AM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,March,Tuesday,10 AM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,March,Wednesday,9 AM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,March,Wednesday,12 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,March,Friday,10 AM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,March,Friday,12 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,March,Sunday,11 AM,Weekend
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,March,Sunday,3 PM,Weekend
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,March,Sunday,4 PM,Weekend
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,April,Friday,2 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,April,Friday,9 AM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,April,Friday,11 AM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,April,Friday,9 AM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,April,Thursday,3 PM,Weekday
KEY CABINET MA CAMPAGNE,8,9.95,79.6,2011,May,Thursday,3 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,May,Wednesday,10 AM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,May,Wednesday,12 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,May,Thursday,8 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,May,Friday,10 AM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,May,Monday,11 AM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,June,Tuesday,12 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,June,Thursday,11 AM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,June,Friday,12 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,June,Sunday,3 PM,Weekend
KEY CABINET MA CAMPAGNE,1,19.96,19.96,2011,June,Wednesday,3 PM,Weekday
KEY CABINET MA CAMPAGNE,1,19.96,19.96,2011,June,Monday,9 AM,Weekday
KEY CABINET MA CAMPAGNE,4,9.95,39.8,2011,June,Thursday,11 AM,Weekday
KEY CABINET MA CAMPAGNE,1,19.96,19.96,2011,July,Thursday,4 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,July,Monday,5 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,July,Tuesday,2 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,July,Sunday,1 PM,Weekend
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,July,Monday,8 AM,Weekday
KEY CABINET MA CAMPAGNE,4,9.95,39.8,2011,July,Monday,10 AM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,July,Friday,3 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,August,Tuesday,12 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,August,Tuesday,1 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,August,Wednesday,2 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,August,Tuesday,10 AM,Weekday
KEY CABINET MA CAMPAGNE,2,19.96,39.92,2011,August,Tuesday,12 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,August,Wednesday,1 PM,Weekday
KEY CABINET MA CAMPAGNE,1,19.96,19.96,2011,August,Wednesday,3 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,September,Thursday,6 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,September,Friday,5 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,September,Tuesday,2 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,September,Thursday,11 AM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,September,Thursday,1 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,September,Tuesday,11 AM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,September,Sunday,3 PM,Weekend
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,September,Thursday,7 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,September,Tuesday,12 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,September,Thursday,12 PM,Weekday
KEY CABINET MA CAMPAGNE,3,9.95,29.85,2011,February,Tuesday,12 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,February,Thursday,4 PM,Weekday
KEY CABINET MA CAMPAGNE,1,19.96,19.96,2011,February,Thursday,4 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,February,Sunday,1 PM,Weekend
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,February,Sunday,3 PM,Weekend
KEY CABINET MA CAMPAGNE,4,8.5,34.0,2011,February,Sunday,1 PM,Weekend
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,February,Wednesday,3 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,February,Tuesday,11 AM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,February,Sunday,1 PM,Weekend
KEY CABINET MA CAMPAGNE,1,19.96,19.96,2011,January,Wednesday,3 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,January,Friday,10 AM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,January,Friday,5 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,January,Sunday,1 PM,Weekend
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,January,Sunday,4 PM,Weekend
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,January,Monday,2 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,January,Wednesday,3 PM,Weekday
KEY CABINET MA CAMPAGNE,1,9.95,9.95,2011,January,Sunday,11 AM,Weekend
KEY CABINET MA CAMPAGNE,8,8.5,68.0,2011,January,Wednesday,3 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,January,Friday,1 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,January,Tuesday,10 AM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,December,Friday,3 PM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,December,Friday,5 PM,Weekday
KEY CABINET MA CAMPAGNE,4,9.95,39.8,2011,December,Wednesday,11 AM,Weekday
KEY CABINET MA CAMPAGNE,1,19.96,19.96,2011,December,Thursday,9 AM,Weekday
KEY CABINET MA CAMPAGNE,2,9.95,19.9,2011,December,Thursday,11 AM,Weekday
KEY CABINET MA CAMPAGNE,1,19.96,19.96,2011,December,Thursday,4 PM,Weekday
KEY CABINET MA CAMPAGNE,1,19.96,19.96,2011,December,Friday,10 AM,Weekday
