Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
KITTY PENCIL ERASERS,1,0.43,0.43,2010,December,Wednesday,2 PM,Weekday
KITTY PENCIL ERASERS,1,0.43,0.43,2010,December,Wednesday,5 PM,Weekday
KITTY PENCIL ERASERS,2,0.43,0.86,2010,December,Monday,4 PM,Weekday
KITTY PENCIL ERASERS,6,0.43,2.58,2010,December,Tuesday,3 PM,Weekday
KITTY PENCIL ERASERS,2,0.43,0.86,2010,December,Tuesday,6 PM,Weekday
KITTY PENCIL ERASERS,2,0.43,0.86,2010,December,Thursday,2 PM,Weekday
KITTY PENCIL ERASERS,1,0.21,0.21,2010,December,Friday,11 AM,Weekday
KITTY PENCIL ERASERS,1,0.43,0.43,2010,December,Monday,11 AM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2010,December,Thursday,2 PM,Weekday
KITTY PENCIL ERASERS,12,0.21,2.52,2010,December,Thursday,7 PM,Weekday
KITTY PENCIL ERASERS,1,0.43,0.43,2010,December,Friday,2 PM,Weekday
KITTY PENCIL ERASERS,1,0.43,0.43,2010,December,Friday,2 PM,Weekday
KITTY PENCIL ERASERS,2,0.43,0.86,2011,January,Tuesday,1 PM,Weekday
KITTY PENCIL ERASERS,3,0.21,0.63,2011,January,Friday,2 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,January,Monday,1 PM,Weekday
KITTY PENCIL ERASERS,1,0.42,0.42,2011,January,Monday,5 PM,Weekday
KITTY PENCIL ERASERS,1,0.42,0.42,2011,January,Thursday,6 PM,Weekday
KITTY PENCIL ERASERS,2,0.42,0.84,2011,January,Friday,5 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,January,Monday,2 PM,Weekday
KITTY PENCIL ERASERS,1,0.42,0.42,2011,January,Tuesday,10 AM,Weekday
KITTY PENCIL ERASERS,56,0.21,11.76,2011,January,Tuesday,11 AM,Weekday
KITTY PENCIL ERASERS,4,0.21,0.84,2011,February,Wednesday,5 PM,Weekday
KITTY PENCIL ERASERS,8,0.42,3.36,2011,February,Tuesday,4 PM,Weekday
KITTY PENCIL ERASERS,6,0.42,2.52,2011,February,Wednesday,3 PM,Weekday
KITTY PENCIL ERASERS,1,0.42,0.42,2011,February,Thursday,6 PM,Weekday
KITTY PENCIL ERASERS,8,0.21,1.68,2011,March,Friday,2 PM,Weekday
KITTY PENCIL ERASERS,6,0.21,1.26,2011,March,Monday,2 PM,Weekday
KITTY PENCIL ERASERS,1,0.42,0.42,2011,March,Tuesday,3 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,March,Wednesday,11 AM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,March,Thursday,1 PM,Weekday
KITTY PENCIL ERASERS,1,0.42,0.42,2011,March,Thursday,6 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,March,Thursday,8 PM,Weekday
KITTY PENCIL ERASERS,1,0.21,0.21,2011,March,Wednesday,12 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,April,Monday,9 AM,Weekday
KITTY PENCIL ERASERS,13,0.21,2.73,2011,April,Monday,12 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,April,Monday,8 AM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,April,Tuesday,2 PM,Weekday
KITTY PENCIL ERASERS,1,0.42,0.42,2011,April,Tuesday,3 PM,Weekday
KITTY PENCIL ERASERS,1,0.21,0.21,2011,May,Thursday,12 PM,Weekday
KITTY PENCIL ERASERS,1,0.42,0.42,2011,May,Thursday,3 PM,Weekday
KITTY PENCIL ERASERS,1,0.42,0.42,2011,May,Friday,3 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,May,Sunday,11 AM,Weekend
KITTY PENCIL ERASERS,28,0.21,5.88,2011,May,Wednesday,3 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,May,Thursday,9 AM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,May,Thursday,12 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,May,Wednesday,12 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,May,Sunday,11 AM,Weekend
KITTY PENCIL ERASERS,26,0.21,5.46,2011,May,Sunday,2 PM,Weekend
KITTY PENCIL ERASERS,6,0.42,2.52,2011,June,Friday,5 PM,Weekday
KITTY PENCIL ERASERS,1,0.42,0.42,2011,June,Monday,3 PM,Weekday
KITTY PENCIL ERASERS,2,0.21,0.42,2011,July,Sunday,12 PM,Weekend
KITTY PENCIL ERASERS,1,0.42,0.42,2011,July,Monday,10 AM,Weekday
KITTY PENCIL ERASERS,2,0.21,0.42,2011,July,Monday,1 PM,Weekday
KITTY PENCIL ERASERS,12,0.21,2.52,2011,July,Thursday,2 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,July,Tuesday,10 AM,Weekday
KITTY PENCIL ERASERS,10,0.21,2.1,2011,July,Thursday,11 AM,Weekday
KITTY PENCIL ERASERS,1,0.42,0.42,2011,July,Thursday,4 PM,Weekday
KITTY PENCIL ERASERS,6,0.42,2.52,2011,July,Friday,4 PM,Weekday
KITTY PENCIL ERASERS,112,0.16,17.92,2011,July,Thursday,12 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,July,Monday,10 AM,Weekday
KITTY PENCIL ERASERS,1,0.42,0.42,2011,July,Tuesday,4 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,July,Thursday,10 AM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,August,Wednesday,12 PM,Weekday
KITTY PENCIL ERASERS,1,0.42,0.42,2011,August,Friday,4 PM,Weekday
KITTY PENCIL ERASERS,2,0.42,0.84,2011,August,Wednesday,4 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,August,Friday,1 PM,Weekday
KITTY PENCIL ERASERS,1,0.42,0.42,2011,August,Tuesday,12 PM,Weekday
KITTY PENCIL ERASERS,1,0.42,0.42,2011,August,Tuesday,12 PM,Weekday
KITTY PENCIL ERASERS,2,0.42,0.84,2011,August,Wednesday,3 PM,Weekday
KITTY PENCIL ERASERS,1,0.42,0.42,2011,September,Friday,9 AM,Weekday
KITTY PENCIL ERASERS,30,0.21,6.3,2011,September,Sunday,1 PM,Weekend
KITTY PENCIL ERASERS,2,0.21,0.42,2011,September,Sunday,12 PM,Weekend
KITTY PENCIL ERASERS,1,0.42,0.42,2011,September,Wednesday,3 PM,Weekday
KITTY PENCIL ERASERS,4,0.42,1.68,2011,September,Wednesday,3 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,September,Thursday,1 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,September,Wednesday,11 AM,Weekday
KITTY PENCIL ERASERS,1,0.21,0.21,2011,September,Wednesday,3 PM,Weekday
KITTY PENCIL ERASERS,28,0.21,5.88,2011,February,Sunday,1 PM,Weekend
KITTY PENCIL ERASERS,1,0.42,0.42,2011,February,Monday,4 PM,Weekday
