Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
LADIES & GENTLEMEN METAL SIGN,1,2.55,2.55,2010,December,Wednesday,11 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,12,2.55,30.6,2010,December,Wednesday,1 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,5.06,5.06,2010,December,Wednesday,5 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,12,2.55,30.6,2010,December,Thursday,11 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,2,5.06,10.12,2010,December,Friday,11 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,2.55,2.55,2010,December,Sunday,10 AM,Weekend
LADIES & GENTLEMEN METAL SIGN,1,2.55,2.55,2010,December,Sunday,11 AM,Weekend
LADIES & GENTLEMEN METAL SIGN,2,2.55,5.1,2010,December,Sunday,1 PM,Weekend
LADIES & GENTLEMEN METAL SIGN,1,2.55,2.55,2010,December,Sunday,4 PM,Weekend
LADIES & GENTLEMEN METAL SIGN,1,5.06,5.06,2010,December,Monday,9 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,5.06,5.06,2010,December,Monday,10 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,2,2.55,5.1,2010,December,Monday,12 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,2,5.06,10.12,2010,December,Monday,4 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2010,December,Tuesday,1 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,5.06,5.06,2010,December,Tuesday,3 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,5.06,5.06,2010,December,Tuesday,3 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,5.06,5.06,2010,December,Tuesday,6 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2010,December,Wednesday,10 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2010,December,Wednesday,10 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,12,2.55,30.6,2010,December,Wednesday,11 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2010,December,Wednesday,1 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,24,2.55,61.2,2010,December,Wednesday,3 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,12,2.55,30.6,2010,December,Wednesday,4 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2010,December,Thursday,8 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,12,2.55,30.6,2010,December,Thursday,9 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,3,2.55,7.65,2010,December,Thursday,12 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,12,2.55,30.6,2010,December,Thursday,3 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,5.06,5.06,2010,December,Thursday,4 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,3,2.55,7.65,2010,December,Thursday,4 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,5.06,5.06,2010,December,Friday,9 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,12,2.55,30.6,2010,December,Friday,9 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2010,December,Friday,2 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2010,December,Friday,2 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,5.06,5.06,2010,December,Friday,2 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,4,2.55,10.2,2010,December,Sunday,12 PM,Weekend
LADIES & GENTLEMEN METAL SIGN,12,2.55,30.6,2010,December,Sunday,12 PM,Weekend
LADIES & GENTLEMEN METAL SIGN,1,5.06,5.06,2010,December,Monday,9 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,5.06,5.06,2010,December,Monday,11 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,2,2.55,5.1,2010,December,Tuesday,11 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,2,2.55,5.1,2010,December,Tuesday,2 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2010,December,Tuesday,2 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,5.06,5.06,2010,December,Tuesday,3 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,2,2.55,5.1,2010,December,Wednesday,10 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,48,2.1,100.8,2010,December,Wednesday,11 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,12,2.55,30.6,2010,December,Wednesday,12 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2010,December,Wednesday,2 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2010,December,Thursday,9 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,144,1.69,243.36,2010,December,Thursday,10 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,144,1.69,243.36,2010,December,Thursday,10 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2010,December,Thursday,12 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,12,2.55,30.6,2010,December,Thursday,4 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,2,5.06,10.12,2010,December,Friday,2 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,5.06,5.06,2010,December,Friday,2 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,2,2.55,5.1,2010,December,Monday,11 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,5.06,5.06,2010,December,Monday,3 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,2,2.55,5.1,2010,December,Monday,3 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,12,2.55,30.6,2010,December,Monday,4 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,2,5.06,10.12,2010,December,Tuesday,3 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,5.06,5.06,2010,December,Tuesday,3 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,2,2.55,5.1,2010,December,Tuesday,4 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,2.55,2.55,2010,December,Thursday,4 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,12,2.55,30.6,2011,January,Tuesday,1 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,12,2.55,30.6,2011,January,Tuesday,2 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2011,January,Tuesday,3 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,2.55,2.55,2011,January,Tuesday,3 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2011,January,Friday,4 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,12,2.55,30.6,2011,January,Sunday,10 AM,Weekend
LADIES & GENTLEMEN METAL SIGN,4,2.55,10.2,2011,January,Sunday,11 AM,Weekend
LADIES & GENTLEMEN METAL SIGN,1,5.06,5.06,2011,January,Monday,9 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2011,January,Tuesday,12 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,4.96,4.96,2011,January,Thursday,9 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,2,2.55,5.1,2011,January,Thursday,12 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,4.96,4.96,2011,January,Thursday,2 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,2.55,2.55,2011,January,Sunday,12 PM,Weekend
LADIES & GENTLEMEN METAL SIGN,12,2.55,30.6,2011,January,Monday,11 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2011,January,Monday,2 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,2.55,2.55,2011,January,Monday,4 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,2.55,2.55,2011,January,Monday,4 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,2,4.96,9.92,2011,January,Tuesday,3 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2011,January,Wednesday,9 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,2.55,2.55,2011,January,Wednesday,11 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,4.96,4.96,2011,January,Wednesday,3 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,48,2.1,100.8,2011,January,Thursday,2 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2011,January,Friday,11 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,3,2.55,7.65,2011,January,Sunday,12 PM,Weekend
LADIES & GENTLEMEN METAL SIGN,2,2.55,5.1,2011,January,Sunday,1 PM,Weekend
LADIES & GENTLEMEN METAL SIGN,1,2.55,2.55,2011,January,Sunday,1 PM,Weekend
LADIES & GENTLEMEN METAL SIGN,1,2.55,2.55,2011,January,Sunday,2 PM,Weekend
LADIES & GENTLEMEN METAL SIGN,96,2.1,201.6,2011,January,Sunday,4 PM,Weekend
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2011,January,Tuesday,1 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,2.55,2.55,2011,January,Tuesday,1 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,2.55,2.55,2011,January,Tuesday,1 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,2.55,2.55,2011,January,Wednesday,2 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,4.96,4.96,2011,January,Wednesday,4 PM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2011,January,Thursday,9 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2011,January,Thursday,10 AM,Weekday
LADIES & GENTLEMEN METAL SIGN,1,2.55,2.55,2011,January,Sunday,11 AM,Weekend
LADIES & GENTLEMEN METAL SIGN,12,2.55,30.6,2011,January,Sunday,11 AM,Weekend
LADIES & GENTLEMEN METAL SIGN,1,4.96,4.96,2011,January,Monday,9 AM,Weekday
