Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
LADLE LOVE HEART PINK,5,0.85,4.25,2010,December,Wednesday,2 PM,Weekday
LADLE LOVE HEART PINK,1,0.42,0.42,2010,December,Wednesday,4 PM,Weekday
LADLE LOVE HEART PINK,4,0.85,3.4,2010,December,Wednesday,5 PM,Weekday
LADLE LOVE HEART PINK,1,0.85,0.85,2010,December,Friday,11 AM,Weekday
LADLE LOVE HEART PINK,12,0.42,5.04,2010,December,Sunday,2 PM,Weekend
LADLE LOVE HEART PINK,6,0.42,2.52,2010,December,Sunday,3 PM,Weekend
LADLE LOVE HEART PINK,1,0.85,0.85,2010,December,Monday,9 AM,Weekday
LADLE LOVE HEART PINK,1,0.85,0.85,2010,December,Monday,10 AM,Weekday
LADLE LOVE HEART PINK,3,0.85,2.55,2010,December,Tuesday,3 PM,Weekday
LADLE LOVE HEART PINK,1,0.85,0.85,2010,December,Tuesday,3 PM,Weekday
LADLE LOVE HEART PINK,1,0.85,0.85,2010,December,Wednesday,2 PM,Weekday
LADLE LOVE HEART PINK,1,0.85,0.85,2010,December,Thursday,2 PM,Weekday
LADLE LOVE HEART PINK,2,0.85,1.7,2010,December,Tuesday,3 PM,Weekday
