Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
LANDMARK FRAME CAMDEN TOWN,3,12.5,37.5,2011,February,Thursday,10 AM,Weekday
LANDMARK FRAME CAMDEN TOWN,3,12.5,37.5,2011,February,Thursday,11 AM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,February,Thursday,12 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,February,Thursday,3 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,300,10.95,3285.0,2011,February,Friday,12 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,February,Sunday,12 PM,Weekend
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,February,Sunday,2 PM,Weekend
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,February,Sunday,4 PM,Weekend
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,February,Monday,1 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,3,12.5,37.5,2011,February,Monday,2 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,February,Monday,2 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,February,Wednesday,4 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,3,12.5,37.5,2011,February,Thursday,1 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,February,Thursday,1 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,2,12.5,25.0,2011,February,Thursday,2 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,24,10.95,262.8,2011,February,Friday,10 AM,Weekday
LANDMARK FRAME CAMDEN TOWN,2,12.5,25.0,2011,February,Sunday,1 PM,Weekend
LANDMARK FRAME CAMDEN TOWN,2,12.5,25.0,2011,February,Monday,5 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,3,12.5,37.5,2011,January,Tuesday,11 AM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Tuesday,2 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Sunday,12 PM,Weekend
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Sunday,12 PM,Weekend
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Sunday,12 PM,Weekend
LANDMARK FRAME CAMDEN TOWN,2,12.5,25.0,2011,January,Sunday,1 PM,Weekend
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Sunday,1 PM,Weekend
LANDMARK FRAME CAMDEN TOWN,3,12.5,37.5,2011,January,Monday,1 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Monday,1 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Tuesday,11 AM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Wednesday,5 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Thursday,2 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Friday,2 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Sunday,12 PM,Weekend
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Sunday,2 PM,Weekend
LANDMARK FRAME CAMDEN TOWN,2,12.5,25.0,2011,January,Monday,11 AM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Monday,1 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Monday,2 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,2,12.5,25.0,2011,January,Monday,3 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Tuesday,12 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Tuesday,12 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Tuesday,12 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,3,12.5,37.5,2011,January,Tuesday,2 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,24.96,24.96,2011,January,Wednesday,3 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Friday,11 AM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,24.96,24.96,2011,January,Friday,3 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Sunday,12 PM,Weekend
LANDMARK FRAME CAMDEN TOWN,2,12.5,25.0,2011,January,Sunday,2 PM,Weekend
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Sunday,2 PM,Weekend
LANDMARK FRAME CAMDEN TOWN,2,12.5,25.0,2011,January,Sunday,3 PM,Weekend
LANDMARK FRAME CAMDEN TOWN,3,12.5,37.5,2011,January,Monday,12 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,24.96,24.96,2011,January,Tuesday,3 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Wednesday,12 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,3,12.5,37.5,2011,January,Wednesday,1 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,3,12.5,37.5,2011,January,Wednesday,2 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,9,10.95,98.55,2011,January,Wednesday,3 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,2,12.5,25.0,2011,January,Thursday,1 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,3,12.5,37.5,2011,January,Friday,12 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,6,12.5,75.0,2011,January,Friday,2 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Sunday,1 PM,Weekend
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Tuesday,12 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,3,12.5,37.5,2011,January,Wednesday,10 AM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,12.5,12.5,2011,January,Wednesday,10 AM,Weekday
LANDMARK FRAME CAMDEN TOWN,1,24.96,24.96,2011,December,Thursday,4 PM,Weekday
LANDMARK FRAME CAMDEN TOWN,2,12.5,25.0,2011,December,Thursday,7 PM,Weekday
