Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2010,December,Thursday,6 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2010,December,Friday,12 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2010,December,Sunday,12 PM,Weekend
LARGE CAKE STAND  HANGING STRAWBERY,6,9.95,59.7,2010,December,Tuesday,1 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2010,December,Wednesday,1 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,4,9.95,39.8,2010,December,Wednesday,10 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2010,December,Wednesday,4 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2010,December,Thursday,10 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2010,December,Friday,8 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2010,December,Monday,4 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,January,Thursday,4 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,January,Sunday,3 PM,Weekend
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,January,Tuesday,2 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,12,8.5,102.0,2011,January,Wednesday,1 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,January,Monday,3 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,January,Tuesday,1 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,12,8.5,102.0,2011,January,Friday,2 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,January,Wednesday,1 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,January,Thursday,6 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,February,Thursday,1 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,February,Wednesday,2 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,20.79,20.79,2011,February,Monday,9 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,20.79,20.79,2011,February,Monday,6 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,February,Thursday,10 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,February,Thursday,6 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,February,Monday,10 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,February,Monday,12 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,March,Wednesday,11 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,6,9.95,59.7,2011,March,Thursday,6 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,March,Sunday,3 PM,Weekend
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,March,Tuesday,2 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,March,Wednesday,12 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,4,9.95,39.8,2011,March,Thursday,1 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,March,Monday,11 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,March,Tuesday,1 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,March,Friday,1 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,March,Monday,3 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,4,9.95,39.8,2011,March,Thursday,11 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,4,9.95,39.8,2011,March,Thursday,12 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,March,Friday,10 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,March,Monday,10 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,20.79,20.79,2011,March,Thursday,4 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,20.79,20.79,2011,March,Thursday,4 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,April,Friday,1 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,4,9.95,39.8,2011,April,Tuesday,8 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,April,Tuesday,9 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,April,Tuesday,11 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,April,Thursday,9 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,April,Friday,9 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,April,Sunday,10 AM,Weekend
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,April,Sunday,12 PM,Weekend
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,April,Sunday,12 PM,Weekend
LARGE CAKE STAND  HANGING STRAWBERY,1,20.79,20.79,2011,April,Thursday,4 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,May,Sunday,12 PM,Weekend
LARGE CAKE STAND  HANGING STRAWBERY,12,8.5,102.0,2011,May,Wednesday,11 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,May,Friday,8 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,May,Friday,9 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,20.79,41.58,2011,May,Monday,4 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,May,Tuesday,10 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,May,Wednesday,12 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,20.79,20.79,2011,May,Wednesday,3 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,May,Thursday,1 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,3,9.95,29.85,2011,May,Friday,11 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,May,Friday,1 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,May,Monday,1 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,4,9.95,39.8,2011,May,Monday,2 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,32,6.79,217.28,2011,May,Tuesday,11 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,20.79,20.79,2011,May,Wednesday,4 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,4,9.95,39.8,2011,May,Thursday,5 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,4,9.95,39.8,2011,May,Friday,12 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,May,Sunday,11 AM,Weekend
LARGE CAKE STAND  HANGING STRAWBERY,4,9.95,39.8,2011,May,Monday,2 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,20.79,20.79,2011,May,Monday,3 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,May,Tuesday,8 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,4,9.95,39.8,2011,May,Wednesday,12 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,6,9.95,59.7,2011,May,Thursday,2 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,May,Tuesday,11 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,May,Tuesday,2 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,June,Monday,12 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,June,Monday,4 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,June,Tuesday,12 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,20.79,20.79,2011,June,Tuesday,5 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,20.79,20.79,2011,June,Thursday,4 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,June,Friday,11 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,June,Monday,8 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,20.79,20.79,2011,June,Thursday,3 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,June,Monday,9 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,9.95,9.95,2011,June,Monday,1 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,4,9.95,39.8,2011,June,Thursday,10 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,June,Thursday,12 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,July,Friday,9 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,4,9.95,39.8,2011,July,Sunday,11 AM,Weekend
LARGE CAKE STAND  HANGING STRAWBERY,1,20.79,20.79,2011,July,Monday,10 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,20.79,20.79,2011,July,Tuesday,4 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,July,Tuesday,2 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,July,Thursday,3 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,2,9.95,19.9,2011,July,Tuesday,9 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,4,9.95,39.8,2011,July,Tuesday,11 AM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,20,8.5,170.0,2011,July,Tuesday,3 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,1,20.79,20.79,2011,July,Wednesday,4 PM,Weekday
LARGE CAKE STAND  HANGING STRAWBERY,4,9.95,39.8,2011,July,Thursday,12 PM,Weekday
