Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
LARGE PARLOUR PICTURE FRAME,1,4.95,4.95,2011,February,Sunday,3 PM,Weekend
LARGE PARLOUR PICTURE FRAME,2,10.79,21.58,2011,February,Monday,3 PM,Weekday
LARGE PARLOUR PICTURE FRAME,3,4.95,14.85,2011,February,Wednesday,9 AM,Weekday
LARGE PARLOUR PICTURE FRAME,3,4.95,14.85,2011,February,Thursday,12 PM,Weekday
LARGE PARLOUR PICTURE FRAME,12,4.5,54.0,2011,February,Thursday,3 PM,Weekday
LARGE PARLOUR PICTURE FRAME,3,4.95,14.85,2011,February,Friday,3 PM,Weekday
LARGE PARLOUR PICTURE FRAME,6,4.95,29.7,2011,February,Friday,11 AM,Weekday
LARGE PARLOUR PICTURE FRAME,2,4.95,9.9,2011,February,Friday,12 PM,Weekday
LARGE PARLOUR PICTURE FRAME,5,4.95,24.75,2011,January,Tuesday,12 PM,Weekday
LARGE PARLOUR PICTURE FRAME,2,4.95,9.9,2011,January,Sunday,12 PM,Weekend
LARGE PARLOUR PICTURE FRAME,2,4.95,9.9,2011,January,Monday,11 AM,Weekday
LARGE PARLOUR PICTURE FRAME,3,4.95,14.85,2011,January,Tuesday,4 PM,Weekday
LARGE PARLOUR PICTURE FRAME,6,4.95,29.7,2011,January,Wednesday,10 AM,Weekday
LARGE PARLOUR PICTURE FRAME,3,4.95,14.85,2011,January,Wednesday,12 PM,Weekday
LARGE PARLOUR PICTURE FRAME,1,4.95,4.95,2011,January,Sunday,12 PM,Weekend
LARGE PARLOUR PICTURE FRAME,6,4.95,29.7,2011,January,Sunday,1 PM,Weekend
LARGE PARLOUR PICTURE FRAME,1,4.95,4.95,2011,January,Monday,2 PM,Weekday
LARGE PARLOUR PICTURE FRAME,3,4.95,14.85,2011,January,Wednesday,3 PM,Weekday
LARGE PARLOUR PICTURE FRAME,1,4.95,4.95,2011,January,Sunday,1 PM,Weekend
LARGE PARLOUR PICTURE FRAME,1,4.95,4.95,2011,January,Sunday,3 PM,Weekend
LARGE PARLOUR PICTURE FRAME,1,4.95,4.95,2011,January,Sunday,3 PM,Weekend
LARGE PARLOUR PICTURE FRAME,1,4.95,4.95,2011,January,Sunday,3 PM,Weekend
LARGE PARLOUR PICTURE FRAME,1,4.95,4.95,2011,January,Wednesday,5 PM,Weekday
LARGE PARLOUR PICTURE FRAME,3,4.95,14.85,2011,December,Thursday,2 PM,Weekday
LARGE PARLOUR PICTURE FRAME,1,4.95,4.95,2011,December,Sunday,12 PM,Weekend
LARGE PARLOUR PICTURE FRAME,3,4.95,14.85,2011,December,Sunday,3 PM,Weekend
LARGE PARLOUR PICTURE FRAME,3,4.95,14.85,2011,December,Monday,12 PM,Weekday
LARGE PARLOUR PICTURE FRAME,2,4.95,9.9,2011,December,Wednesday,4 PM,Weekday
LARGE PARLOUR PICTURE FRAME,1,4.95,4.95,2011,December,Thursday,12 PM,Weekday
LARGE PARLOUR PICTURE FRAME,4,4.95,19.8,2011,December,Thursday,1 PM,Weekday
