Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,2.51,5.02,2010,December,Wednesday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,2.51,5.02,2010,December,Wednesday,5 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2010,December,Friday,11 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2010,December,Friday,11 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2010,December,Sunday,11 AM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2010,December,Sunday,11 AM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,2,2.51,5.02,2010,December,Monday,10 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2010,December,Monday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,3,1.25,3.75,2010,December,Monday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2010,December,Monday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2010,December,Monday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.51,2.51,2010,December,Tuesday,6 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.51,2.51,2010,December,Wednesday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,3,1.25,3.75,2010,December,Thursday,1 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,2.51,5.02,2010,December,Friday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2010,December,Sunday,4 PM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2010,December,Monday,10 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.51,2.51,2010,December,Monday,11 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,5,1.25,6.25,2010,December,Tuesday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2010,December,Thursday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2010,December,Friday,10 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.51,2.51,2010,December,Friday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.51,2.51,2010,December,Friday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2010,December,Sunday,2 PM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.51,2.51,2010,December,Monday,10 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2010,December,Tuesday,10 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,6,1.25,7.5,2010,December,Tuesday,5 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.51,2.51,2010,December,Thursday,1 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,January,Friday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,January,Thursday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,January,Sunday,10 AM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2011,January,Wednesday,5 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,3,1.25,3.75,2011,January,Thursday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,January,Friday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,January,Sunday,12 PM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,January,Sunday,12 PM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,January,Sunday,2 PM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,January,Sunday,2 PM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,January,Wednesday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,January,Wednesday,4 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,72,1.25,90.0,2011,January,Friday,10 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,February,Tuesday,11 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,February,Friday,11 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,February,Monday,11 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,4,1.25,5.0,2011,February,Monday,1 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,February,Tuesday,10 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,February,Friday,10 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,February,Friday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2011,February,Tuesday,5 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,4,1.25,5.0,2011,February,Monday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,February,Tuesday,4 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2011,February,Monday,10 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,February,Monday,4 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2011,March,Tuesday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,March,Wednesday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,March,Tuesday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,March,Tuesday,5 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,3,1.25,3.75,2011,March,Wednesday,5 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,April,Monday,4 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2011,April,Sunday,11 AM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,April,Thursday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,April,Monday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,April,Tuesday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2011,April,Thursday,4 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,April,Thursday,10 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,May,Monday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,May,Monday,4 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,May,Monday,4 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,May,Tuesday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,May,Wednesday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,May,Thursday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2011,May,Friday,11 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,May,Tuesday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,May,Sunday,10 AM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,May,Monday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,May,Tuesday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2011,May,Sunday,2 PM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,June,Thursday,11 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,June,Sunday,3 PM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,June,Monday,11 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2011,June,Tuesday,1 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,June,Friday,1 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,June,Monday,9 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,June,Tuesday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,June,Tuesday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,June,Friday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,June,Wednesday,10 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,3,1.25,3.75,2011,June,Thursday,1 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,July,Friday,10 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,July,Friday,10 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2011,July,Tuesday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,July,Wednesday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,July,Sunday,11 AM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,4,1.25,5.0,2011,August,Monday,11 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,48,1.06,50.88,2011,August,Wednesday,11 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,August,Thursday,9 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,August,Thursday,5 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,3,1.25,3.75,2011,August,Thursday,10 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,September,Monday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2011,September,Tuesday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,September,Monday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2011,September,Tuesday,11 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,September,Friday,10 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,3,1.25,3.75,2011,September,Friday,1 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,September,Wednesday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,September,Thursday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,September,Sunday,10 AM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,September,Wednesday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,February,Monday,11 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,February,Tuesday,4 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,February,Tuesday,4 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,February,Monday,1 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,4,1.25,5.0,2011,February,Wednesday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,February,Wednesday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,5,1.25,6.25,2011,February,Sunday,3 PM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,February,Wednesday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,February,Sunday,2 PM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,February,Sunday,3 PM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,February,Monday,5 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,February,Monday,5 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,February,Tuesday,6 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,3,1.25,3.75,2011,February,Wednesday,1 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,3,1.25,3.75,2011,February,Friday,1 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,4,2.46,9.84,2011,February,Monday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,January,Tuesday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,January,Wednesday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,72,1.06,76.32,2011,January,Friday,1 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,January,Wednesday,4 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,January,Thursday,11 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,2.46,4.92,2011,January,Monday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,4,2.46,9.84,2011,January,Tuesday,4 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,January,Friday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,January,Tuesday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2011,January,Wednesday,11 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,January,Wednesday,1 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,January,Wednesday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2011,January,Wednesday,5 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,January,Thursday,9 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,January,Thursday,9 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,January,Friday,4 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2011,January,Sunday,4 PM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,January,Monday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,1.25,2.5,2011,January,Tuesday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,January,Wednesday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,1.25,15.0,2011,January,Wednesday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,December,Thursday,4 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,1.25,1.25,2011,December,Thursday,7 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,4,0.39,1.56,2011,December,Friday,1 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,2.46,2.46,2011,December,Friday,4 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,0.39,4.68,2011,December,Sunday,10 AM,Weekend
LARGE PURPLE BABUSHKA NOTEBOOK,12,0.39,4.68,2011,December,Monday,10 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,2,0.39,0.78,2011,December,Monday,11 AM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,0.39,4.68,2011,December,Monday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,0.39,0.39,2011,December,Monday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,1,0.39,0.39,2011,December,Monday,12 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,0.39,4.68,2011,December,Monday,1 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,144,0.39,56.16,2011,December,Monday,1 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,0.39,4.68,2011,December,Monday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,4,0.39,1.56,2011,December,Monday,2 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,0.39,4.68,2011,December,Monday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,0.39,4.68,2011,December,Monday,3 PM,Weekday
LARGE PURPLE BABUSHKA NOTEBOOK,12,0.39,4.68,2011,December,Monday,4 PM,Weekday
