Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
LETS GO SHOPPING COTTON TOTE BAG,6,2.25,13.5,2010,December,Wednesday,2 PM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,1,5.06,5.06,2010,December,Wednesday,5 PM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,3,2.25,6.75,2010,December,Monday,12 PM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,2,5.06,10.12,2010,December,Friday,2 PM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,1,5.06,5.06,2010,December,Tuesday,3 PM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,2,2.25,4.5,2010,December,Wednesday,4 PM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,1,2.25,2.25,2010,December,Friday,10 AM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,1,2.25,2.25,2010,December,Thursday,4 PM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,2,2.25,4.5,2011,January,Sunday,1 PM,Weekend
LETS GO SHOPPING COTTON TOTE BAG,1,4.96,4.96,2011,January,Tuesday,2 PM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,4,2.25,9.0,2011,January,Monday,3 PM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,1,4.96,4.96,2011,January,Tuesday,9 AM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,1,2.25,2.25,2011,February,Monday,11 AM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,6,2.25,13.5,2011,February,Monday,1 PM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,3,2.25,6.75,2011,February,Monday,3 PM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,6,2.25,13.5,2011,February,Friday,12 PM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,20,2.25,45.0,2011,March,Friday,11 AM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,1,2.25,2.25,2011,March,Friday,12 PM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,6,2.25,13.5,2011,March,Friday,9 AM,Weekday
LETS GO SHOPPING COTTON TOTE BAG,6,2.25,13.5,2011,March,Friday,12 PM,Weekday
