Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
"LETTER ""B"" BLING KEY RING",3,0.85,2.55,2010,December,Friday,11 AM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.85,0.85,2010,December,Monday,4 PM,Weekday
"LETTER ""B"" BLING KEY RING",1,1.25,1.25,2010,December,Wednesday,12 PM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.85,0.85,2010,December,Monday,11 AM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.85,0.85,2011,January,Monday,2 PM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.83,0.83,2011,January,Monday,5 PM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.83,0.83,2011,January,Monday,1 PM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.83,0.83,2011,January,Tuesday,10 AM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.83,0.83,2011,March,Tuesday,4 PM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.83,0.83,2011,March,Thursday,6 PM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.83,0.83,2011,March,Wednesday,4 PM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.83,0.83,2011,April,Monday,1 PM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.83,0.83,2011,May,Friday,3 PM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.83,0.83,2011,May,Monday,4 PM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.83,0.83,2011,June,Tuesday,5 PM,Weekday
"LETTER ""B"" BLING KEY RING",2,0.83,1.66,2011,July,Tuesday,4 PM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.83,0.83,2011,August,Thursday,4 PM,Weekday
"LETTER ""B"" BLING KEY RING",2,0.83,1.66,2011,August,Tuesday,12 PM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.83,0.83,2011,September,Friday,4 PM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.83,0.83,2011,September,Wednesday,3 PM,Weekday
"LETTER ""B"" BLING KEY RING",1,0.83,0.83,2011,September,Wednesday,3 PM,Weekday
"LETTER ""B"" BLING KEY RING",12,0.29,3.48,2011,December,Monday,3 PM,Weekday
