Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
"LETTER ""G"" BLING KEY RING",1,0.85,0.85,2010,December,Wednesday,2 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.85,0.85,2010,December,Friday,11 AM,Weekday
"LETTER ""G"" BLING KEY RING",2,0.85,1.7,2010,December,Tuesday,6 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.85,0.85,2010,December,Friday,5 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.85,0.85,2011,January,Thursday,2 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,January,Monday,5 PM,Weekday
"LETTER ""G"" BLING KEY RING",3,0.83,2.49,2011,January,Tuesday,3 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,1.25,1.25,2011,January,Sunday,3 PM,Weekend
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,January,Monday,1 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,February,Monday,2 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,March,Thursday,4 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,March,Tuesday,3 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,April,Monday,1 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,April,Monday,1 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,1.25,1.25,2011,April,Tuesday,11 AM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,May,Monday,4 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,June,Tuesday,5 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,June,Monday,3 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,July,Monday,10 AM,Weekday
"LETTER ""G"" BLING KEY RING",1,1.25,1.25,2011,July,Sunday,3 PM,Weekend
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,July,Tuesday,4 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,August,Tuesday,10 AM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,August,Tuesday,12 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,September,Friday,9 AM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,September,Friday,4 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.83,0.83,2011,February,Friday,3 PM,Weekday
"LETTER ""G"" BLING KEY RING",6,1.25,7.5,2011,January,Monday,9 AM,Weekday
"LETTER ""G"" BLING KEY RING",12,0.29,3.48,2011,December,Monday,3 PM,Weekday
"LETTER ""G"" BLING KEY RING",12,0.29,3.48,2011,December,Monday,4 PM,Weekday
"LETTER ""G"" BLING KEY RING",1,0.29,0.29,2011,December,Wednesday,3 PM,Weekday
