Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
LIPSTICK PEN BABY PINK,2,0.85,1.7,2010,December,Wednesday,5 PM,Weekday
LIPSTICK PEN BABY PINK,1,0.85,0.85,2010,December,Friday,11 AM,Weekday
LIPSTICK PEN BABY PINK,1,0.85,0.85,2010,December,Monday,4 PM,Weekday
LIPSTICK PEN BABY PINK,1,0.85,0.85,2010,December,Tuesday,3 PM,Weekday
LIPSTICK PEN BABY PINK,1,0.85,0.85,2010,December,Wednesday,2 PM,Weekday
LIPSTICK PEN BABY PINK,1,0.42,0.42,2010,December,Sunday,10 AM,Weekend
LIPSTICK PEN BABY PINK,24,0.42,10.08,2010,December,Wednesday,3 PM,Weekday
LIPSTICK PEN BABY PINK,12,0.42,5.04,2010,December,Thursday,2 PM,Weekday
LIPSTICK PEN BABY PINK,1,0.85,0.85,2010,December,Friday,4 PM,Weekday
LIPSTICK PEN BABY PINK,1,0.85,0.85,2011,January,Wednesday,3 PM,Weekday
LIPSTICK PEN BABY PINK,3,0.83,2.49,2011,January,Friday,5 PM,Weekday
LIPSTICK PEN BABY PINK,2,0.42,0.84,2011,January,Wednesday,5 PM,Weekday
LIPSTICK PEN BABY PINK,12,0.42,5.04,2011,January,Friday,10 AM,Weekday
LIPSTICK PEN BABY PINK,5,0.42,2.1,2011,February,Wednesday,5 PM,Weekday
LIPSTICK PEN BABY PINK,6,0.42,2.52,2011,February,Thursday,1 PM,Weekday
LIPSTICK PEN BABY PINK,50,0.42,21.0,2011,February,Sunday,2 PM,Weekend
LIPSTICK PEN BABY PINK,6,0.42,2.52,2011,February,Wednesday,12 PM,Weekday
LIPSTICK PEN BABY PINK,12,0.83,9.96,2011,February,Wednesday,3 PM,Weekday
LIPSTICK PEN BABY PINK,12,0.42,5.04,2011,February,Wednesday,4 PM,Weekday
LIPSTICK PEN BABY PINK,5,0.42,2.1,2011,March,Friday,1 PM,Weekday
LIPSTICK PEN BABY PINK,12,0.42,5.04,2011,March,Friday,2 PM,Weekday
LIPSTICK PEN BABY PINK,12,0.42,5.04,2011,March,Friday,11 AM,Weekday
LIPSTICK PEN BABY PINK,1,0.42,0.42,2011,March,Tuesday,3 PM,Weekday
