Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2010,December,Wednesday,2 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,2.25,2.25,2010,December,Sunday,10 AM,Weekend
LOLITA  DESIGN  COTTON TOTE BAG,1,2.25,2.25,2010,December,Sunday,10 AM,Weekend
LOLITA  DESIGN  COTTON TOTE BAG,1,2.25,2.25,2010,December,Sunday,10 AM,Weekend
LOLITA  DESIGN  COTTON TOTE BAG,1,2.25,2.25,2010,December,Monday,12 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,5.06,5.06,2010,December,Tuesday,3 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,2,2.25,4.5,2010,December,Sunday,2 PM,Weekend
LOLITA  DESIGN  COTTON TOTE BAG,12,2.25,27.0,2011,January,Friday,3 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2011,January,Tuesday,12 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,2.25,2.25,2011,January,Friday,12 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,4.96,4.96,2011,January,Monday,5 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,2.25,2.25,2011,January,Sunday,1 PM,Weekend
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2011,January,Wednesday,10 AM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2011,February,Friday,12 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2011,February,Monday,11 AM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2011,February,Friday,12 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,4.96,4.96,2011,March,Thursday,6 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,3,2.25,6.75,2011,March,Wednesday,12 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,4.96,4.96,2011,March,Thursday,4 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,2.25,2.25,2011,April,Wednesday,3 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2011,April,Wednesday,2 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2011,April,Wednesday,11 AM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2011,June,Monday,8 AM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2011,June,Tuesday,12 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,4,1.63,6.52,2011,June,Wednesday,3 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,12,2.25,27.0,2011,June,Thursday,3 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,1.63,1.63,2011,July,Tuesday,4 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,1.63,1.63,2011,July,Tuesday,5 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,1.63,1.63,2011,July,Thursday,4 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,1.63,1.63,2011,July,Friday,3 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,1.63,1.63,2011,July,Monday,4 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,1.63,1.63,2011,July,Tuesday,4 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,2,1.63,3.26,2011,July,Friday,4 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,2.25,2.25,2011,July,Sunday,3 PM,Weekend
LOLITA  DESIGN  COTTON TOTE BAG,1,1.63,1.63,2011,July,Wednesday,4 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2011,August,Tuesday,10 AM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2011,August,Friday,10 AM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2011,September,Sunday,2 PM,Weekend
LOLITA  DESIGN  COTTON TOTE BAG,1,2.25,2.25,2011,September,Thursday,12 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,4.96,4.96,2011,September,Thursday,3 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2011,September,Tuesday,10 AM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,4.96,4.96,2011,February,Tuesday,4 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2011,February,Tuesday,11 AM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,2.25,2.25,2011,February,Thursday,3 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,2.25,2.25,2011,February,Wednesday,12 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2011,February,Sunday,1 PM,Weekend
LOLITA  DESIGN  COTTON TOTE BAG,1,4.96,4.96,2011,January,Tuesday,6 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,2,2.25,4.5,2011,January,Friday,12 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,2.25,2.25,2011,January,Wednesday,2 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,1,4.96,4.96,2011,January,Friday,4 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,6,2.25,13.5,2011,December,Monday,4 PM,Weekday
LOLITA  DESIGN  COTTON TOTE BAG,12,2.25,27.0,2011,December,Tuesday,12 PM,Weekday
