Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
LONDON BUS COFFEE MUG,3,2.55,7.65,2010,December,Wednesday,5 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2010,December,Thursday,11 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2010,December,Thursday,3 PM,Weekday
LONDON BUS COFFEE MUG,36,2.1,75.6,2010,December,Thursday,5 PM,Weekday
LONDON BUS COFFEE MUG,2,5.06,10.12,2010,December,Friday,5 PM,Weekday
LONDON BUS COFFEE MUG,12,2.55,30.6,2010,December,Sunday,11 AM,Weekend
LONDON BUS COFFEE MUG,6,2.55,15.3,2010,December,Monday,11 AM,Weekday
LONDON BUS COFFEE MUG,1,5.06,5.06,2010,December,Monday,1 PM,Weekday
LONDON BUS COFFEE MUG,18,2.55,45.9,2010,December,Monday,2 PM,Weekday
LONDON BUS COFFEE MUG,12,2.55,30.6,2010,December,Monday,2 PM,Weekday
LONDON BUS COFFEE MUG,2,2.55,5.1,2010,December,Monday,3 PM,Weekday
LONDON BUS COFFEE MUG,1,5.06,5.06,2010,December,Tuesday,1 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2010,December,Tuesday,5 PM,Weekday
LONDON BUS COFFEE MUG,2,2.55,5.1,2010,December,Thursday,4 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Wednesday,10 AM,Weekday
LONDON BUS COFFEE MUG,36,2.1,75.6,2011,January,Wednesday,12 PM,Weekday
LONDON BUS COFFEE MUG,1,5.06,5.06,2011,January,Wednesday,4 PM,Weekday
LONDON BUS COFFEE MUG,36,2.1,75.6,2011,January,Thursday,4 PM,Weekday
LONDON BUS COFFEE MUG,36,2.1,75.6,2011,January,Friday,12 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Sunday,3 PM,Weekend
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Tuesday,12 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Wednesday,10 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Wednesday,3 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Friday,9 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Friday,1 PM,Weekday
LONDON BUS COFFEE MUG,1,2.55,2.55,2011,January,Sunday,1 PM,Weekend
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Sunday,4 PM,Weekend
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Monday,11 AM,Weekday
LONDON BUS COFFEE MUG,1,2.55,2.55,2011,January,Monday,11 AM,Weekday
LONDON BUS COFFEE MUG,4,2.55,10.2,2011,January,Wednesday,3 PM,Weekday
LONDON BUS COFFEE MUG,1,4.96,4.96,2011,January,Thursday,6 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Friday,12 PM,Weekday
LONDON BUS COFFEE MUG,12,2.55,30.6,2011,January,Friday,1 PM,Weekday
LONDON BUS COFFEE MUG,36,2.1,75.6,2011,January,Friday,3 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Sunday,11 AM,Weekend
LONDON BUS COFFEE MUG,24,2.55,61.2,2011,January,Monday,11 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Tuesday,3 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Thursday,12 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Thursday,12 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Thursday,5 PM,Weekday
LONDON BUS COFFEE MUG,24,2.55,61.2,2011,January,Friday,9 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Friday,12 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,January,Monday,3 PM,Weekday
LONDON BUS COFFEE MUG,1,2.55,2.55,2011,January,Monday,3 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,February,Tuesday,10 AM,Weekday
LONDON BUS COFFEE MUG,36,2.1,75.6,2011,February,Tuesday,10 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,February,Wednesday,12 PM,Weekday
LONDON BUS COFFEE MUG,1,4.96,4.96,2011,February,Wednesday,1 PM,Weekday
LONDON BUS COFFEE MUG,12,2.55,30.6,2011,February,Thursday,11 AM,Weekday
LONDON BUS COFFEE MUG,72,2.1,151.2,2011,February,Thursday,12 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,February,Monday,10 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,February,Monday,11 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,February,Monday,1 PM,Weekday
LONDON BUS COFFEE MUG,12,2.55,30.6,2011,February,Monday,4 PM,Weekday
LONDON BUS COFFEE MUG,36,2.1,75.6,2011,February,Thursday,12 PM,Weekday
LONDON BUS COFFEE MUG,36,2.1,75.6,2011,February,Tuesday,10 AM,Weekday
LONDON BUS COFFEE MUG,3,2.55,7.65,2011,February,Tuesday,5 PM,Weekday
LONDON BUS COFFEE MUG,36,2.1,75.6,2011,February,Wednesday,1 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,February,Monday,8 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,February,Monday,6 PM,Weekday
LONDON BUS COFFEE MUG,36,2.1,75.6,2011,February,Tuesday,12 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,February,Tuesday,1 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,February,Tuesday,1 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,February,Tuesday,4 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,February,Thursday,11 AM,Weekday
LONDON BUS COFFEE MUG,1,2.55,2.55,2011,February,Sunday,2 PM,Weekend
LONDON BUS COFFEE MUG,1,4.96,4.96,2011,February,Monday,10 AM,Weekday
LONDON BUS COFFEE MUG,12,2.55,30.6,2011,February,Monday,11 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,February,Monday,3 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,March,Tuesday,12 PM,Weekday
LONDON BUS COFFEE MUG,12,2.55,30.6,2011,March,Friday,12 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,March,Tuesday,3 PM,Weekday
LONDON BUS COFFEE MUG,72,2.1,151.2,2011,March,Tuesday,4 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,March,Wednesday,9 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,March,Wednesday,11 AM,Weekday
LONDON BUS COFFEE MUG,12,2.55,30.6,2011,March,Thursday,10 AM,Weekday
LONDON BUS COFFEE MUG,1,4.96,4.96,2011,March,Friday,4 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,March,Sunday,10 AM,Weekend
LONDON BUS COFFEE MUG,4,2.55,10.2,2011,March,Sunday,11 AM,Weekend
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,March,Wednesday,4 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,March,Thursday,7 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,March,Friday,8 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,March,Friday,12 PM,Weekday
LONDON BUS COFFEE MUG,1,2.55,2.55,2011,March,Friday,12 PM,Weekday
LONDON BUS COFFEE MUG,36,2.1,75.6,2011,March,Tuesday,8 AM,Weekday
LONDON BUS COFFEE MUG,1,4.96,4.96,2011,March,Tuesday,3 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,March,Tuesday,4 PM,Weekday
LONDON BUS COFFEE MUG,1,2.55,2.55,2011,March,Wednesday,11 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,March,Thursday,8 AM,Weekday
LONDON BUS COFFEE MUG,24,2.55,61.2,2011,March,Thursday,11 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,March,Thursday,1 PM,Weekday
LONDON BUS COFFEE MUG,108,2.1,226.8,2011,March,Thursday,6 PM,Weekday
LONDON BUS COFFEE MUG,2,2.55,5.1,2011,March,Friday,1 PM,Weekday
LONDON BUS COFFEE MUG,1,2.55,2.55,2011,March,Friday,2 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,March,Monday,10 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,March,Tuesday,11 AM,Weekday
LONDON BUS COFFEE MUG,2,2.55,5.1,2011,March,Tuesday,12 PM,Weekday
LONDON BUS COFFEE MUG,45,5.95,267.75,2011,March,Tuesday,4 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,March,Wednesday,12 PM,Weekday
LONDON BUS COFFEE MUG,1,2.55,2.55,2011,March,Thursday,11 AM,Weekday
LONDON BUS COFFEE MUG,12,2.55,30.6,2011,March,Thursday,1 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,March,Thursday,5 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Friday,11 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Sunday,12 PM,Weekend
LONDON BUS COFFEE MUG,1,2.55,2.55,2011,April,Sunday,3 PM,Weekend
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Monday,12 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Thursday,11 AM,Weekday
LONDON BUS COFFEE MUG,12,2.55,30.6,2011,April,Thursday,11 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Thursday,12 PM,Weekday
LONDON BUS COFFEE MUG,2,2.55,5.1,2011,April,Thursday,7 PM,Weekday
LONDON BUS COFFEE MUG,3,2.55,7.65,2011,April,Sunday,3 PM,Weekend
LONDON BUS COFFEE MUG,36,2.1,75.6,2011,April,Tuesday,10 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Tuesday,1 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Tuesday,3 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Wednesday,9 AM,Weekday
LONDON BUS COFFEE MUG,252,2.1,529.2,2011,April,Wednesday,10 AM,Weekday
LONDON BUS COFFEE MUG,1,2.55,2.55,2011,April,Wednesday,12 PM,Weekday
LONDON BUS COFFEE MUG,1,2.55,2.55,2011,April,Thursday,10 AM,Weekday
LONDON BUS COFFEE MUG,1,2.55,2.55,2011,April,Thursday,1 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Sunday,10 AM,Weekend
LONDON BUS COFFEE MUG,12,2.55,30.6,2011,April,Sunday,2 PM,Weekend
LONDON BUS COFFEE MUG,2,2.55,5.1,2011,April,Monday,11 AM,Weekday
LONDON BUS COFFEE MUG,2,2.55,5.1,2011,April,Monday,11 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Monday,2 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Tuesday,9 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Tuesday,10 AM,Weekday
LONDON BUS COFFEE MUG,462,2.1,970.2,2011,April,Tuesday,12 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Tuesday,1 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Tuesday,4 PM,Weekday
LONDON BUS COFFEE MUG,24,2.55,61.2,2011,April,Tuesday,8 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Tuesday,11 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Tuesday,3 PM,Weekday
LONDON BUS COFFEE MUG,18,2.55,45.9,2011,April,Thursday,12 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,April,Thursday,12 PM,Weekday
LONDON BUS COFFEE MUG,12,2.55,30.6,2011,April,Thursday,1 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,May,Tuesday,12 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,May,Wednesday,11 AM,Weekday
LONDON BUS COFFEE MUG,2,2.55,5.1,2011,May,Wednesday,2 PM,Weekday
LONDON BUS COFFEE MUG,2,4.96,9.92,2011,May,Thursday,3 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,May,Thursday,7 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,May,Sunday,2 PM,Weekend
LONDON BUS COFFEE MUG,1,4.96,4.96,2011,May,Monday,4 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,May,Wednesday,1 PM,Weekday
LONDON BUS COFFEE MUG,24,2.55,61.2,2011,May,Wednesday,1 PM,Weekday
LONDON BUS COFFEE MUG,18,2.55,45.9,2011,May,Wednesday,2 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,May,Wednesday,5 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,May,Wednesday,5 PM,Weekday
LONDON BUS COFFEE MUG,2,2.55,5.1,2011,May,Thursday,6 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,May,Friday,10 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,May,Friday,10 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,May,Friday,5 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,May,Tuesday,1 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,May,Tuesday,2 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,May,Tuesday,3 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,May,Tuesday,4 PM,Weekday
LONDON BUS COFFEE MUG,4,2.55,10.2,2011,May,Wednesday,3 PM,Weekday
LONDON BUS COFFEE MUG,36,2.1,75.6,2011,May,Wednesday,4 PM,Weekday
LONDON BUS COFFEE MUG,36,2.1,75.6,2011,May,Thursday,2 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,May,Sunday,2 PM,Weekend
LONDON BUS COFFEE MUG,240,2.1,504.0,2011,May,Monday,1 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,May,Tuesday,9 AM,Weekday
LONDON BUS COFFEE MUG,4,2.55,10.2,2011,May,Tuesday,11 AM,Weekday
LONDON BUS COFFEE MUG,1,4.96,4.96,2011,June,Wednesday,5 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,June,Sunday,1 PM,Weekend
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,June,Wednesday,2 PM,Weekday
LONDON BUS COFFEE MUG,1,4.96,4.96,2011,June,Wednesday,5 PM,Weekday
LONDON BUS COFFEE MUG,36,2.1,75.6,2011,June,Thursday,10 AM,Weekday
LONDON BUS COFFEE MUG,1,2.55,2.55,2011,June,Sunday,1 PM,Weekend
LONDON BUS COFFEE MUG,3,2.55,7.65,2011,June,Sunday,2 PM,Weekend
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,June,Tuesday,4 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,June,Wednesday,10 AM,Weekday
LONDON BUS COFFEE MUG,2,2.55,5.1,2011,June,Wednesday,1 PM,Weekday
LONDON BUS COFFEE MUG,72,2.1,151.2,2011,June,Wednesday,1 PM,Weekday
LONDON BUS COFFEE MUG,36,2.1,75.6,2011,June,Friday,9 AM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,June,Friday,3 PM,Weekday
LONDON BUS COFFEE MUG,6,2.55,15.3,2011,June,Sunday,11 AM,Weekend
LONDON BUS COFFEE MUG,3,2.55,7.65,2011,June,Monday,1 PM,Weekday
LONDON BUS COFFEE MUG,2,2.55,5.1,2011,June,Tuesday,10 AM,Weekday
