Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
LUNCH BAG VINTAGE DOILY,4,1.65,6.6,2011,August,Friday,4 PM,Weekday
LUNCH BAG VINTAGE DOILY,3,1.65,4.95,2011,August,Friday,5 PM,Weekday
LUNCH BAG VINTAGE DOILY,1,1.65,1.65,2011,August,Sunday,10 AM,Weekend
LUNCH BAG VINTAGE DOILY,3,1.65,4.95,2011,August,Sunday,12 PM,Weekend
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Sunday,2 PM,Weekend
LUNCH BAG VINTAGE DOILY,2,1.65,3.3,2011,August,Sunday,3 PM,Weekend
LUNCH BAG VINTAGE DOILY,2,1.65,3.3,2011,August,Monday,1 PM,Weekday
LUNCH BAG VINTAGE DOILY,1,4.13,4.13,2011,August,Monday,3 PM,Weekday
LUNCH BAG VINTAGE DOILY,1,4.13,4.13,2011,August,Monday,3 PM,Weekday
LUNCH BAG VINTAGE DOILY,1,1.65,1.65,2011,August,Tuesday,1 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Tuesday,1 PM,Weekday
LUNCH BAG VINTAGE DOILY,1,4.13,4.13,2011,August,Tuesday,5 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Wednesday,10 AM,Weekday
LUNCH BAG VINTAGE DOILY,1,1.65,1.65,2011,August,Wednesday,10 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Wednesday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Thursday,9 AM,Weekday
LUNCH BAG VINTAGE DOILY,20,1.65,33.0,2011,August,Thursday,10 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Thursday,11 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Thursday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,1,1.65,1.65,2011,August,Thursday,2 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Thursday,2 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Thursday,3 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Thursday,3 PM,Weekday
LUNCH BAG VINTAGE DOILY,100,1.45,145.0,2011,August,Thursday,4 PM,Weekday
LUNCH BAG VINTAGE DOILY,20,1.65,33.0,2011,August,Thursday,5 PM,Weekday
LUNCH BAG VINTAGE DOILY,2,4.13,8.26,2011,August,Thursday,5 PM,Weekday
LUNCH BAG VINTAGE DOILY,20,1.65,33.0,2011,August,Friday,9 AM,Weekday
LUNCH BAG VINTAGE DOILY,20,1.65,33.0,2011,August,Friday,11 AM,Weekday
LUNCH BAG VINTAGE DOILY,20,1.65,33.0,2011,August,Friday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Friday,1 PM,Weekday
LUNCH BAG VINTAGE DOILY,4,1.65,6.6,2011,August,Friday,2 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Friday,3 PM,Weekday
LUNCH BAG VINTAGE DOILY,1,4.13,4.13,2011,August,Friday,4 PM,Weekday
LUNCH BAG VINTAGE DOILY,1,1.65,1.65,2011,August,Sunday,12 PM,Weekend
LUNCH BAG VINTAGE DOILY,30,1.65,49.5,2011,August,Monday,10 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Monday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Monday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Monday,2 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Tuesday,9 AM,Weekday
LUNCH BAG VINTAGE DOILY,100,1.45,145.0,2011,August,Tuesday,9 AM,Weekday
LUNCH BAG VINTAGE DOILY,1,1.65,1.65,2011,August,Tuesday,10 AM,Weekday
LUNCH BAG VINTAGE DOILY,2,1.65,3.3,2011,August,Tuesday,10 AM,Weekday
LUNCH BAG VINTAGE DOILY,3,1.65,4.95,2011,August,Tuesday,11 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Tuesday,11 AM,Weekday
LUNCH BAG VINTAGE DOILY,20,1.65,33.0,2011,August,Tuesday,3 PM,Weekday
LUNCH BAG VINTAGE DOILY,2,1.65,3.3,2011,August,Tuesday,3 PM,Weekday
LUNCH BAG VINTAGE DOILY,1,1.65,1.65,2011,August,Wednesday,11 AM,Weekday
LUNCH BAG VINTAGE DOILY,15,1.65,24.75,2011,August,Wednesday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Wednesday,1 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Wednesday,2 PM,Weekday
LUNCH BAG VINTAGE DOILY,200,1.45,290.0,2011,August,Thursday,8 AM,Weekday
LUNCH BAG VINTAGE DOILY,40,1.65,66.0,2011,August,Thursday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,2,1.65,3.3,2011,August,Thursday,1 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Thursday,4 PM,Weekday
LUNCH BAG VINTAGE DOILY,1,1.65,1.65,2011,August,Thursday,5 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Friday,11 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Friday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Friday,3 PM,Weekday
LUNCH BAG VINTAGE DOILY,2,1.65,3.3,2011,August,Sunday,12 PM,Weekend
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Sunday,12 PM,Weekend
LUNCH BAG VINTAGE DOILY,5,1.65,8.25,2011,August,Sunday,2 PM,Weekend
LUNCH BAG VINTAGE DOILY,1,1.65,1.65,2011,August,Sunday,3 PM,Weekend
LUNCH BAG VINTAGE DOILY,2,1.65,3.3,2011,August,Sunday,3 PM,Weekend
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Sunday,3 PM,Weekend
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Monday,9 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Monday,10 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Monday,10 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Monday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Monday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,20,1.65,33.0,2011,August,Monday,1 PM,Weekday
LUNCH BAG VINTAGE DOILY,1,1.65,1.65,2011,August,Monday,1 PM,Weekday
LUNCH BAG VINTAGE DOILY,20,1.65,33.0,2011,August,Monday,1 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Monday,2 PM,Weekday
LUNCH BAG VINTAGE DOILY,4,1.65,6.6,2011,August,Monday,2 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Tuesday,9 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Tuesday,9 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Tuesday,10 AM,Weekday
LUNCH BAG VINTAGE DOILY,20,1.65,33.0,2011,August,Tuesday,11 AM,Weekday
LUNCH BAG VINTAGE DOILY,3,1.65,4.95,2011,August,Tuesday,11 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Tuesday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,50,1.65,82.5,2011,August,Tuesday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Tuesday,1 PM,Weekday
LUNCH BAG VINTAGE DOILY,20,1.65,33.0,2011,August,Tuesday,2 PM,Weekday
LUNCH BAG VINTAGE DOILY,2,1.65,3.3,2011,August,Tuesday,3 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Tuesday,4 PM,Weekday
LUNCH BAG VINTAGE DOILY,3,1.65,4.95,2011,August,Tuesday,5 PM,Weekday
LUNCH BAG VINTAGE DOILY,20,1.65,33.0,2011,August,Wednesday,10 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Wednesday,1 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Wednesday,2 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Wednesday,3 PM,Weekday
LUNCH BAG VINTAGE DOILY,3,1.65,4.95,2011,August,Wednesday,4 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Thursday,9 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Thursday,9 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Thursday,10 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Thursday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,20,1.65,33.0,2011,August,Thursday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Thursday,1 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Thursday,2 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Thursday,3 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Friday,11 AM,Weekday
LUNCH BAG VINTAGE DOILY,4,1.65,6.6,2011,August,Friday,1 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Friday,2 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Sunday,11 AM,Weekend
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Sunday,12 PM,Weekend
LUNCH BAG VINTAGE DOILY,5,1.65,8.25,2011,August,Sunday,1 PM,Weekend
LUNCH BAG VINTAGE DOILY,2,1.65,3.3,2011,August,Sunday,2 PM,Weekend
LUNCH BAG VINTAGE DOILY,2,1.65,3.3,2011,August,Sunday,3 PM,Weekend
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Tuesday,10 AM,Weekday
LUNCH BAG VINTAGE DOILY,1,4.13,4.13,2011,August,Tuesday,10 AM,Weekday
LUNCH BAG VINTAGE DOILY,4,4.13,16.52,2011,August,Tuesday,10 AM,Weekday
LUNCH BAG VINTAGE DOILY,1,4.13,4.13,2011,August,Tuesday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,4,4.13,16.52,2011,August,Tuesday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,1,4.13,4.13,2011,August,Tuesday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,2,4.13,8.26,2011,August,Tuesday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,August,Tuesday,3 PM,Weekday
LUNCH BAG VINTAGE DOILY,100,1.45,145.0,2011,August,Wednesday,3 PM,Weekday
LUNCH BAG VINTAGE DOILY,3,4.13,12.39,2011,August,Wednesday,3 PM,Weekday
LUNCH BAG VINTAGE DOILY,30,1.65,49.5,2011,August,Wednesday,4 PM,Weekday
LUNCH BAG VINTAGE DOILY,12,1.65,19.8,2011,September,Thursday,11 AM,Weekday
LUNCH BAG VINTAGE DOILY,10,1.65,16.5,2011,September,Thursday,11 AM,Weekday
LUNCH BAG VINTAGE DOILY,5,1.65,8.25,2011,September,Thursday,12 PM,Weekday
LUNCH BAG VINTAGE DOILY,20,1.65,33.0,2011,September,Thursday,12 PM,Weekday
