Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
MA CAMPAGNE CUTLERY BOX,2,14.95,29.9,2010,December,Wednesday,3 PM,Weekday
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2010,December,Thursday,2 PM,Weekday
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2010,December,Friday,3 PM,Weekday
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2010,December,Wednesday,3 PM,Weekday
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2010,December,Thursday,4 PM,Weekday
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2010,December,Friday,11 AM,Weekday
MA CAMPAGNE CUTLERY BOX,8,12.75,102.0,2010,December,Friday,11 AM,Weekday
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2010,December,Tuesday,1 PM,Weekday
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2010,December,Tuesday,2 PM,Weekday
MA CAMPAGNE CUTLERY BOX,8,12.75,102.0,2010,December,Tuesday,2 PM,Weekday
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2011,January,Tuesday,11 AM,Weekday
MA CAMPAGNE CUTLERY BOX,2,14.95,29.9,2011,January,Thursday,9 AM,Weekday
MA CAMPAGNE CUTLERY BOX,2,14.95,29.9,2011,January,Thursday,12 PM,Weekday
MA CAMPAGNE CUTLERY BOX,1,29.74,29.74,2011,January,Thursday,2 PM,Weekday
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2011,January,Sunday,12 PM,Weekend
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2011,January,Tuesday,10 AM,Weekday
MA CAMPAGNE CUTLERY BOX,1,29.74,29.74,2011,January,Tuesday,1 PM,Weekday
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2011,January,Wednesday,12 PM,Weekday
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2011,January,Wednesday,12 PM,Weekday
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2011,January,Thursday,3 PM,Weekday
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2011,January,Friday,9 AM,Weekday
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2011,January,Sunday,10 AM,Weekend
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2011,January,Sunday,1 PM,Weekend
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2011,January,Thursday,12 PM,Weekday
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2011,January,Sunday,1 PM,Weekend
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2011,January,Sunday,2 PM,Weekend
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2011,January,Sunday,3 PM,Weekend
MA CAMPAGNE CUTLERY BOX,4,14.95,59.8,2011,January,Thursday,10 AM,Weekday
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2011,January,Sunday,10 AM,Weekend
MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2011,February,Tuesday,9 AM,Weekday
