Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
MAGIC DRAWING SLATE BUNNIES,2,0.42,0.84,2010,December,Monday,3 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,2,0.42,0.84,2010,December,Monday,3 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,2,0.42,0.84,2010,December,Tuesday,2 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,1,0.85,0.85,2010,December,Tuesday,3 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,1,0.85,0.85,2010,December,Friday,9 AM,Weekday
MAGIC DRAWING SLATE BUNNIES,2,0.42,0.84,2010,December,Sunday,11 AM,Weekend
MAGIC DRAWING SLATE BUNNIES,4,0.42,1.68,2010,December,Sunday,1 PM,Weekend
MAGIC DRAWING SLATE BUNNIES,1,0.85,0.85,2010,December,Monday,11 AM,Weekday
MAGIC DRAWING SLATE BUNNIES,1,0.42,0.42,2010,December,Monday,2 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,1,0.42,0.42,2010,December,Tuesday,11 AM,Weekday
MAGIC DRAWING SLATE BUNNIES,2,0.42,0.84,2010,December,Tuesday,4 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,1,0.42,0.42,2010,December,Thursday,7 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,1,0.85,0.85,2010,December,Friday,2 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,7,0.42,2.94,2010,December,Sunday,11 AM,Weekend
MAGIC DRAWING SLATE BUNNIES,1,0.85,0.85,2010,December,Monday,1 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,48,0.42,20.16,2011,January,Thursday,11 AM,Weekday
MAGIC DRAWING SLATE BUNNIES,1,0.85,0.85,2011,January,Monday,2 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,1,0.42,0.42,2011,January,Monday,1 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,6,0.42,2.52,2011,January,Wednesday,4 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,24,0.42,10.08,2011,January,Monday,1 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,1,0.42,0.42,2011,January,Tuesday,12 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,3,0.42,1.26,2011,February,Wednesday,5 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,1,0.83,0.83,2011,February,Monday,9 AM,Weekday
MAGIC DRAWING SLATE BUNNIES,24,0.42,10.08,2011,February,Thursday,12 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,3,0.83,2.49,2011,February,Monday,6 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,1,0.42,0.42,2011,February,Monday,3 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,1,0.42,0.42,2011,February,Monday,3 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,24,0.42,10.08,2011,March,Friday,10 AM,Weekday
MAGIC DRAWING SLATE BUNNIES,24,0.42,10.08,2011,March,Monday,9 AM,Weekday
MAGIC DRAWING SLATE BUNNIES,5,0.42,2.1,2011,March,Monday,2 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,24,0.42,10.08,2011,March,Monday,9 AM,Weekday
MAGIC DRAWING SLATE BUNNIES,12,0.42,5.04,2011,March,Tuesday,12 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,48,0.42,20.16,2011,March,Friday,2 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,1,0.42,0.42,2011,March,Sunday,2 PM,Weekend
MAGIC DRAWING SLATE BUNNIES,3,0.42,1.26,2011,April,Sunday,12 PM,Weekend
MAGIC DRAWING SLATE BUNNIES,1,0.83,0.83,2011,April,Tuesday,4 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,2,0.83,1.66,2011,April,Friday,3 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,4,0.83,3.32,2011,April,Monday,1 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,1,0.83,0.83,2011,April,Monday,1 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,3,0.83,2.49,2011,April,Monday,3 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,4,0.83,3.32,2011,April,Monday,3 PM,Weekday
MAGIC DRAWING SLATE BUNNIES,2,0.83,1.66,2011,April,Tuesday,3 PM,Weekday
