Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
MAN FLU METAL SIGN,2,4.21,8.42,2010,December,Friday,11 AM,Weekday
MAN FLU METAL SIGN,1,2.1,2.1,2010,December,Sunday,1 PM,Weekend
MAN FLU METAL SIGN,1,2.1,2.1,2010,December,Sunday,1 PM,Weekend
MAN FLU METAL SIGN,1,4.21,4.21,2010,December,Monday,9 AM,Weekday
MAN FLU METAL SIGN,2,4.21,8.42,2010,December,Monday,10 AM,Weekday
MAN FLU METAL SIGN,1,2.1,2.1,2010,December,Monday,2 PM,Weekday
MAN FLU METAL SIGN,1,4.21,4.21,2010,December,Monday,4 PM,Weekday
MAN FLU METAL SIGN,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
MAN FLU METAL SIGN,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
MAN FLU METAL SIGN,2,4.21,8.42,2010,December,Tuesday,3 PM,Weekday
MAN FLU METAL SIGN,2,2.1,4.2,2010,December,Tuesday,3 PM,Weekday
MAN FLU METAL SIGN,1,2.1,2.1,2010,December,Tuesday,3 PM,Weekday
MAN FLU METAL SIGN,1,4.21,4.21,2010,December,Tuesday,6 PM,Weekday
MAN FLU METAL SIGN,12,2.1,25.2,2010,December,Wednesday,10 AM,Weekday
MAN FLU METAL SIGN,1,2.1,2.1,2010,December,Wednesday,3 PM,Weekday
MAN FLU METAL SIGN,1,4.21,4.21,2010,December,Thursday,4 PM,Weekday
MAN FLU METAL SIGN,2,2.1,4.2,2010,December,Thursday,4 PM,Weekday
MAN FLU METAL SIGN,1,4.21,4.21,2010,December,Friday,9 AM,Weekday
MAN FLU METAL SIGN,12,2.1,25.2,2010,December,Friday,2 PM,Weekday
MAN FLU METAL SIGN,2,4.21,8.42,2010,December,Friday,2 PM,Weekday
MAN FLU METAL SIGN,48,1.85,88.8,2010,December,Friday,3 PM,Weekday
MAN FLU METAL SIGN,4,2.1,8.4,2010,December,Sunday,12 PM,Weekend
MAN FLU METAL SIGN,1,4.21,4.21,2010,December,Monday,11 AM,Weekday
MAN FLU METAL SIGN,2,2.1,4.2,2010,December,Tuesday,11 AM,Weekday
MAN FLU METAL SIGN,4,2.1,8.4,2010,December,Thursday,12 PM,Weekday
MAN FLU METAL SIGN,2,4.21,8.42,2010,December,Friday,2 PM,Weekday
MAN FLU METAL SIGN,1,2.1,2.1,2010,December,Friday,5 PM,Weekday
MAN FLU METAL SIGN,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
MAN FLU METAL SIGN,2,2.1,4.2,2011,January,Tuesday,1 PM,Weekday
MAN FLU METAL SIGN,2,2.1,4.2,2011,January,Tuesday,2 PM,Weekday
MAN FLU METAL SIGN,5,2.1,10.5,2011,January,Wednesday,12 PM,Weekday
MAN FLU METAL SIGN,4,2.1,8.4,2011,January,Sunday,11 AM,Weekend
MAN FLU METAL SIGN,2,2.1,4.2,2011,January,Sunday,11 AM,Weekend
MAN FLU METAL SIGN,6,2.1,12.6,2011,January,Sunday,3 PM,Weekend
MAN FLU METAL SIGN,12,2.4,28.8,2011,January,Tuesday,8 AM,Weekday
MAN FLU METAL SIGN,12,2.1,25.2,2011,January,Monday,2 PM,Weekday
MAN FLU METAL SIGN,1,4.13,4.13,2011,January,Monday,5 PM,Weekday
MAN FLU METAL SIGN,2,2.1,4.2,2011,January,Tuesday,4 PM,Weekday
MAN FLU METAL SIGN,1,2.1,2.1,2011,January,Sunday,1 PM,Weekend
MAN FLU METAL SIGN,2,2.1,4.2,2011,January,Sunday,3 PM,Weekend
MAN FLU METAL SIGN,2,2.1,4.2,2011,January,Tuesday,2 PM,Weekday
MAN FLU METAL SIGN,2,2.1,4.2,2011,January,Thursday,3 PM,Weekday
MAN FLU METAL SIGN,4,2.1,8.4,2011,February,Thursday,6 PM,Weekday
MAN FLU METAL SIGN,48,1.85,88.8,2011,February,Friday,8 AM,Weekday
