Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
MEASURING TAPE BABUSHKA BLUE,1,2.95,2.95,2010,December,Wednesday,1 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,24,2.95,70.8,2010,December,Thursday,3 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,24,2.55,61.2,2010,December,Thursday,3 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,4,2.95,11.8,2010,December,Monday,12 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,12,2.55,30.6,2010,December,Tuesday,1 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,48,2.55,122.4,2010,December,Friday,10 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,2,2.95,5.9,2010,December,Sunday,11 AM,Weekend
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2010,December,Tuesday,3 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2010,December,Wednesday,10 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2010,December,Thursday,6 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,3,1.66,4.98,2010,December,Thursday,1 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,5.91,5.91,2010,December,Thursday,1 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,1.66,9.96,2011,January,Tuesday,1 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,3,1.66,4.98,2011,January,Wednesday,11 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,1.66,1.66,2011,January,Wednesday,2 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,3,1.66,4.98,2011,January,Thursday,2 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,4,1.66,6.64,2011,January,Friday,11 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,1.66,1.66,2011,January,Friday,1 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,January,Monday,9 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,7,1.66,11.62,2011,January,Monday,9 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,1.66,1.66,2011,January,Monday,2 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,3,1.66,4.98,2011,January,Tuesday,1 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,5,1.66,8.3,2011,January,Wednesday,9 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,1.66,9.96,2011,January,Wednesday,3 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,3,1.63,4.89,2011,January,Thursday,9 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,4,1.63,6.52,2011,January,Thursday,2 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,1.63,1.63,2011,January,Friday,2 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,January,Monday,11 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,1.63,9.78,2011,January,Monday,5 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,1.63,1.63,2011,January,Monday,5 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,1.63,1.63,2011,January,Monday,5 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,1.63,1.63,2011,January,Tuesday,3 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,1.63,1.63,2011,January,Tuesday,5 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,7,1.63,11.41,2011,January,Wednesday,3 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,1.63,1.63,2011,January,Thursday,6 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,7,1.63,11.41,2011,January,Thursday,6 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,12,2.95,35.4,2011,January,Friday,11 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,9,2.95,26.55,2011,January,Friday,12 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,2,1.63,3.26,2011,January,Friday,5 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,January,Thursday,11 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,4,2.95,11.8,2011,February,Thursday,2 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,4,2.95,11.8,2011,February,Tuesday,2 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,March,Tuesday,3 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,5.79,5.79,2011,March,Monday,3 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,2.95,2.95,2011,April,Friday,10 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,2.95,2.95,2011,April,Friday,10 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,April,Friday,8 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,April,Thursday,1 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,May,Friday,2 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,June,Sunday,12 PM,Weekend
MEASURING TAPE BABUSHKA BLUE,2,2.95,5.9,2011,July,Sunday,3 PM,Weekend
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,July,Thursday,10 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,2,2.95,5.9,2011,July,Tuesday,10 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,2,2.95,5.9,2011,July,Wednesday,3 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,July,Thursday,2 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,August,Wednesday,2 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,18,2.95,53.1,2011,August,Tuesday,9 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,2.95,2.95,2011,August,Friday,1 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,2.95,2.95,2011,August,Friday,1 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,2,2.95,5.9,2011,August,Sunday,12 PM,Weekend
MEASURING TAPE BABUSHKA BLUE,12,2.95,35.4,2011,August,Wednesday,2 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,September,Friday,2 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,September,Wednesday,11 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,September,Wednesday,12 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,2.95,2.95,2011,February,Friday,2 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,February,Monday,1 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,5.79,5.79,2011,February,Monday,2 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,January,Tuesday,10 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,2.95,2.95,2011,January,Tuesday,12 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,4,2.95,11.8,2011,January,Wednesday,11 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,5.79,5.79,2011,January,Wednesday,3 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,2.95,2.95,2011,January,Sunday,3 PM,Weekend
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,January,Monday,12 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,5.79,5.79,2011,January,Thursday,9 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,January,Monday,1 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,5.79,5.79,2011,January,Monday,3 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,4,2.95,11.8,2011,January,Monday,3 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,18,2.95,53.1,2011,December,Thursday,1 PM,Weekday
MEASURING TAPE BABUSHKA BLUE,6,2.95,17.7,2011,December,Monday,9 AM,Weekday
MEASURING TAPE BABUSHKA BLUE,1,2.95,2.95,2011,December,Monday,12 PM,Weekday
