Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.81,3.81,2010,December,Wednesday,2 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.81,3.81,2010,December,Thursday,2 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.75,3.75,2010,December,Sunday,11 AM,Weekend
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.81,3.81,2011,January,Monday,4 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.73,3.73,2011,January,Wednesday,3 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.75,3.75,2011,March,Sunday,11 AM,Weekend
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.73,3.73,2011,March,Monday,5 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.73,3.73,2011,April,Tuesday,4 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.73,3.73,2011,May,Tuesday,4 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.73,3.73,2011,July,Tuesday,4 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.73,3.73,2011,July,Thursday,3 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,4,3.75,15.0,2011,August,Tuesday,9 AM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.73,3.73,2011,August,Tuesday,12 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,2,3.75,7.5,2011,September,Monday,12 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,4,3.75,15.0,2011,September,Friday,2 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.73,3.73,2011,February,Thursday,4 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.73,3.73,2011,February,Monday,2 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.73,3.73,2011,January,Monday,3 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,2,3.73,7.46,2011,January,Tuesday,4 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.73,3.73,2011,January,Wednesday,3 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.73,3.73,2011,December,Monday,5 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.73,3.73,2011,December,Thursday,9 AM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.73,3.73,2011,December,Thursday,4 PM,Weekday
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,1,3.73,3.73,2011,December,Friday,10 AM,Weekday
