Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
MILK BOTTLE WITH GLASS STOPPER,1,6.95,6.95,2010,December,Wednesday,1 PM,Weekday
MILK BOTTLE WITH GLASS STOPPER,3,6.95,20.85,2010,December,Sunday,1 PM,Weekend
MILK BOTTLE WITH GLASS STOPPER,2,6.95,13.9,2010,December,Sunday,4 PM,Weekend
MILK BOTTLE WITH GLASS STOPPER,6,6.95,41.7,2010,December,Monday,12 PM,Weekday
MILK BOTTLE WITH GLASS STOPPER,1,14.43,14.43,2010,December,Wednesday,2 PM,Weekday
MILK BOTTLE WITH GLASS STOPPER,1,6.95,6.95,2010,December,Tuesday,1 PM,Weekday
MILK BOTTLE WITH GLASS STOPPER,1,6.95,6.95,2010,December,Thursday,1 PM,Weekday
MILK BOTTLE WITH GLASS STOPPER,1,6.95,6.95,2010,December,Sunday,2 PM,Weekend
MILK BOTTLE WITH GLASS STOPPER,1,6.95,6.95,2010,December,Sunday,3 PM,Weekend
MILK BOTTLE WITH GLASS STOPPER,1,6.95,6.95,2011,January,Tuesday,11 AM,Weekday
MILK BOTTLE WITH GLASS STOPPER,3,6.95,20.85,2011,January,Monday,9 AM,Weekday
MILK BOTTLE WITH GLASS STOPPER,1,14.43,14.43,2011,January,Tuesday,1 PM,Weekday
MILK BOTTLE WITH GLASS STOPPER,1,6.95,6.95,2011,January,Tuesday,1 PM,Weekday
MILK BOTTLE WITH GLASS STOPPER,3,6.95,20.85,2011,January,Thursday,11 AM,Weekday
MILK BOTTLE WITH GLASS STOPPER,2,6.95,13.9,2011,February,Sunday,2 PM,Weekend
MILK BOTTLE WITH GLASS STOPPER,1,6.95,6.95,2011,February,Monday,3 PM,Weekday
MILK BOTTLE WITH GLASS STOPPER,1,6.95,6.95,2011,February,Sunday,1 PM,Weekend
