Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
MONEY BOX BISCUITS DESIGN,1,2.51,2.51,2010,December,Wednesday,5 PM,Weekday
MONEY BOX BISCUITS DESIGN,12,1.25,15.0,2010,December,Friday,2 PM,Weekday
MONEY BOX BISCUITS DESIGN,12,1.25,15.0,2010,December,Sunday,12 PM,Weekend
MONEY BOX BISCUITS DESIGN,1,2.51,2.51,2010,December,Monday,9 AM,Weekday
MONEY BOX BISCUITS DESIGN,1,2.51,2.51,2010,December,Monday,9 AM,Weekday
MONEY BOX BISCUITS DESIGN,1,2.51,2.51,2010,December,Monday,11 AM,Weekday
MONEY BOX BISCUITS DESIGN,12,1.25,15.0,2010,December,Thursday,6 PM,Weekday
MONEY BOX BISCUITS DESIGN,1,2.46,2.46,2011,January,Friday,2 PM,Weekday
MONEY BOX BISCUITS DESIGN,1,1.25,1.25,2011,February,Friday,10 AM,Weekday
MONEY BOX BISCUITS DESIGN,1,2.46,2.46,2011,February,Thursday,6 PM,Weekday
MONEY BOX BISCUITS DESIGN,1,1.25,1.25,2011,February,Sunday,2 PM,Weekend
MONEY BOX BISCUITS DESIGN,6,1.25,7.5,2011,March,Thursday,10 AM,Weekday
MONEY BOX BISCUITS DESIGN,1,2.46,2.46,2011,March,Monday,10 AM,Weekday
MONEY BOX BISCUITS DESIGN,2,1.25,2.5,2011,March,Thursday,12 PM,Weekday
MONEY BOX BISCUITS DESIGN,12,1.25,15.0,2011,March,Thursday,4 PM,Weekday
MONEY BOX BISCUITS DESIGN,1,1.25,1.25,2011,March,Sunday,1 PM,Weekend
MONEY BOX BISCUITS DESIGN,2,1.25,2.5,2011,March,Tuesday,3 PM,Weekday
MONEY BOX BISCUITS DESIGN,1,1.25,1.25,2011,March,Sunday,11 AM,Weekend
MONEY BOX BISCUITS DESIGN,2,1.25,2.5,2011,March,Wednesday,12 PM,Weekday
