Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
MOTHER'S KITCHEN SPOON REST,1,3.75,3.75,2011,March,Thursday,3 PM,Weekday
MOTHER'S KITCHEN SPOON REST,3,3.75,11.25,2011,March,Sunday,11 AM,Weekend
MOTHER'S KITCHEN SPOON REST,1,3.75,3.75,2011,March,Monday,1 PM,Weekday
MOTHER'S KITCHEN SPOON REST,1,7.46,7.46,2011,March,Monday,5 PM,Weekday
MOTHER'S KITCHEN SPOON REST,4,3.75,15.0,2011,March,Tuesday,9 AM,Weekday
MOTHER'S KITCHEN SPOON REST,6,3.75,22.5,2011,March,Wednesday,8 AM,Weekday
MOTHER'S KITCHEN SPOON REST,2,3.75,7.5,2011,March,Tuesday,3 PM,Weekday
MOTHER'S KITCHEN SPOON REST,1,7.46,7.46,2011,March,Thursday,6 PM,Weekday
MOTHER'S KITCHEN SPOON REST,1,7.46,7.46,2011,March,Thursday,6 PM,Weekday
MOTHER'S KITCHEN SPOON REST,6,3.75,22.5,2011,March,Friday,9 AM,Weekday
MOTHER'S KITCHEN SPOON REST,4,3.75,15.0,2011,March,Friday,9 AM,Weekday
MOTHER'S KITCHEN SPOON REST,6,3.75,22.5,2011,March,Sunday,3 PM,Weekend
MOTHER'S KITCHEN SPOON REST,1,7.46,7.46,2011,March,Tuesday,9 AM,Weekday
MOTHER'S KITCHEN SPOON REST,1,7.46,7.46,2011,March,Tuesday,3 PM,Weekday
MOTHER'S KITCHEN SPOON REST,4,3.75,15.0,2011,March,Tuesday,4 PM,Weekday
MOTHER'S KITCHEN SPOON REST,6,3.75,22.5,2011,March,Wednesday,3 PM,Weekday
MOTHER'S KITCHEN SPOON REST,2,7.46,14.92,2011,March,Friday,12 PM,Weekday
MOTHER'S KITCHEN SPOON REST,6,3.75,22.5,2011,March,Monday,10 AM,Weekday
MOTHER'S KITCHEN SPOON REST,2,7.46,14.92,2011,March,Monday,3 PM,Weekday
