Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2010,December,Wednesday,1 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,36,0.85,30.6,2010,December,Thursday,7 AM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2010,December,Thursday,1 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2010,December,Thursday,1 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2010,December,Friday,10 AM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,6,1.84,11.04,2010,December,Friday,11 AM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,36,0.85,30.6,2010,December,Sunday,12 PM,Weekend
MULTI COLOUR SILVER T-LIGHT HOLDER,6,1.84,11.04,2010,December,Monday,10 AM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,192,0.72,138.24,2010,December,Monday,12 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,24,0.85,20.4,2010,December,Monday,12 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,72,0.85,61.2,2010,December,Monday,1 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2010,December,Monday,1 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2010,December,Monday,3 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,24,0.85,20.4,2010,December,Monday,3 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2010,December,Tuesday,1 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2010,December,Tuesday,2 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2010,December,Tuesday,3 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,6,1.84,11.04,2010,December,Tuesday,3 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,6,1.84,11.04,2010,December,Tuesday,3 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,6,1.84,11.04,2010,December,Tuesday,6 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,384,0.72,276.48,2010,December,Wednesday,10 AM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2010,December,Wednesday,12 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,72,0.85,61.2,2010,December,Wednesday,12 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,6,1.84,11.04,2010,December,Wednesday,2 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,24,0.85,20.4,2010,December,Thursday,9 AM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,6,1.84,11.04,2010,December,Thursday,2 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,6,1.84,11.04,2010,December,Thursday,4 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,6,0.84,5.04,2010,December,Friday,2 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,6,1.84,11.04,2010,December,Monday,11 AM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,24,0.85,20.4,2010,December,Monday,2 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2010,December,Tuesday,1 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,36,0.85,30.6,2010,December,Tuesday,2 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,72,0.85,61.2,2010,December,Wednesday,11 AM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,48,0.85,40.8,2010,December,Thursday,9 AM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,24,0.85,20.4,2010,December,Thursday,12 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,60,0.85,51.0,2010,December,Thursday,1 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,24,0.85,20.4,2010,December,Thursday,5 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,2,0.85,1.7,2010,December,Thursday,7 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2010,December,Friday,2 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,6,1.84,11.04,2010,December,Friday,2 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2010,December,Friday,3 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2010,December,Friday,3 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,1.84,22.08,2010,December,Friday,4 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,18,1.84,33.12,2010,December,Tuesday,1 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,24,0.85,20.4,2010,December,Thursday,12 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,6,1.84,11.04,2010,December,Thursday,1 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,5,0.85,4.25,2010,December,Thursday,4 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,36,0.85,30.6,2011,January,Tuesday,11 AM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,192,0.72,138.24,2011,January,Wednesday,1 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,24,0.85,20.4,2011,January,Sunday,3 PM,Weekend
MULTI COLOUR SILVER T-LIGHT HOLDER,24,0.85,20.4,2011,January,Thursday,3 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2011,January,Monday,2 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,36,0.85,30.6,2011,January,Thursday,3 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,6,1.8,10.8,2011,January,Monday,9 AM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2011,January,Monday,3 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2011,January,Tuesday,1 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,6,1.8,10.8,2011,January,Wednesday,4 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,24,0.85,20.4,2011,January,Friday,11 AM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2011,January,Friday,12 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,8,0.85,6.8,2011,January,Sunday,3 PM,Weekend
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2011,February,Tuesday,9 AM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,48,0.85,40.8,2011,February,Tuesday,2 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,6,1.8,10.8,2011,February,Wednesday,12 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2011,February,Thursday,1 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2011,February,Monday,10 AM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,6,1.8,10.8,2011,February,Tuesday,2 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2011,February,Wednesday,2 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,2011,February,Friday,3 PM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,60,0.85,51.0,2011,February,Tuesday,10 AM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,192,0.72,138.24,2011,February,Wednesday,11 AM,Weekday
MULTI COLOUR SILVER T-LIGHT HOLDER,192,0.72,138.24,2011,February,Wednesday,2 PM,Weekday
