Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
MULTICOLOUR SPRING FLOWER MUG,4,0.85,3.4,2010,December,Tuesday,2 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.47,8.47,2010,December,Tuesday,3 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.47,8.47,2010,December,Tuesday,3 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.47,8.47,2010,December,Thursday,4 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.47,8.47,2010,December,Thursday,4 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.47,8.47,2010,December,Thursday,4 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.47,8.47,2010,December,Tuesday,3 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,2,8.47,16.94,2010,December,Tuesday,3 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.47,8.47,2011,January,Thursday,2 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,12,0.85,10.2,2011,January,Thursday,10 AM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.29,8.29,2011,January,Friday,10 AM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.29,8.29,2011,January,Tuesday,3 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.29,8.29,2011,January,Tuesday,2 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,2,8.29,16.58,2011,January,Monday,9 AM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.29,8.29,2011,February,Wednesday,12 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.29,8.29,2011,February,Thursday,10 AM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.29,8.29,2011,February,Wednesday,11 AM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.29,8.29,2011,February,Friday,2 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.29,8.29,2011,March,Tuesday,2 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,12,0.39,4.68,2011,March,Sunday,1 PM,Weekend
MULTICOLOUR SPRING FLOWER MUG,6,0.39,2.34,2011,March,Monday,1 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.29,8.29,2011,March,Wednesday,3 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,12,0.39,4.68,2011,March,Thursday,1 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,48,0.39,18.72,2011,March,Tuesday,9 AM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.29,8.29,2011,March,Tuesday,1 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.29,8.29,2011,March,Thursday,2 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,3,8.29,24.87,2011,March,Thursday,4 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.29,8.29,2011,April,Friday,2 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,48,0.39,18.72,2011,April,Tuesday,1 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,36,0.39,14.04,2011,April,Tuesday,2 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,6,0.39,2.34,2011,April,Wednesday,12 PM,Weekday
MULTICOLOUR SPRING FLOWER MUG,48,0.39,18.72,2011,April,Friday,9 AM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.29,8.29,2011,April,Friday,10 AM,Weekday
MULTICOLOUR SPRING FLOWER MUG,1,8.29,8.29,2011,April,Friday,10 AM,Weekday
