Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
MURANO STYLE GLASS BRACELET BLACK,1,3.81,3.81,2010,December,Wednesday,5 PM,Weekday
MURANO STYLE GLASS BRACELET BLACK,1,3.81,3.81,2010,December,Monday,4 PM,Weekday
MURANO STYLE GLASS BRACELET BLACK,3,3.5,10.5,2010,December,Monday,10 AM,Weekday
MURANO STYLE GLASS BRACELET BLACK,1,3.81,3.81,2011,January,Thursday,2 PM,Weekday
MURANO STYLE GLASS BRACELET BLACK,1,3.81,3.81,2011,January,Monday,9 AM,Weekday
MURANO STYLE GLASS BRACELET BLACK,1,3.81,3.81,2011,January,Monday,2 PM,Weekday
MURANO STYLE GLASS BRACELET BLACK,1,3.81,3.81,2011,January,Tuesday,1 PM,Weekday
MURANO STYLE GLASS BRACELET BLACK,1,3.73,3.73,2011,January,Monday,5 PM,Weekday
MURANO STYLE GLASS BRACELET BLACK,6,3.73,22.38,2011,January,Tuesday,10 AM,Weekday
MURANO STYLE GLASS BRACELET BLACK,1,3.5,3.5,2011,March,Friday,10 AM,Weekday
MURANO STYLE GLASS BRACELET BLACK,1,3.73,3.73,2011,May,Friday,3 PM,Weekday
