Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
NUMBER TILE VINTAGE FONT 9,24,0.42,10.08,2010,December,Tuesday,12 PM,Weekday
NUMBER TILE VINTAGE FONT 9,16,2.17,34.72,2011,January,Tuesday,8 AM,Weekday
NUMBER TILE VINTAGE FONT 9,12,0.42,5.04,2011,January,Tuesday,2 PM,Weekday
NUMBER TILE VINTAGE FONT 9,1,4.13,4.13,2011,February,Tuesday,2 PM,Weekday
NUMBER TILE VINTAGE FONT 9,2,1.95,3.9,2011,February,Sunday,3 PM,Weekend
NUMBER TILE VINTAGE FONT 9,1,4.13,4.13,2011,March,Thursday,4 PM,Weekday
NUMBER TILE VINTAGE FONT 9,1,4.13,4.13,2011,May,Monday,4 PM,Weekday
NUMBER TILE VINTAGE FONT 9,1,4.13,4.13,2011,June,Friday,5 PM,Weekday
NUMBER TILE VINTAGE FONT 9,4,1.95,7.8,2011,June,Thursday,11 AM,Weekday
NUMBER TILE VINTAGE FONT 9,1,4.13,4.13,2011,July,Wednesday,4 PM,Weekday
NUMBER TILE VINTAGE FONT 9,1,4.13,4.13,2011,July,Friday,9 AM,Weekday
NUMBER TILE VINTAGE FONT 9,1,4.13,4.13,2011,July,Monday,5 PM,Weekday
NUMBER TILE VINTAGE FONT 9,1,4.13,4.13,2011,July,Thursday,3 PM,Weekday
NUMBER TILE VINTAGE FONT 9,1,4.13,4.13,2011,August,Tuesday,4 PM,Weekday
NUMBER TILE VINTAGE FONT 9,2,1.95,3.9,2011,August,Sunday,3 PM,Weekend
NUMBER TILE VINTAGE FONT 9,1,4.13,4.13,2011,September,Wednesday,3 PM,Weekday
NUMBER TILE VINTAGE FONT 9,2,1.95,3.9,2011,September,Thursday,1 PM,Weekday
NUMBER TILE VINTAGE FONT 9,1,4.13,4.13,2011,February,Thursday,3 PM,Weekday
NUMBER TILE VINTAGE FONT 9,1,4.13,4.13,2011,January,Thursday,9 AM,Weekday
NUMBER TILE VINTAGE FONT 9,1,1.95,1.95,2011,January,Thursday,2 PM,Weekday
NUMBER TILE VINTAGE FONT 9,1,4.13,4.13,2011,December,Friday,10 AM,Weekday
