Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2010,December,Wednesday,3 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",2,6.75,13.5,2010,December,Friday,10 AM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2010,December,Friday,11 AM,Weekday
"NURSERY A,B,C PAINTED LETTERS",2,6.75,13.5,2010,December,Wednesday,1 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",2,6.75,13.5,2010,December,Sunday,2 PM,Weekend
"NURSERY A,B,C PAINTED LETTERS",2,6.75,13.5,2011,January,Thursday,11 AM,Weekday
"NURSERY A,B,C PAINTED LETTERS",2,6.75,13.5,2011,January,Tuesday,2 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,January,Monday,3 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,February,Tuesday,11 AM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,February,Thursday,1 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,February,Wednesday,10 AM,Weekday
"NURSERY A,B,C PAINTED LETTERS",6,6.75,40.5,2011,February,Friday,1 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,February,Monday,3 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",2,6.75,13.5,2011,March,Tuesday,9 AM,Weekday
"NURSERY A,B,C PAINTED LETTERS",2,6.75,13.5,2011,March,Monday,2 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,March,Tuesday,3 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,13.29,13.29,2011,March,Thursday,4 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",2,6.75,13.5,2011,March,Wednesday,2 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",2,6.75,13.5,2011,March,Thursday,7 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,March,Sunday,1 PM,Weekend
"NURSERY A,B,C PAINTED LETTERS",2,6.75,13.5,2011,March,Thursday,9 AM,Weekday
"NURSERY A,B,C PAINTED LETTERS",6,6.75,40.5,2011,May,Tuesday,12 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,May,Tuesday,1 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",6,6.75,40.5,2011,May,Friday,2 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,May,Friday,2 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,May,Sunday,1 PM,Weekend
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,May,Sunday,4 PM,Weekend
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,May,Monday,3 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,May,Wednesday,12 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,May,Wednesday,11 AM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,June,Wednesday,1 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",2,6.75,13.5,2011,June,Wednesday,3 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",2,6.75,13.5,2011,June,Wednesday,3 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,June,Thursday,1 PM,Weekday
"NURSERY A,B,C PAINTED LETTERS",1,6.75,6.75,2011,June,Sunday,12 PM,Weekend
