Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
OPIUM SCENTED VOTIVE CANDLE,48,0.21,10.08,2010,December,Monday,1 PM,Weekday
OPIUM SCENTED VOTIVE CANDLE,24,0.29,6.96,2011,February,Tuesday,11 AM,Weekday
OPIUM SCENTED VOTIVE CANDLE,48,0.21,10.08,2011,February,Thursday,12 PM,Weekday
OPIUM SCENTED VOTIVE CANDLE,24,0.29,6.96,2011,March,Wednesday,5 PM,Weekday
OPIUM SCENTED VOTIVE CANDLE,144,0.21,30.24,2011,March,Tuesday,12 PM,Weekday
OPIUM SCENTED VOTIVE CANDLE,144,0.21,30.24,2011,April,Thursday,10 AM,Weekday
OPIUM SCENTED VOTIVE CANDLE,48,0.21,10.08,2011,June,Thursday,9 AM,Weekday
OPIUM SCENTED VOTIVE CANDLE,24,0.29,6.96,2011,June,Wednesday,8 AM,Weekday
OPIUM SCENTED VOTIVE CANDLE,24,0.29,6.96,2011,June,Wednesday,12 PM,Weekday
OPIUM SCENTED VOTIVE CANDLE,24,0.29,6.96,2011,August,Wednesday,11 AM,Weekday
OPIUM SCENTED VOTIVE CANDLE,24,0.29,6.96,2011,August,Monday,1 PM,Weekday
OPIUM SCENTED VOTIVE CANDLE,24,0.29,6.96,2011,August,Monday,3 PM,Weekday
OPIUM SCENTED VOTIVE CANDLE,72,0.29,20.88,2011,August,Tuesday,1 PM,Weekday
OPIUM SCENTED VOTIVE CANDLE,24,0.29,6.96,2011,August,Thursday,11 AM,Weekday
OPIUM SCENTED VOTIVE CANDLE,72,0.21,15.12,2011,September,Thursday,2 PM,Weekday
OPIUM SCENTED VOTIVE CANDLE,24,0.29,6.96,2011,September,Sunday,3 PM,Weekend
OPIUM SCENTED VOTIVE CANDLE,24,0.29,6.96,2011,January,Wednesday,2 PM,Weekday
OPIUM SCENTED VOTIVE CANDLE,24,0.29,6.96,2011,December,Friday,12 PM,Weekday
