Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
ORANGE TV TRAY TABLE,1,4.25,4.25,2010,December,Monday,3 PM,Weekday
ORANGE TV TRAY TABLE,1,16.98,16.98,2010,December,Friday,5 PM,Weekday
ORANGE TV TRAY TABLE,1,5.91,5.91,2010,December,Thursday,1 PM,Weekday
ORANGE TV TRAY TABLE,2,5.91,11.82,2011,January,Wednesday,11 AM,Weekday
ORANGE TV TRAY TABLE,1,5.91,5.91,2011,January,Wednesday,2 PM,Weekday
ORANGE TV TRAY TABLE,1,5.91,5.91,2011,January,Friday,1 PM,Weekday
ORANGE TV TRAY TABLE,5,5.91,29.55,2011,January,Monday,9 AM,Weekday
ORANGE TV TRAY TABLE,1,5.91,5.91,2011,January,Monday,4 PM,Weekday
ORANGE TV TRAY TABLE,1,5.91,5.91,2011,January,Wednesday,9 AM,Weekday
ORANGE TV TRAY TABLE,1,5.79,5.79,2011,January,Thursday,9 AM,Weekday
ORANGE TV TRAY TABLE,3,5.79,17.37,2011,January,Thursday,2 PM,Weekday
ORANGE TV TRAY TABLE,4,5.79,23.16,2011,January,Friday,2 PM,Weekday
ORANGE TV TRAY TABLE,8,5.79,46.32,2011,January,Monday,5 PM,Weekday
ORANGE TV TRAY TABLE,1,5.79,5.79,2011,January,Monday,5 PM,Weekday
ORANGE TV TRAY TABLE,3,5.79,17.37,2011,January,Monday,5 PM,Weekday
ORANGE TV TRAY TABLE,3,5.79,17.37,2011,January,Tuesday,3 PM,Weekday
ORANGE TV TRAY TABLE,2,5.79,11.58,2011,January,Wednesday,3 PM,Weekday
ORANGE TV TRAY TABLE,3,5.79,17.37,2011,January,Thursday,6 PM,Weekday
ORANGE TV TRAY TABLE,1,5.79,5.79,2011,January,Friday,5 PM,Weekday
ORANGE TV TRAY TABLE,2,4.25,8.5,2011,January,Monday,4 PM,Weekday
ORANGE TV TRAY TABLE,1,4.25,4.25,2011,February,Tuesday,9 AM,Weekday
ORANGE TV TRAY TABLE,1,1.95,1.95,2011,March,Monday,5 PM,Weekday
ORANGE TV TRAY TABLE,24,1.95,46.8,2011,March,Tuesday,12 PM,Weekday
ORANGE TV TRAY TABLE,1,1.95,1.95,2011,March,Tuesday,3 PM,Weekday
ORANGE TV TRAY TABLE,6,1.95,11.7,2011,March,Wednesday,1 PM,Weekday
ORANGE TV TRAY TABLE,96,1.95,187.2,2011,April,Friday,9 AM,Weekday
ORANGE TV TRAY TABLE,2,1.95,3.9,2011,April,Sunday,12 PM,Weekend
ORANGE TV TRAY TABLE,6,1.95,11.7,2011,April,Sunday,12 PM,Weekend
ORANGE TV TRAY TABLE,24,1.95,46.8,2011,April,Tuesday,2 PM,Weekday
ORANGE TV TRAY TABLE,12,1.95,23.4,2011,April,Wednesday,11 AM,Weekday
ORANGE TV TRAY TABLE,6,1.95,11.7,2011,April,Wednesday,1 PM,Weekday
ORANGE TV TRAY TABLE,6,1.95,11.7,2011,April,Wednesday,1 PM,Weekday
ORANGE TV TRAY TABLE,24,1.95,46.8,2011,April,Thursday,12 PM,Weekday
ORANGE TV TRAY TABLE,2,1.95,3.9,2011,April,Tuesday,1 PM,Weekday
ORANGE TV TRAY TABLE,6,1.95,11.7,2011,April,Thursday,9 AM,Weekday
ORANGE TV TRAY TABLE,1,1.95,1.95,2011,May,Sunday,1 PM,Weekend
ORANGE TV TRAY TABLE,24,1.95,46.8,2011,May,Wednesday,11 AM,Weekday
ORANGE TV TRAY TABLE,6,1.95,11.7,2011,May,Thursday,9 AM,Weekday
ORANGE TV TRAY TABLE,12,1.95,23.4,2011,May,Tuesday,10 AM,Weekday
ORANGE TV TRAY TABLE,6,1.95,11.7,2011,May,Friday,4 PM,Weekday
ORANGE TV TRAY TABLE,6,1.95,11.7,2011,May,Friday,11 AM,Weekday
ORANGE TV TRAY TABLE,1,1.95,1.95,2011,May,Tuesday,3 PM,Weekday
ORANGE TV TRAY TABLE,186,1.95,362.7,2011,June,Thursday,9 AM,Weekday
