Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.51,2.51,2010,December,Wednesday,2 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.51,2.51,2010,December,Wednesday,5 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.51,2.51,2010,December,Monday,9 AM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.51,2.51,2010,December,Monday,10 AM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.51,2.51,2010,December,Tuesday,3 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,12,2.55,30.6,2010,December,Friday,12 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,24,0.5,12.0,2010,December,Wednesday,3 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.55,2.55,2010,December,Thursday,4 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.51,2.51,2011,January,Tuesday,1 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,2,2.51,5.02,2011,January,Thursday,2 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,2,2.51,5.02,2011,January,Tuesday,1 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.46,2.46,2011,January,Thursday,9 AM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,2,2.46,4.92,2011,January,Monday,5 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.46,2.46,2011,January,Thursday,6 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.46,2.46,2011,January,Friday,2 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,2,2.46,4.92,2011,January,Monday,12 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.55,2.55,2011,February,Wednesday,12 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.46,2.46,2011,February,Monday,4 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.46,2.46,2011,March,Monday,5 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.46,2.46,2011,March,Wednesday,4 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.46,2.46,2011,March,Thursday,6 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,2,2.46,4.92,2011,March,Sunday,11 AM,Weekend
ORIGAMI SANDLEWOOD INCENSE/CAND SET,2,2.55,5.1,2011,March,Sunday,2 PM,Weekend
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.46,2.46,2011,April,Tuesday,3 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.55,2.55,2011,April,Thursday,2 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.46,2.46,2011,May,Thursday,3 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.46,2.46,2011,May,Friday,3 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2.46,2.46,2011,June,Tuesday,5 PM,Weekday
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,0.85,0.85,2011,June,Sunday,1 PM,Weekend
