Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,9,1.95,17.55,2011,January,Monday,1 PM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,1,4.13,4.13,2011,January,Monday,3 PM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,2,1.95,3.9,2011,January,Tuesday,2 PM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,7,4.13,28.91,2011,January,Wednesday,10 AM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,3,1.95,5.85,2011,January,Wednesday,10 AM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,1,4.13,4.13,2011,January,Wednesday,3 PM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,1,4.13,4.13,2011,January,Thursday,3 PM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,1,1.95,1.95,2011,January,Friday,12 PM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,3,1.95,5.85,2011,January,Friday,1 PM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,2,1.95,3.9,2011,January,Sunday,12 PM,Weekend
PACK 3 BOXES CHRISTMAS PANETTONE,2,4.13,8.26,2011,January,Sunday,1 PM,Weekend
PACK 3 BOXES CHRISTMAS PANETTONE,2,1.95,3.9,2011,January,Tuesday,11 AM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,2,4.13,8.26,2011,January,Tuesday,3 PM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,8,4.13,33.04,2011,January,Wednesday,11 AM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,4,4.13,16.52,2011,January,Wednesday,1 PM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,2,4.13,8.26,2011,January,Thursday,9 AM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,1,4.13,4.13,2011,January,Friday,2 PM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,2,4.13,8.26,2011,January,Friday,3 PM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,4,4.13,16.52,2011,January,Monday,3 PM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,1,4.13,4.13,2011,January,Tuesday,11 AM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,4,1.95,7.8,2011,January,Tuesday,12 PM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,6,4.13,24.78,2011,January,Tuesday,3 PM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,4,4.13,16.52,2011,January,Wednesday,2 PM,Weekday
PACK 3 BOXES CHRISTMAS PANETTONE,4,1.95,7.8,2011,December,Monday,4 PM,Weekday
