Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,6,1.25,7.5,2010,December,Sunday,12 PM,Weekend
PACK 6 HEART/ICE-CREAM PATCHES,1,1.25,1.25,2010,December,Sunday,1 PM,Weekend
PACK 6 HEART/ICE-CREAM PATCHES,12,1.25,15.0,2010,December,Monday,12 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,1,2.51,2.51,2010,December,Monday,4 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,1,2.51,2.51,2010,December,Tuesday,3 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,9,0.85,7.65,2010,December,Thursday,1 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,1,0.85,0.85,2011,January,Tuesday,1 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,1,0.85,0.85,2011,January,Wednesday,11 AM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,1,0.85,0.85,2011,January,Wednesday,4 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,2,0.85,1.7,2011,January,Thursday,2 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,1,0.85,0.85,2011,January,Friday,11 AM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,2,0.85,1.7,2011,January,Friday,1 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,5,1.25,6.25,2011,January,Sunday,12 PM,Weekend
PACK 6 HEART/ICE-CREAM PATCHES,1,0.85,0.85,2011,January,Monday,9 AM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,2,1.25,2.5,2011,January,Monday,10 AM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,3,0.85,2.55,2011,January,Monday,2 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,6,0.85,5.1,2011,January,Tuesday,1 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,14,0.85,11.9,2011,January,Wednesday,9 AM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,3,0.85,2.55,2011,January,Wednesday,3 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,7,0.83,5.81,2011,January,Thursday,9 AM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,2,0.83,1.66,2011,January,Thursday,2 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,7,0.83,5.81,2011,January,Friday,2 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,2,0.83,1.66,2011,January,Monday,5 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,4,0.83,3.32,2011,January,Monday,5 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,4,0.83,3.32,2011,January,Monday,5 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,24,1.25,30.0,2011,January,Tuesday,9 AM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,1,0.83,0.83,2011,January,Tuesday,3 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,4,0.83,3.32,2011,January,Wednesday,3 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,3,0.83,2.49,2011,January,Thursday,6 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,3,0.83,2.49,2011,January,Thursday,6 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,2,2.46,4.92,2011,February,Monday,12 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,1,1.25,1.25,2011,February,Sunday,1 PM,Weekend
PACK 6 HEART/ICE-CREAM PATCHES,12,1.25,15.0,2011,March,Tuesday,9 AM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,1,2.46,2.46,2011,March,Monday,5 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,12,1.25,15.0,2011,March,Tuesday,9 AM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,12,1.25,15.0,2011,March,Monday,12 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,4,2.46,9.84,2011,March,Tuesday,9 AM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,3,1.25,3.75,2011,March,Monday,2 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,4,1.25,5.0,2011,April,Sunday,3 PM,Weekend
PACK 6 HEART/ICE-CREAM PATCHES,12,1.25,15.0,2011,April,Wednesday,2 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,12,1.25,15.0,2011,April,Thursday,5 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,6,1.25,7.5,2011,April,Thursday,6 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,1,2.46,2.46,2011,May,Monday,4 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,1,1.25,1.25,2011,May,Friday,4 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,12,1.25,15.0,2011,May,Sunday,10 AM,Weekend
PACK 6 HEART/ICE-CREAM PATCHES,24,1.25,30.0,2011,May,Sunday,12 PM,Weekend
PACK 6 HEART/ICE-CREAM PATCHES,5,1.25,6.25,2011,May,Monday,1 PM,Weekday
PACK 6 HEART/ICE-CREAM PATCHES,4,1.25,5.0,2011,May,Tuesday,2 PM,Weekday
