Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,48,0.39,18.72,2011,September,Thursday,11 AM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Monday,9 AM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,432,0.32,138.24,2011,September,Tuesday,2 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Friday,3 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,12,0.39,4.68,2011,September,Sunday,1 PM,Weekend
PACK OF 12 50'S CHRISTMAS TISSUES,48,0.39,18.72,2011,September,Monday,10 AM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Monday,11 AM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Monday,2 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,432,0.32,138.24,2011,September,Tuesday,3 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Wednesday,11 AM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,1,0.83,0.83,2011,September,Wednesday,3 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Thursday,2 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Friday,9 AM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Friday,11 AM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Friday,1 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,12,0.39,4.68,2011,September,Sunday,3 PM,Weekend
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Wednesday,12 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,48,0.39,18.72,2011,September,Wednesday,1 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Thursday,3 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Friday,3 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Sunday,11 AM,Weekend
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Monday,10 AM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Monday,11 AM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Monday,11 AM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,12,0.39,4.68,2011,September,Monday,12 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Monday,1 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Tuesday,12 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,1,0.83,0.83,2011,September,Wednesday,4 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Wednesday,4 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Thursday,5 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,September,Thursday,6 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,February,Monday,9 AM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,February,Tuesday,12 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,48,0.39,18.72,2011,February,Tuesday,1 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,3,0.83,2.49,2011,February,Tuesday,4 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,February,Wednesday,9 AM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,February,Wednesday,10 AM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,February,Wednesday,12 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,February,Thursday,10 AM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,12,0.39,4.68,2011,February,Thursday,2 PM,Weekday
PACK OF 12 50'S CHRISTMAS TISSUES,12,0.39,4.68,2011,February,Friday,4 PM,Weekday
