Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2010,December,Wednesday,9 AM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2010,December,Wednesday,10 AM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,3,0.55,1.65,2010,December,Wednesday,11 AM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2010,December,Wednesday,12 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,1,0.55,0.55,2010,December,Wednesday,12 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2010,December,Wednesday,1 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,1,1.28,1.28,2010,December,Wednesday,2 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,21,1.28,26.88,2010,December,Wednesday,5 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,120,0.42,50.4,2010,December,Thursday,10 AM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2010,December,Thursday,6 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,3,1.28,3.84,2010,December,Friday,11 AM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,9,2.13,19.17,2010,December,Friday,2 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,1,0.55,0.55,2010,December,Friday,4 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,120,0.42,50.4,2010,December,Friday,4 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,6,0.55,3.3,2010,December,Sunday,11 AM,Weekend
PACK OF 60 PINK PAISLEY CAKE CASES,1,0.55,0.55,2010,December,Sunday,12 PM,Weekend
PACK OF 60 PINK PAISLEY CAKE CASES,3,0.55,1.65,2010,December,Sunday,3 PM,Weekend
PACK OF 60 PINK PAISLEY CAKE CASES,48,0.55,26.4,2010,December,Monday,8 AM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,2,1.28,2.56,2010,December,Monday,9 AM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,1,1.28,1.28,2010,December,Monday,10 AM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,5,1.28,6.4,2010,December,Monday,4 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,1,1.28,1.28,2010,December,Tuesday,3 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,6,2.13,12.78,2010,December,Tuesday,3 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,2,1.28,2.56,2010,December,Tuesday,6 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,6,0.55,3.3,2010,December,Wednesday,10 AM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2010,December,Wednesday,2 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,3,1.28,3.84,2010,December,Wednesday,2 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2010,December,Wednesday,4 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,8,0.55,4.4,2010,December,Thursday,12 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,1,1.28,1.28,2010,December,Thursday,2 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2010,December,Thursday,4 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2010,December,Friday,11 AM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2010,December,Friday,11 AM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,3,1.28,3.84,2010,December,Friday,2 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2010,December,Friday,3 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,2,0.55,1.1,2010,December,Sunday,12 PM,Weekend
PACK OF 60 PINK PAISLEY CAKE CASES,2,1.28,2.56,2010,December,Monday,9 AM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,7,0.55,3.85,2010,December,Monday,10 AM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,1,0.55,0.55,2010,December,Monday,1 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2010,December,Monday,2 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,2,0.55,1.1,2010,December,Monday,3 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2010,December,Tuesday,1 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2010,December,Tuesday,3 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,5,0.55,2.75,2010,December,Tuesday,4 PM,Weekday
