Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PACK/12 BLUE FOLKART CARDS,1,2.95,2.95,2010,December,Friday,12 PM,Weekday
PACK/12 BLUE FOLKART CARDS,1,2.95,2.95,2010,December,Wednesday,12 PM,Weekday
PACK/12 BLUE FOLKART CARDS,1,2.95,2.95,2010,December,Monday,4 PM,Weekday
PACK/12 BLUE FOLKART CARDS,3,2.95,8.85,2011,January,Thursday,12 PM,Weekday
PACK/12 BLUE FOLKART CARDS,1,2.95,2.95,2011,March,Friday,10 AM,Weekday
PACK/12 BLUE FOLKART CARDS,1,2.95,2.95,2011,March,Monday,12 PM,Weekday
PACK/12 BLUE FOLKART CARDS,2,2.95,5.9,2011,June,Friday,3 PM,Weekday
PACK/12 BLUE FOLKART CARDS,1,2.95,2.95,2011,July,Sunday,10 AM,Weekend
PACK/12 BLUE FOLKART CARDS,1,2.95,2.95,2011,August,Tuesday,3 PM,Weekday
PACK/12 BLUE FOLKART CARDS,1,2.95,2.95,2011,September,Thursday,12 PM,Weekday
PACK/12 BLUE FOLKART CARDS,1,2.95,2.95,2011,September,Sunday,3 PM,Weekend
PACK/12 BLUE FOLKART CARDS,1,2.95,2.95,2011,September,Wednesday,4 PM,Weekday
PACK/12 BLUE FOLKART CARDS,1,2.95,2.95,2011,February,Thursday,1 PM,Weekday
PACK/12 BLUE FOLKART CARDS,1,2.95,2.95,2011,February,Sunday,4 PM,Weekend
PACK/12 BLUE FOLKART CARDS,1,2.95,2.95,2011,February,Sunday,11 AM,Weekend
PACK/12 BLUE FOLKART CARDS,1,2.95,2.95,2011,January,Friday,10 AM,Weekday
PACK/12 BLUE FOLKART CARDS,2,2.95,5.9,2011,January,Tuesday,5 PM,Weekday
PACK/12 BLUE FOLKART CARDS,1,2.95,2.95,2011,January,Sunday,4 PM,Weekend
