Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2010,December,Wednesday,4 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2010,December,Friday,12 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2010,December,Sunday,3 PM,Weekend
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2010,December,Sunday,3 PM,Weekend
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2010,December,Monday,10 AM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2010,December,Tuesday,1 PM,Weekday
PAINTED METAL PEARS ASSORTED,1,25.49,25.49,2010,December,Tuesday,3 PM,Weekday
PAINTED METAL PEARS ASSORTED,3,1.69,5.07,2010,December,Wednesday,12 PM,Weekday
PAINTED METAL PEARS ASSORTED,1,1.69,1.69,2010,December,Wednesday,12 PM,Weekday
PAINTED METAL PEARS ASSORTED,1,1.69,1.69,2010,December,Wednesday,12 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2010,December,Wednesday,12 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2010,December,Wednesday,12 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2010,December,Wednesday,2 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2010,December,Wednesday,3 PM,Weekday
PAINTED METAL PEARS ASSORTED,16,1.69,27.04,2010,December,Thursday,10 AM,Weekday
PAINTED METAL PEARS ASSORTED,16,1.69,27.04,2010,December,Thursday,2 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2010,December,Friday,1 PM,Weekday
PAINTED METAL PEARS ASSORTED,16,1.69,27.04,2010,December,Sunday,11 AM,Weekend
PAINTED METAL PEARS ASSORTED,1,1.69,1.69,2010,December,Sunday,1 PM,Weekend
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2010,December,Monday,11 AM,Weekday
PAINTED METAL PEARS ASSORTED,16,1.69,27.04,2010,December,Monday,1 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2010,December,Tuesday,11 AM,Weekday
PAINTED METAL PEARS ASSORTED,32,1.69,54.08,2010,December,Thursday,1 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2010,December,Tuesday,2 PM,Weekday
PAINTED METAL PEARS ASSORTED,16,1.69,27.04,2010,December,Thursday,12 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2011,January,Wednesday,3 PM,Weekday
PAINTED METAL PEARS ASSORTED,12,1.69,20.28,2011,January,Sunday,2 PM,Weekend
PAINTED METAL PEARS ASSORTED,12,1.69,20.28,2011,January,Tuesday,2 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2011,January,Wednesday,4 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2011,January,Thursday,11 AM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2011,January,Friday,9 AM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2011,January,Monday,10 AM,Weekday
PAINTED METAL PEARS ASSORTED,16,1.69,27.04,2011,January,Monday,12 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2011,January,Thursday,9 AM,Weekday
PAINTED METAL PEARS ASSORTED,16,1.69,27.04,2011,January,Thursday,2 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2011,January,Tuesday,1 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2011,January,Wednesday,2 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2011,January,Thursday,10 AM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2011,January,Thursday,12 PM,Weekday
PAINTED METAL PEARS ASSORTED,8,1.69,13.52,2011,January,Friday,1 PM,Weekday
