Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PANTRY APPLE CORER,1,1.45,1.45,2011,March,Thursday,3 PM,Weekday
PANTRY APPLE CORER,2,1.45,2.9,2011,March,Friday,12 PM,Weekday
PANTRY APPLE CORER,1,1.45,1.45,2011,March,Monday,1 PM,Weekday
PANTRY APPLE CORER,1,2.92,2.92,2011,March,Tuesday,3 PM,Weekday
PANTRY APPLE CORER,2,1.45,2.9,2011,March,Wednesday,10 AM,Weekday
PANTRY APPLE CORER,1,1.45,1.45,2011,March,Monday,3 PM,Weekday
PANTRY APPLE CORER,4,1.45,5.8,2011,March,Monday,4 PM,Weekday
PANTRY APPLE CORER,1,1.45,1.45,2011,March,Friday,3 PM,Weekday
PANTRY APPLE CORER,12,1.45,17.4,2011,March,Sunday,3 PM,Weekend
PANTRY APPLE CORER,1,2.92,2.92,2011,March,Tuesday,9 AM,Weekday
PANTRY APPLE CORER,1,1.45,1.45,2011,March,Tuesday,10 AM,Weekday
PANTRY APPLE CORER,3,1.45,4.35,2011,March,Tuesday,10 AM,Weekday
PANTRY APPLE CORER,1,1.45,1.45,2011,March,Tuesday,1 PM,Weekday
PANTRY APPLE CORER,2,1.45,2.9,2011,March,Tuesday,1 PM,Weekday
PANTRY APPLE CORER,6,1.45,8.7,2011,March,Wednesday,12 PM,Weekday
PANTRY APPLE CORER,3,1.45,4.35,2011,March,Tuesday,1 PM,Weekday
PANTRY APPLE CORER,4,1.45,5.8,2011,March,Wednesday,12 PM,Weekday
PANTRY APPLE CORER,1,2.92,2.92,2011,March,Wednesday,4 PM,Weekday
PANTRY APPLE CORER,1,1.45,1.45,2011,April,Friday,11 AM,Weekday
PANTRY APPLE CORER,1,1.45,1.45,2011,April,Sunday,11 AM,Weekend
PANTRY APPLE CORER,12,1.45,17.4,2011,April,Monday,12 PM,Weekday
PANTRY APPLE CORER,12,1.45,17.4,2011,April,Tuesday,10 AM,Weekday
PANTRY APPLE CORER,12,1.45,17.4,2011,April,Thursday,12 PM,Weekday
PANTRY APPLE CORER,2,2.92,5.84,2011,April,Thursday,7 PM,Weekday
PANTRY APPLE CORER,12,1.45,17.4,2011,April,Friday,2 PM,Weekday
PANTRY APPLE CORER,1,2.92,2.92,2011,April,Monday,1 PM,Weekday
PANTRY APPLE CORER,2,2.92,5.84,2011,April,Monday,1 PM,Weekday
PANTRY APPLE CORER,1,2.92,2.92,2011,April,Thursday,6 PM,Weekday
