Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PAPER BUNTING PAISLEY PARK,1,2.95,2.95,2011,January,Thursday,4 PM,Weekday
PAPER BUNTING PAISLEY PARK,2,2.95,5.9,2011,January,Sunday,10 AM,Weekend
PAPER BUNTING PAISLEY PARK,4,2.95,11.8,2011,January,Sunday,12 PM,Weekend
PAPER BUNTING PAISLEY PARK,6,2.95,17.7,2011,January,Tuesday,12 PM,Weekday
PAPER BUNTING PAISLEY PARK,2,2.95,5.9,2011,January,Tuesday,2 PM,Weekday
PAPER BUNTING PAISLEY PARK,6,2.95,17.7,2011,January,Wednesday,2 PM,Weekday
PAPER BUNTING PAISLEY PARK,2,2.95,5.9,2011,January,Wednesday,3 PM,Weekday
PAPER BUNTING PAISLEY PARK,3,2.95,8.85,2011,January,Thursday,11 AM,Weekday
PAPER BUNTING PAISLEY PARK,1,5.79,5.79,2011,January,Thursday,3 PM,Weekday
PAPER BUNTING PAISLEY PARK,2,2.95,5.9,2011,January,Thursday,3 PM,Weekday
PAPER BUNTING PAISLEY PARK,4,2.95,11.8,2011,January,Sunday,11 AM,Weekend
PAPER BUNTING PAISLEY PARK,2,2.95,5.9,2011,January,Sunday,12 PM,Weekend
PAPER BUNTING PAISLEY PARK,5,2.95,14.75,2011,January,Monday,2 PM,Weekday
PAPER BUNTING PAISLEY PARK,1,2.95,2.95,2011,January,Wednesday,12 PM,Weekday
PAPER BUNTING PAISLEY PARK,6,2.95,17.7,2011,January,Wednesday,2 PM,Weekday
PAPER BUNTING PAISLEY PARK,4,2.95,11.8,2011,January,Thursday,4 PM,Weekday
PAPER BUNTING PAISLEY PARK,6,2.95,17.7,2011,January,Thursday,5 PM,Weekday
PAPER BUNTING PAISLEY PARK,1,5.79,5.79,2011,January,Friday,2 PM,Weekday
PAPER BUNTING PAISLEY PARK,2,2.95,5.9,2011,January,Sunday,3 PM,Weekend
PAPER BUNTING PAISLEY PARK,40,2.55,102.0,2011,January,Monday,10 AM,Weekday
PAPER BUNTING PAISLEY PARK,6,2.95,17.7,2011,January,Monday,2 PM,Weekday
PAPER BUNTING PAISLEY PARK,1,5.79,5.79,2011,January,Tuesday,4 PM,Weekday
PAPER BUNTING PAISLEY PARK,3,2.95,8.85,2011,January,Wednesday,11 AM,Weekday
PAPER BUNTING PAISLEY PARK,6,2.95,17.7,2011,December,Friday,3 PM,Weekday
PAPER BUNTING PAISLEY PARK,1,2.95,2.95,2011,December,Sunday,2 PM,Weekend
PAPER BUNTING PAISLEY PARK,1,2.95,2.95,2011,December,Sunday,2 PM,Weekend
PAPER BUNTING PAISLEY PARK,4,2.95,11.8,2011,December,Monday,2 PM,Weekday
PAPER BUNTING PAISLEY PARK,40,2.55,102.0,2011,December,Monday,4 PM,Weekday
PAPER BUNTING PAISLEY PARK,6,2.95,17.7,2011,December,Tuesday,2 PM,Weekday
PAPER BUNTING PAISLEY PARK,1,2.95,2.95,2011,December,Wednesday,12 PM,Weekday
PAPER BUNTING PAISLEY PARK,1,2.95,2.95,2011,December,Wednesday,12 PM,Weekday
PAPER BUNTING PAISLEY PARK,80,2.55,204.0,2011,December,Wednesday,3 PM,Weekday
PAPER BUNTING PAISLEY PARK,1,2.95,2.95,2011,December,Thursday,6 PM,Weekday
