Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PAPER BUNTING WHITE LACE,1,2.95,2.95,2010,December,Wednesday,12 PM,Weekday
PAPER BUNTING WHITE LACE,2,5.91,11.82,2010,December,Wednesday,2 PM,Weekday
PAPER BUNTING WHITE LACE,2,2.95,5.9,2010,December,Thursday,3 PM,Weekday
PAPER BUNTING WHITE LACE,6,2.95,17.7,2010,December,Friday,2 PM,Weekday
PAPER BUNTING WHITE LACE,1,2.95,2.95,2010,December,Sunday,1 PM,Weekend
PAPER BUNTING WHITE LACE,1,2.95,2.95,2010,December,Sunday,4 PM,Weekend
PAPER BUNTING WHITE LACE,3,2.95,8.85,2010,December,Sunday,4 PM,Weekend
PAPER BUNTING WHITE LACE,2,2.95,5.9,2010,December,Sunday,4 PM,Weekend
PAPER BUNTING WHITE LACE,1,2.95,2.95,2010,December,Monday,2 PM,Weekday
PAPER BUNTING WHITE LACE,12,2.95,35.4,2010,December,Tuesday,12 PM,Weekday
PAPER BUNTING WHITE LACE,1,2.95,2.95,2010,December,Tuesday,3 PM,Weekday
PAPER BUNTING WHITE LACE,6,2.95,17.7,2010,December,Thursday,10 AM,Weekday
PAPER BUNTING WHITE LACE,2,2.95,5.9,2010,December,Sunday,4 PM,Weekend
PAPER BUNTING WHITE LACE,1,2.95,2.95,2010,December,Tuesday,12 PM,Weekday
PAPER BUNTING WHITE LACE,6,2.95,17.7,2010,December,Thursday,6 PM,Weekday
PAPER BUNTING WHITE LACE,1,2.95,2.95,2010,December,Thursday,7 PM,Weekday
PAPER BUNTING WHITE LACE,6,2.95,17.7,2010,December,Wednesday,1 PM,Weekday
PAPER BUNTING WHITE LACE,1,5.91,5.91,2010,December,Thursday,1 PM,Weekday
PAPER BUNTING WHITE LACE,40,2.55,102.0,2011,January,Wednesday,11 AM,Weekday
PAPER BUNTING WHITE LACE,6,2.95,17.7,2011,January,Wednesday,1 PM,Weekday
PAPER BUNTING WHITE LACE,4,2.95,11.8,2011,January,Thursday,1 PM,Weekday
PAPER BUNTING WHITE LACE,3,2.95,8.85,2011,January,Thursday,6 PM,Weekday
PAPER BUNTING WHITE LACE,10,5.91,59.1,2011,January,Friday,11 AM,Weekday
PAPER BUNTING WHITE LACE,6,2.95,17.7,2011,January,Friday,12 PM,Weekday
PAPER BUNTING WHITE LACE,8,2.95,23.6,2011,January,Monday,11 AM,Weekday
PAPER BUNTING WHITE LACE,12,2.95,35.4,2011,January,Tuesday,4 PM,Weekday
PAPER BUNTING WHITE LACE,2,5.91,11.82,2011,January,Wednesday,9 AM,Weekday
PAPER BUNTING WHITE LACE,3,2.95,8.85,2011,January,Thursday,10 AM,Weekday
PAPER BUNTING WHITE LACE,12,2.95,35.4,2011,January,Friday,8 AM,Weekday
PAPER BUNTING WHITE LACE,4,5.79,23.16,2011,January,Friday,2 PM,Weekday
PAPER BUNTING WHITE LACE,40,2.55,102.0,2011,January,Monday,12 PM,Weekday
PAPER BUNTING WHITE LACE,3,2.95,8.85,2011,January,Monday,2 PM,Weekday
PAPER BUNTING WHITE LACE,6,2.95,17.7,2011,January,Monday,4 PM,Weekday
PAPER BUNTING WHITE LACE,3,5.79,17.37,2011,January,Monday,5 PM,Weekday
PAPER BUNTING WHITE LACE,1,5.79,5.79,2011,January,Monday,5 PM,Weekday
PAPER BUNTING WHITE LACE,4,5.79,23.16,2011,January,Monday,5 PM,Weekday
PAPER BUNTING WHITE LACE,6,2.95,17.7,2011,January,Thursday,10 AM,Weekday
PAPER BUNTING WHITE LACE,6,2.95,17.7,2011,January,Thursday,12 PM,Weekday
PAPER BUNTING WHITE LACE,4,5.79,23.16,2011,January,Thursday,6 PM,Weekday
PAPER BUNTING WHITE LACE,3,5.79,17.37,2011,January,Thursday,6 PM,Weekday
PAPER BUNTING WHITE LACE,12,2.95,35.4,2011,January,Friday,11 AM,Weekday
PAPER BUNTING WHITE LACE,6,2.95,17.7,2011,January,Sunday,12 PM,Weekend
PAPER BUNTING WHITE LACE,1,2.95,2.95,2011,January,Sunday,2 PM,Weekend
PAPER BUNTING WHITE LACE,1,5.79,5.79,2011,January,Monday,9 AM,Weekday
PAPER BUNTING WHITE LACE,24,2.95,70.8,2011,January,Monday,1 PM,Weekday
PAPER BUNTING WHITE LACE,12,2.95,35.4,2011,January,Monday,1 PM,Weekday
PAPER BUNTING WHITE LACE,2,5.79,11.58,2011,January,Monday,1 PM,Weekday
PAPER BUNTING WHITE LACE,6,2.95,17.7,2011,January,Tuesday,8 AM,Weekday
PAPER BUNTING WHITE LACE,40,2.55,102.0,2011,January,Wednesday,11 AM,Weekday
PAPER BUNTING WHITE LACE,40,2.55,102.0,2011,January,Wednesday,12 PM,Weekday
PAPER BUNTING WHITE LACE,3,5.79,17.37,2011,January,Wednesday,4 PM,Weekday
PAPER BUNTING WHITE LACE,2,2.95,5.9,2011,January,Thursday,11 AM,Weekday
PAPER BUNTING WHITE LACE,2,2.95,5.9,2011,January,Monday,10 AM,Weekday
PAPER BUNTING WHITE LACE,1,5.79,5.79,2011,January,Monday,12 PM,Weekday
PAPER BUNTING WHITE LACE,40,2.55,102.0,2011,February,Tuesday,1 PM,Weekday
PAPER BUNTING WHITE LACE,12,2.95,35.4,2011,February,Wednesday,10 AM,Weekday
PAPER BUNTING WHITE LACE,13,2.95,38.35,2011,February,Wednesday,5 PM,Weekday
PAPER BUNTING WHITE LACE,12,2.95,35.4,2011,February,Friday,12 PM,Weekday
PAPER BUNTING WHITE LACE,8,2.95,23.6,2011,February,Friday,1 PM,Weekday
PAPER BUNTING WHITE LACE,6,2.95,17.7,2011,February,Monday,10 AM,Weekday
PAPER BUNTING WHITE LACE,6,2.95,17.7,2011,February,Monday,1 PM,Weekday
PAPER BUNTING WHITE LACE,2,5.79,11.58,2011,February,Monday,2 PM,Weekday
PAPER BUNTING WHITE LACE,18,2.95,53.1,2011,February,Monday,3 PM,Weekday
PAPER BUNTING WHITE LACE,18,2.95,53.1,2011,February,Monday,3 PM,Weekday
PAPER BUNTING WHITE LACE,1,5.79,5.79,2011,February,Tuesday,11 AM,Weekday
PAPER BUNTING WHITE LACE,6,2.95,17.7,2011,February,Tuesday,12 PM,Weekday
PAPER BUNTING WHITE LACE,6,2.95,17.7,2011,February,Tuesday,2 PM,Weekday
PAPER BUNTING WHITE LACE,40,2.55,102.0,2011,February,Wednesday,11 AM,Weekday
PAPER BUNTING WHITE LACE,3,5.79,17.37,2011,February,Wednesday,4 PM,Weekday
PAPER BUNTING WHITE LACE,1,5.79,5.79,2011,February,Friday,10 AM,Weekday
PAPER BUNTING WHITE LACE,6,2.95,17.7,2011,February,Friday,11 AM,Weekday
PAPER BUNTING WHITE LACE,12,2.95,35.4,2011,February,Sunday,3 PM,Weekend
PAPER BUNTING WHITE LACE,3,2.95,8.85,2011,February,Sunday,3 PM,Weekend
PAPER BUNTING WHITE LACE,3,2.95,8.85,2011,February,Sunday,3 PM,Weekend
PAPER BUNTING WHITE LACE,1,2.95,2.95,2011,February,Monday,3 PM,Weekday
PAPER BUNTING WHITE LACE,3,2.95,8.85,2011,February,Tuesday,5 PM,Weekday
PAPER BUNTING WHITE LACE,14,2.95,41.3,2011,February,Wednesday,10 AM,Weekday
PAPER BUNTING WHITE LACE,40,2.55,102.0,2011,February,Wednesday,11 AM,Weekday
PAPER BUNTING WHITE LACE,40,2.55,102.0,2011,February,Wednesday,2 PM,Weekday
