Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PAPER CHAIN KIT RETROSPOT,1,2.95,2.95,2010,December,Wednesday,9 AM,Weekday
PAPER CHAIN KIT RETROSPOT,4,5.91,23.64,2010,December,Wednesday,2 PM,Weekday
PAPER CHAIN KIT RETROSPOT,2,5.91,11.82,2010,December,Wednesday,5 PM,Weekday
PAPER CHAIN KIT RETROSPOT,6,2.95,17.7,2010,December,Thursday,12 PM,Weekday
PAPER CHAIN KIT RETROSPOT,12,2.95,35.4,2010,December,Thursday,2 PM,Weekday
PAPER CHAIN KIT RETROSPOT,6,2.95,17.7,2010,December,Thursday,5 PM,Weekday
PAPER CHAIN KIT RETROSPOT,14,2.95,41.3,2010,December,Friday,10 AM,Weekday
PAPER CHAIN KIT RETROSPOT,1,2.95,2.95,2010,December,Friday,11 AM,Weekday
PAPER CHAIN KIT RETROSPOT,1,5.91,5.91,2010,December,Friday,11 AM,Weekday
PAPER CHAIN KIT RETROSPOT,12,2.95,35.4,2010,December,Friday,12 PM,Weekday
PAPER CHAIN KIT RETROSPOT,4,6.77,27.08,2010,December,Friday,2 PM,Weekday
PAPER CHAIN KIT RETROSPOT,10,2.95,29.5,2010,December,Sunday,10 AM,Weekend
PAPER CHAIN KIT RETROSPOT,3,2.95,8.85,2010,December,Sunday,12 PM,Weekend
PAPER CHAIN KIT RETROSPOT,5,2.95,14.75,2010,December,Sunday,1 PM,Weekend
PAPER CHAIN KIT RETROSPOT,2,5.91,11.82,2010,December,Monday,9 AM,Weekday
PAPER CHAIN KIT RETROSPOT,3,5.91,17.73,2010,December,Monday,10 AM,Weekday
PAPER CHAIN KIT RETROSPOT,6,2.95,17.7,2010,December,Monday,11 AM,Weekday
PAPER CHAIN KIT RETROSPOT,12,2.95,35.4,2010,December,Monday,11 AM,Weekday
PAPER CHAIN KIT RETROSPOT,3,2.95,8.85,2010,December,Monday,12 PM,Weekday
PAPER CHAIN KIT RETROSPOT,1,2.95,2.95,2010,December,Monday,12 PM,Weekday
PAPER CHAIN KIT RETROSPOT,3,5.91,17.73,2010,December,Monday,4 PM,Weekday
PAPER CHAIN KIT RETROSPOT,6,2.95,17.7,2010,December,Tuesday,1 PM,Weekday
PAPER CHAIN KIT RETROSPOT,14,6.77,94.78,2010,December,Tuesday,3 PM,Weekday
PAPER CHAIN KIT RETROSPOT,1,2.95,2.95,2010,December,Tuesday,3 PM,Weekday
PAPER CHAIN KIT RETROSPOT,1,5.91,5.91,2010,December,Tuesday,6 PM,Weekday
PAPER CHAIN KIT RETROSPOT,6,2.95,17.7,2010,December,Wednesday,12 PM,Weekday
PAPER CHAIN KIT RETROSPOT,4,2.95,11.8,2010,December,Wednesday,12 PM,Weekday
PAPER CHAIN KIT RETROSPOT,40,2.55,102.0,2010,December,Wednesday,1 PM,Weekday
PAPER CHAIN KIT RETROSPOT,3,5.91,17.73,2010,December,Wednesday,2 PM,Weekday
PAPER CHAIN KIT RETROSPOT,1,2.95,2.95,2010,December,Wednesday,2 PM,Weekday
PAPER CHAIN KIT RETROSPOT,12,2.95,35.4,2010,December,Wednesday,2 PM,Weekday
PAPER CHAIN KIT RETROSPOT,6,2.95,17.7,2010,December,Wednesday,3 PM,Weekday
PAPER CHAIN KIT RETROSPOT,18,2.95,53.1,2010,December,Wednesday,3 PM,Weekday
PAPER CHAIN KIT RETROSPOT,6,2.95,17.7,2010,December,Thursday,10 AM,Weekday
PAPER CHAIN KIT RETROSPOT,4,5.91,23.64,2010,December,Thursday,2 PM,Weekday
PAPER CHAIN KIT RETROSPOT,12,2.95,35.4,2010,December,Thursday,2 PM,Weekday
PAPER CHAIN KIT RETROSPOT,4,5.91,23.64,2010,December,Friday,9 AM,Weekday
PAPER CHAIN KIT RETROSPOT,3,2.95,8.85,2010,December,Friday,1 PM,Weekday
PAPER CHAIN KIT RETROSPOT,4,5.91,23.64,2010,December,Friday,2 PM,Weekday
PAPER CHAIN KIT RETROSPOT,23,6.77,155.71,2010,December,Friday,3 PM,Weekday
PAPER CHAIN KIT RETROSPOT,4,2.95,11.8,2010,December,Friday,4 PM,Weekday
PAPER CHAIN KIT RETROSPOT,10,2.95,29.5,2010,December,Sunday,11 AM,Weekend
PAPER CHAIN KIT RETROSPOT,3,2.95,8.85,2010,December,Sunday,1 PM,Weekend
