Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2010,December,Wednesday,11 AM,Weekday
PARTY CONE CHRISTMAS DECORATION,12,0.85,10.2,2010,December,Wednesday,1 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,2,8.47,16.94,2010,December,Wednesday,2 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,12,0.85,10.2,2010,December,Wednesday,3 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,12,0.85,10.2,2010,December,Thursday,11 AM,Weekday
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2010,December,Thursday,11 AM,Weekday
PARTY CONE CHRISTMAS DECORATION,18,0.85,15.3,2010,December,Friday,10 AM,Weekday
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2010,December,Friday,11 AM,Weekday
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2010,December,Friday,2 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2010,December,Sunday,11 AM,Weekend
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2010,December,Sunday,2 PM,Weekend
PARTY CONE CHRISTMAS DECORATION,4,8.47,33.88,2010,December,Monday,10 AM,Weekday
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2010,December,Monday,11 AM,Weekday
PARTY CONE CHRISTMAS DECORATION,42,0.85,35.7,2010,December,Monday,1 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,12,0.85,10.2,2010,December,Monday,3 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,1,8.47,8.47,2010,December,Monday,4 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2010,December,Tuesday,2 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,1,8.47,8.47,2010,December,Tuesday,3 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,2,8.47,16.94,2010,December,Tuesday,6 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2010,December,Wednesday,12 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,1,8.47,8.47,2010,December,Wednesday,2 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2010,December,Wednesday,3 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,2,8.47,16.94,2010,December,Thursday,2 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,12,0.85,10.2,2010,December,Friday,10 AM,Weekday
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2010,December,Friday,11 AM,Weekday
PARTY CONE CHRISTMAS DECORATION,12,0.85,10.2,2010,December,Sunday,11 AM,Weekend
PARTY CONE CHRISTMAS DECORATION,12,0.85,10.2,2010,December,Sunday,11 AM,Weekend
PARTY CONE CHRISTMAS DECORATION,30,0.85,25.5,2010,December,Sunday,4 PM,Weekend
PARTY CONE CHRISTMAS DECORATION,1,8.47,8.47,2010,December,Monday,9 AM,Weekday
PARTY CONE CHRISTMAS DECORATION,12,0.85,10.2,2010,December,Monday,9 AM,Weekday
PARTY CONE CHRISTMAS DECORATION,24,0.85,20.4,2010,December,Monday,12 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2010,December,Monday,1 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,24,0.85,20.4,2010,December,Tuesday,3 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2010,December,Wednesday,2 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,1,8.47,8.47,2010,December,Friday,2 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,2,8.47,16.94,2010,December,Friday,5 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,1,8.47,8.47,2010,December,Monday,10 AM,Weekday
PARTY CONE CHRISTMAS DECORATION,2,8.47,16.94,2010,December,Monday,3 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,12,0.85,10.2,2011,February,Thursday,4 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2011,February,Sunday,11 AM,Weekend
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2011,March,Tuesday,12 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,2,8.29,16.58,2011,April,Tuesday,5 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,24,0.85,20.4,2011,June,Thursday,2 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,30,0.85,25.5,2011,July,Tuesday,1 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2011,July,Sunday,12 PM,Weekend
PARTY CONE CHRISTMAS DECORATION,144,0.72,103.68,2011,August,Sunday,2 PM,Weekend
PARTY CONE CHRISTMAS DECORATION,36,0.85,30.6,2011,August,Friday,4 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,12,0.85,10.2,2011,August,Monday,12 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,24,0.85,20.4,2011,August,Sunday,4 PM,Weekend
PARTY CONE CHRISTMAS DECORATION,5,0.85,4.25,2011,August,Wednesday,2 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2011,August,Wednesday,4 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,12,0.85,10.2,2011,September,Sunday,12 PM,Weekend
PARTY CONE CHRISTMAS DECORATION,24,0.85,20.4,2011,September,Tuesday,10 AM,Weekday
PARTY CONE CHRISTMAS DECORATION,6,1.38,8.28,2011,September,Friday,4 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,12,0.85,10.2,2011,September,Wednesday,2 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,12,0.85,10.2,2011,September,Wednesday,11 AM,Weekday
PARTY CONE CHRISTMAS DECORATION,36,0.85,30.6,2011,September,Wednesday,1 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,18,0.85,15.3,2011,September,Thursday,12 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,6,0.85,5.1,2011,September,Friday,1 PM,Weekday
PARTY CONE CHRISTMAS DECORATION,12,0.85,10.2,2011,September,Sunday,12 PM,Weekend
PARTY CONE CHRISTMAS DECORATION,24,0.85,20.4,2011,September,Sunday,2 PM,Weekend
PARTY CONE CHRISTMAS DECORATION,12,0.85,10.2,2011,September,Tuesday,10 AM,Weekday
PARTY CONE CHRISTMAS DECORATION,12,0.85,10.2,2011,September,Wednesday,2 PM,Weekday
