Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2010,December,Wednesday,10 AM,Weekday
PARTY CONES CANDY ASSORTED,6,1.25,7.5,2010,December,Wednesday,1 PM,Weekday
PARTY CONES CANDY ASSORTED,60,1.25,75.0,2010,December,Friday,9 AM,Weekday
PARTY CONES CANDY ASSORTED,6,1.25,7.5,2010,December,Sunday,1 PM,Weekend
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2010,December,Sunday,2 PM,Weekend
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2010,December,Monday,12 PM,Weekday
PARTY CONES CANDY ASSORTED,24,1.25,30.0,2010,December,Wednesday,1 PM,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2010,December,Friday,9 AM,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2011,January,Wednesday,5 PM,Weekday
PARTY CONES CANDY ASSORTED,24,1.06,25.44,2011,January,Friday,1 PM,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2011,January,Thursday,12 PM,Weekday
PARTY CONES CANDY ASSORTED,24,1.25,30.0,2011,January,Monday,11 AM,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2011,February,Monday,9 AM,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2011,February,Monday,11 AM,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2011,February,Thursday,2 PM,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2011,February,Monday,1 PM,Weekday
PARTY CONES CANDY ASSORTED,24,1.25,30.0,2011,March,Friday,12 PM,Weekday
PARTY CONES CANDY ASSORTED,6,1.25,7.5,2011,March,Monday,5 PM,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2011,March,Tuesday,10 AM,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2011,March,Wednesday,11 AM,Weekday
PARTY CONES CANDY ASSORTED,24,1.25,30.0,2011,March,Wednesday,12 PM,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2011,March,Friday,2 PM,Weekday
PARTY CONES CANDY ASSORTED,120,1.06,127.2,2011,March,Friday,3 PM,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2011,March,Monday,9 AM,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2011,March,Monday,12 PM,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2011,March,Wednesday,3 PM,Weekday
PARTY CONES CANDY ASSORTED,120,1.06,127.2,2011,March,Monday,4 PM,Weekday
PARTY CONES CANDY ASSORTED,18,1.25,22.5,2011,March,Tuesday,10 AM,Weekday
PARTY CONES CANDY ASSORTED,24,1.25,30.0,2011,March,Thursday,11 AM,Weekday
PARTY CONES CANDY ASSORTED,6,1.25,7.5,2011,March,Friday,2 PM,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2011,April,Wednesday,3 PM,Weekday
PARTY CONES CANDY ASSORTED,3,12.46,37.38,2011,April,Thursday,7 PM,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2011,April,Friday,11 AM,Weekday
PARTY CONES CANDY ASSORTED,12,1.25,15.0,2011,April,Sunday,12 PM,Weekend
PARTY CONES CANDY ASSORTED,6,1.25,7.5,2011,April,Sunday,1 PM,Weekend
