Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PARTY INVITES DINOSAURS,12,0.85,10.2,2010,December,Thursday,5 PM,Weekday
PARTY INVITES DINOSAURS,12,0.85,10.2,2010,December,Wednesday,12 PM,Weekday
PARTY INVITES DINOSAURS,1,0.85,0.85,2010,December,Tuesday,10 AM,Weekday
PARTY INVITES DINOSAURS,5,0.85,4.25,2011,January,Tuesday,2 PM,Weekday
PARTY INVITES DINOSAURS,12,0.85,10.2,2011,January,Thursday,3 PM,Weekday
PARTY INVITES DINOSAURS,1,0.85,0.85,2011,January,Sunday,12 PM,Weekend
PARTY INVITES DINOSAURS,12,0.85,10.2,2011,January,Wednesday,9 AM,Weekday
PARTY INVITES DINOSAURS,12,0.85,10.2,2011,January,Thursday,9 AM,Weekday
PARTY INVITES DINOSAURS,2,0.85,1.7,2011,January,Wednesday,3 PM,Weekday
PARTY INVITES DINOSAURS,3,0.85,2.55,2011,January,Thursday,3 PM,Weekday
PARTY INVITES DINOSAURS,1,1.63,1.63,2011,January,Monday,10 AM,Weekday
PARTY INVITES DINOSAURS,1,0.85,0.85,2011,January,Monday,3 PM,Weekday
PARTY INVITES DINOSAURS,6,0.85,5.1,2011,January,Monday,4 PM,Weekday
PARTY INVITES DINOSAURS,3,0.85,2.55,2011,February,Tuesday,11 AM,Weekday
PARTY INVITES DINOSAURS,12,0.85,10.2,2011,February,Tuesday,2 PM,Weekday
PARTY INVITES DINOSAURS,12,0.85,10.2,2011,February,Friday,10 AM,Weekday
PARTY INVITES DINOSAURS,24,0.85,20.4,2011,February,Tuesday,11 AM,Weekday
PARTY INVITES DINOSAURS,24,0.85,20.4,2011,February,Wednesday,11 AM,Weekday
PARTY INVITES DINOSAURS,2,0.85,1.7,2011,February,Thursday,12 PM,Weekday
PARTY INVITES DINOSAURS,3,0.85,2.55,2011,February,Thursday,12 PM,Weekday
PARTY INVITES DINOSAURS,2,0.85,1.7,2011,February,Wednesday,12 PM,Weekday
PARTY INVITES DINOSAURS,4,0.85,3.4,2011,February,Thursday,11 AM,Weekday
PARTY INVITES DINOSAURS,1,0.85,0.85,2011,March,Wednesday,5 PM,Weekday
PARTY INVITES DINOSAURS,12,0.85,10.2,2011,March,Monday,2 PM,Weekday
PARTY INVITES DINOSAURS,1,1.63,1.63,2011,March,Tuesday,3 PM,Weekday
PARTY INVITES DINOSAURS,2,1.63,3.26,2011,March,Wednesday,3 PM,Weekday
PARTY INVITES DINOSAURS,5,0.85,4.25,2011,March,Thursday,1 PM,Weekday
PARTY INVITES DINOSAURS,6,0.85,5.1,2011,March,Friday,12 PM,Weekday
PARTY INVITES DINOSAURS,12,0.85,10.2,2011,March,Friday,3 PM,Weekday
PARTY INVITES DINOSAURS,12,0.85,10.2,2011,March,Tuesday,10 AM,Weekday
PARTY INVITES DINOSAURS,12,0.85,10.2,2011,April,Friday,2 PM,Weekday
PARTY INVITES DINOSAURS,3,0.85,2.55,2011,April,Monday,1 PM,Weekday
PARTY INVITES DINOSAURS,6,0.85,5.1,2011,April,Wednesday,5 PM,Weekday
