Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2010,December,Wednesday,11 AM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2010,December,Thursday,10 AM,Weekday
PARTY INVITES SPACEMAN,2,0.85,1.7,2010,December,Friday,11 AM,Weekday
PARTY INVITES SPACEMAN,4,0.85,3.4,2010,December,Tuesday,1 PM,Weekday
PARTY INVITES SPACEMAN,36,0.85,30.6,2010,December,Friday,1 PM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,January,Thursday,3 PM,Weekday
PARTY INVITES SPACEMAN,10,0.85,8.5,2011,January,Friday,2 PM,Weekday
PARTY INVITES SPACEMAN,1,0.85,0.85,2011,January,Sunday,12 PM,Weekend
PARTY INVITES SPACEMAN,4,0.85,3.4,2011,January,Wednesday,4 PM,Weekday
PARTY INVITES SPACEMAN,4,0.85,3.4,2011,January,Thursday,3 PM,Weekday
PARTY INVITES SPACEMAN,1,0.85,0.85,2011,January,Monday,3 PM,Weekday
PARTY INVITES SPACEMAN,4,0.85,3.4,2011,January,Thursday,4 PM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,February,Wednesday,3 PM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,February,Tuesday,2 PM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,February,Friday,10 AM,Weekday
PARTY INVITES SPACEMAN,2,0.85,1.7,2011,February,Sunday,12 PM,Weekend
PARTY INVITES SPACEMAN,24,0.85,20.4,2011,February,Wednesday,11 AM,Weekday
PARTY INVITES SPACEMAN,4,0.85,3.4,2011,February,Thursday,12 PM,Weekday
PARTY INVITES SPACEMAN,4,0.85,3.4,2011,February,Thursday,11 AM,Weekday
PARTY INVITES SPACEMAN,1,0.85,0.85,2011,March,Wednesday,5 PM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,March,Friday,9 AM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,March,Friday,12 PM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,March,Monday,12 PM,Weekday
PARTY INVITES SPACEMAN,2,0.85,1.7,2011,April,Monday,2 PM,Weekday
PARTY INVITES SPACEMAN,1,0.85,0.85,2011,April,Thursday,12 PM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,April,Wednesday,1 PM,Weekday
PARTY INVITES SPACEMAN,4,0.85,3.4,2011,April,Wednesday,5 PM,Weekday
PARTY INVITES SPACEMAN,4,0.85,3.4,2011,April,Wednesday,12 PM,Weekday
PARTY INVITES SPACEMAN,1,1.63,1.63,2011,May,Friday,3 PM,Weekday
PARTY INVITES SPACEMAN,2,0.85,1.7,2011,May,Tuesday,10 AM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,May,Sunday,2 PM,Weekend
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,June,Thursday,12 PM,Weekday
PARTY INVITES SPACEMAN,3,0.85,2.55,2011,June,Sunday,1 PM,Weekend
PARTY INVITES SPACEMAN,1,0.85,0.85,2011,June,Wednesday,11 AM,Weekday
PARTY INVITES SPACEMAN,4,0.85,3.4,2011,June,Thursday,11 AM,Weekday
PARTY INVITES SPACEMAN,5,0.85,4.25,2011,June,Friday,4 PM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,June,Tuesday,9 AM,Weekday
PARTY INVITES SPACEMAN,1,0.83,0.83,2011,June,Monday,3 PM,Weekday
PARTY INVITES SPACEMAN,5,0.83,4.15,2011,June,Wednesday,3 PM,Weekday
PARTY INVITES SPACEMAN,1,0.83,0.83,2011,July,Monday,10 AM,Weekday
PARTY INVITES SPACEMAN,4,0.83,3.32,2011,July,Wednesday,4 PM,Weekday
PARTY INVITES SPACEMAN,1,0.83,0.83,2011,July,Thursday,4 PM,Weekday
PARTY INVITES SPACEMAN,2,0.85,1.7,2011,July,Monday,5 PM,Weekday
PARTY INVITES SPACEMAN,5,0.83,4.15,2011,July,Tuesday,4 PM,Weekday
PARTY INVITES SPACEMAN,2,0.83,1.66,2011,July,Tuesday,4 PM,Weekday
PARTY INVITES SPACEMAN,2,0.85,1.7,2011,July,Sunday,12 PM,Weekend
PARTY INVITES SPACEMAN,6,0.85,5.1,2011,July,Monday,1 PM,Weekday
PARTY INVITES SPACEMAN,1,0.83,0.83,2011,July,Monday,3 PM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,July,Tuesday,9 AM,Weekday
PARTY INVITES SPACEMAN,3,0.83,2.49,2011,July,Wednesday,4 PM,Weekday
PARTY INVITES SPACEMAN,2,0.83,1.66,2011,July,Wednesday,4 PM,Weekday
PARTY INVITES SPACEMAN,10,0.83,8.3,2011,July,Friday,9 AM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,July,Monday,8 AM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,July,Monday,10 AM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,August,Tuesday,11 AM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,August,Tuesday,11 AM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,August,Thursday,1 PM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,September,Thursday,11 AM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,September,Monday,10 AM,Weekday
PARTY INVITES SPACEMAN,12,0.85,10.2,2011,September,Monday,10 AM,Weekday
PARTY INVITES SPACEMAN,4,0.85,3.4,2011,September,Tuesday,1 PM,Weekday
