Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PARTY TIME DESIGN FLANNEL,2,0.85,1.7,2010,December,Sunday,12 PM,Weekend
PARTY TIME DESIGN FLANNEL,1,1.66,1.66,2010,December,Monday,10 AM,Weekday
PARTY TIME DESIGN FLANNEL,1,1.63,1.63,2011,January,Friday,2 PM,Weekday
PARTY TIME DESIGN FLANNEL,1,1.63,1.63,2011,January,Monday,5 PM,Weekday
PARTY TIME DESIGN FLANNEL,1,1.63,1.63,2011,January,Wednesday,4 PM,Weekday
PARTY TIME DESIGN FLANNEL,1,0.85,0.85,2011,March,Thursday,12 PM,Weekday
PARTY TIME DESIGN FLANNEL,12,0.85,10.2,2011,March,Wednesday,1 PM,Weekday
PARTY TIME DESIGN FLANNEL,12,0.85,10.2,2011,May,Wednesday,11 AM,Weekday
PARTY TIME DESIGN FLANNEL,12,0.85,10.2,2011,June,Wednesday,9 AM,Weekday
PARTY TIME DESIGN FLANNEL,1,0.83,0.83,2011,June,Wednesday,3 PM,Weekday
PARTY TIME DESIGN FLANNEL,1,0.83,0.83,2011,July,Tuesday,5 PM,Weekday
PARTY TIME DESIGN FLANNEL,1,0.83,0.83,2011,July,Friday,3 PM,Weekday
PARTY TIME DESIGN FLANNEL,1,0.83,0.83,2011,July,Monday,4 PM,Weekday
PARTY TIME DESIGN FLANNEL,1,0.83,0.83,2011,July,Tuesday,4 PM,Weekday
PARTY TIME DESIGN FLANNEL,12,0.85,10.2,2011,July,Wednesday,12 PM,Weekday
PARTY TIME DESIGN FLANNEL,1,0.83,0.83,2011,July,Friday,4 PM,Weekday
PARTY TIME DESIGN FLANNEL,1,0.83,0.83,2011,July,Monday,3 PM,Weekday
PARTY TIME DESIGN FLANNEL,1,0.83,0.83,2011,July,Friday,9 AM,Weekday
PARTY TIME DESIGN FLANNEL,2,0.85,1.7,2011,September,Tuesday,12 PM,Weekday
PARTY TIME DESIGN FLANNEL,12,0.85,10.2,2011,February,Thursday,2 PM,Weekday
PARTY TIME DESIGN FLANNEL,1,0.85,0.85,2011,January,Wednesday,12 PM,Weekday
PARTY TIME DESIGN FLANNEL,1,1.63,1.63,2011,January,Thursday,9 AM,Weekday
PARTY TIME DESIGN FLANNEL,1,0.85,0.85,2011,January,Monday,11 AM,Weekday
PARTY TIME DESIGN FLANNEL,5,0.39,1.95,2011,December,Monday,2 PM,Weekday
PARTY TIME DESIGN FLANNEL,1,1.63,1.63,2011,December,Thursday,9 AM,Weekday
