Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PENS ASSORTED FUNNY FACE,36,0.85,30.6,2010,December,Wednesday,11 AM,Weekday
PENS ASSORTED FUNNY FACE,4,1.66,6.64,2010,December,Monday,4 PM,Weekday
PENS ASSORTED FUNNY FACE,1,1.66,1.66,2010,December,Tuesday,3 PM,Weekday
PENS ASSORTED FUNNY FACE,3,1.66,4.98,2010,December,Friday,2 PM,Weekday
PENS ASSORTED FUNNY FACE,36,0.21,7.56,2010,December,Monday,2 PM,Weekday
PENS ASSORTED FUNNY FACE,36,0.21,7.56,2010,December,Wednesday,9 AM,Weekday
PENS ASSORTED FUNNY FACE,72,0.21,15.12,2010,December,Wednesday,11 AM,Weekday
PENS ASSORTED FUNNY FACE,72,0.21,15.12,2010,December,Wednesday,2 PM,Weekday
PENS ASSORTED FUNNY FACE,36,0.21,7.56,2010,December,Thursday,11 AM,Weekday
PENS ASSORTED FUNNY FACE,72,0.21,15.12,2010,December,Thursday,2 PM,Weekday
PENS ASSORTED FUNNY FACE,180,0.21,37.8,2010,December,Thursday,5 PM,Weekday
PENS ASSORTED FUNNY FACE,36,0.21,7.56,2010,December,Thursday,5 PM,Weekday
PENS ASSORTED FUNNY FACE,108,0.21,22.68,2010,December,Monday,1 PM,Weekday
PENS ASSORTED FUNNY FACE,36,0.21,7.56,2011,January,Tuesday,12 PM,Weekday
PENS ASSORTED FUNNY FACE,36,0.21,7.56,2011,January,Wednesday,10 AM,Weekday
PENS ASSORTED FUNNY FACE,36,0.21,7.56,2011,January,Wednesday,10 AM,Weekday
PENS ASSORTED FUNNY FACE,36,0.21,7.56,2011,January,Wednesday,3 PM,Weekday
PENS ASSORTED FUNNY FACE,36,0.21,7.56,2011,January,Thursday,9 AM,Weekday
PENS ASSORTED FUNNY FACE,36,0.21,7.56,2011,January,Friday,2 PM,Weekday
PENS ASSORTED FUNNY FACE,36,0.21,7.56,2011,January,Sunday,3 PM,Weekend
PENS ASSORTED FUNNY FACE,36,0.21,7.56,2011,January,Monday,11 AM,Weekday
PENS ASSORTED FUNNY FACE,2,1.66,3.32,2011,January,Monday,2 PM,Weekday
PENS ASSORTED FUNNY FACE,36,0.21,7.56,2011,January,Friday,9 AM,Weekday
PENS ASSORTED FUNNY FACE,1,1.63,1.63,2011,January,Monday,1 PM,Weekday
PENS ASSORTED FUNNY FACE,72,0.21,15.12,2011,January,Tuesday,10 AM,Weekday
