Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PICNIC BASKET WICKER SMALL,4,5.95,23.8,2010,December,Wednesday,10 AM,Weekday
PICNIC BASKET WICKER SMALL,2,5.95,11.9,2010,December,Wednesday,11 AM,Weekday
PICNIC BASKET WICKER SMALL,8,5.95,47.6,2010,December,Thursday,11 AM,Weekday
PICNIC BASKET WICKER SMALL,4,5.95,23.8,2010,December,Thursday,11 AM,Weekday
PICNIC BASKET WICKER SMALL,3,5.95,17.85,2010,December,Thursday,5 PM,Weekday
PICNIC BASKET WICKER SMALL,4,5.95,23.8,2010,December,Thursday,6 PM,Weekday
PICNIC BASKET WICKER SMALL,32,4.95,158.4,2010,December,Thursday,6 PM,Weekday
PICNIC BASKET WICKER SMALL,1,5.95,5.95,2010,December,Thursday,7 PM,Weekday
PICNIC BASKET WICKER SMALL,2,8.47,16.94,2010,December,Friday,11 AM,Weekday
PICNIC BASKET WICKER SMALL,2,8.47,16.94,2010,December,Friday,11 AM,Weekday
PICNIC BASKET WICKER SMALL,3,8.47,25.41,2010,December,Friday,11 AM,Weekday
PICNIC BASKET WICKER SMALL,2,5.95,11.9,2010,December,Sunday,1 PM,Weekend
PICNIC BASKET WICKER SMALL,1,8.47,8.47,2010,December,Monday,9 AM,Weekday
PICNIC BASKET WICKER SMALL,4,5.95,23.8,2010,December,Monday,1 PM,Weekday
PICNIC BASKET WICKER SMALL,4,8.47,33.88,2010,December,Monday,4 PM,Weekday
PICNIC BASKET WICKER SMALL,1,8.47,8.47,2010,December,Tuesday,3 PM,Weekday
PICNIC BASKET WICKER SMALL,1,8.47,8.47,2010,December,Tuesday,3 PM,Weekday
PICNIC BASKET WICKER SMALL,3,8.47,25.41,2010,December,Tuesday,3 PM,Weekday
PICNIC BASKET WICKER SMALL,1,8.47,8.47,2010,December,Tuesday,6 PM,Weekday
PICNIC BASKET WICKER SMALL,1,5.95,5.95,2010,December,Wednesday,12 PM,Weekday
PICNIC BASKET WICKER SMALL,1,5.95,5.95,2010,December,Wednesday,3 PM,Weekday
PICNIC BASKET WICKER SMALL,4,5.95,23.8,2010,December,Thursday,1 PM,Weekday
PICNIC BASKET WICKER SMALL,3,8.47,25.41,2010,December,Thursday,2 PM,Weekday
PICNIC BASKET WICKER SMALL,4,5.95,23.8,2010,December,Thursday,4 PM,Weekday
PICNIC BASKET WICKER SMALL,2,8.47,16.94,2010,December,Friday,9 AM,Weekday
PICNIC BASKET WICKER SMALL,2,5.95,11.9,2010,December,Friday,11 AM,Weekday
PICNIC BASKET WICKER SMALL,2,5.95,11.9,2010,December,Friday,11 AM,Weekday
PICNIC BASKET WICKER SMALL,1,5.95,5.95,2010,December,Friday,12 PM,Weekday
PICNIC BASKET WICKER SMALL,3,8.47,25.41,2010,December,Friday,2 PM,Weekday
PICNIC BASKET WICKER SMALL,2,5.95,11.9,2010,December,Friday,4 PM,Weekday
PICNIC BASKET WICKER SMALL,2,8.47,16.94,2010,December,Monday,9 AM,Weekday
