Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PING MICROWAVE APRON,1,5.95,5.95,2010,December,Sunday,12 PM,Weekend
PING MICROWAVE APRON,1,5.06,5.06,2010,December,Tuesday,3 PM,Weekday
PING MICROWAVE APRON,3,5.95,17.85,2010,December,Wednesday,1 PM,Weekday
PING MICROWAVE APRON,4,5.06,20.24,2010,December,Friday,2 PM,Weekday
PING MICROWAVE APRON,1,5.06,5.06,2010,December,Monday,9 AM,Weekday
PING MICROWAVE APRON,1,5.06,5.06,2010,December,Friday,2 PM,Weekday
PING MICROWAVE APRON,1,5.06,5.06,2010,December,Friday,5 PM,Weekday
PING MICROWAVE APRON,1,5.06,5.06,2010,December,Monday,1 PM,Weekday
PING MICROWAVE APRON,1,5.06,5.06,2010,December,Monday,3 PM,Weekday
PING MICROWAVE APRON,1,5.95,5.95,2010,December,Thursday,11 AM,Weekday
PING MICROWAVE APRON,1,5.06,5.06,2010,December,Thursday,1 PM,Weekday
PING MICROWAVE APRON,1,5.06,5.06,2011,January,Thursday,2 PM,Weekday
PING MICROWAVE APRON,1,5.06,5.06,2011,January,Monday,2 PM,Weekday
PING MICROWAVE APRON,1,5.06,5.06,2011,January,Monday,4 PM,Weekday
PING MICROWAVE APRON,1,5.06,5.06,2011,January,Wednesday,3 PM,Weekday
PING MICROWAVE APRON,1,4.96,4.96,2011,January,Thursday,6 PM,Weekday
PING MICROWAVE APRON,1,5.95,5.95,2011,January,Thursday,3 PM,Weekday
PING MICROWAVE APRON,2,4.96,9.92,2011,February,Thursday,6 PM,Weekday
PING MICROWAVE APRON,3,1.95,5.85,2011,March,Tuesday,3 PM,Weekday
PING MICROWAVE APRON,2,4.13,8.26,2011,March,Tuesday,3 PM,Weekday
PING MICROWAVE APRON,2,1.95,3.9,2011,March,Wednesday,3 PM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,March,Friday,2 PM,Weekday
PING MICROWAVE APRON,2,1.95,3.9,2011,March,Sunday,12 PM,Weekend
PING MICROWAVE APRON,12,1.95,23.4,2011,March,Wednesday,1 PM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,April,Sunday,12 PM,Weekend
PING MICROWAVE APRON,1,4.13,4.13,2011,April,Thursday,7 PM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,April,Thursday,1 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,April,Monday,3 PM,Weekday
PING MICROWAVE APRON,6,1.95,11.7,2011,April,Wednesday,12 PM,Weekday
PING MICROWAVE APRON,3,1.95,5.85,2011,April,Wednesday,1 PM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,May,Thursday,9 AM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,May,Friday,3 PM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,May,Thursday,9 AM,Weekday
PING MICROWAVE APRON,2,1.95,3.9,2011,May,Thursday,1 PM,Weekday
PING MICROWAVE APRON,3,4.13,12.39,2011,May,Tuesday,3 PM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,May,Sunday,1 PM,Weekend
PING MICROWAVE APRON,1,4.13,4.13,2011,June,Thursday,3 PM,Weekday
PING MICROWAVE APRON,1,1.95,1.95,2011,June,Sunday,2 PM,Weekend
PING MICROWAVE APRON,12,1.95,23.4,2011,June,Monday,11 AM,Weekday
PING MICROWAVE APRON,1,1.95,1.95,2011,June,Wednesday,11 AM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,June,Friday,3 PM,Weekday
PING MICROWAVE APRON,2,1.95,3.9,2011,June,Sunday,2 PM,Weekend
PING MICROWAVE APRON,2,1.95,3.9,2011,June,Tuesday,12 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,June,Wednesday,3 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,July,Monday,4 PM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,July,Wednesday,9 AM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,July,Wednesday,10 AM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,July,Wednesday,12 PM,Weekday
PING MICROWAVE APRON,2,1.95,3.9,2011,July,Monday,11 AM,Weekday
PING MICROWAVE APRON,1,1.95,1.95,2011,July,Wednesday,11 AM,Weekday
PING MICROWAVE APRON,5,1.95,9.75,2011,July,Thursday,3 PM,Weekday
PING MICROWAVE APRON,3,1.95,5.85,2011,July,Sunday,11 AM,Weekend
PING MICROWAVE APRON,12,1.95,23.4,2011,July,Sunday,1 PM,Weekend
PING MICROWAVE APRON,1,4.13,4.13,2011,August,Friday,4 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,August,Monday,3 PM,Weekday
PING MICROWAVE APRON,2,1.95,3.9,2011,August,Sunday,10 AM,Weekend
PING MICROWAVE APRON,1,1.95,1.95,2011,August,Wednesday,11 AM,Weekday
PING MICROWAVE APRON,1,1.95,1.95,2011,August,Wednesday,5 PM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,August,Thursday,1 PM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,August,Thursday,3 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,September,Friday,9 AM,Weekday
PING MICROWAVE APRON,1,1.95,1.95,2011,September,Friday,5 PM,Weekday
PING MICROWAVE APRON,2,1.95,3.9,2011,September,Sunday,1 PM,Weekend
PING MICROWAVE APRON,4,1.95,7.8,2011,September,Tuesday,10 AM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,September,Thursday,3 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,September,Tuesday,4 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,September,Thursday,4 PM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,September,Friday,12 PM,Weekday
PING MICROWAVE APRON,4,1.95,7.8,2011,September,Sunday,12 PM,Weekend
PING MICROWAVE APRON,1,4.13,4.13,2011,September,Monday,3 PM,Weekday
PING MICROWAVE APRON,1,1.95,1.95,2011,September,Tuesday,12 PM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,September,Friday,10 AM,Weekday
PING MICROWAVE APRON,1,1.95,1.95,2011,February,Thursday,6 PM,Weekday
PING MICROWAVE APRON,3,1.95,5.85,2011,February,Sunday,1 PM,Weekend
PING MICROWAVE APRON,2,4.13,8.26,2011,February,Monday,5 PM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,February,Tuesday,10 AM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,February,Wednesday,9 AM,Weekday
PING MICROWAVE APRON,2,4.13,8.26,2011,February,Monday,1 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,February,Monday,3 PM,Weekday
PING MICROWAVE APRON,3,1.95,5.85,2011,February,Wednesday,3 PM,Weekday
PING MICROWAVE APRON,1,1.95,1.95,2011,February,Wednesday,3 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,February,Wednesday,4 PM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,February,Thursday,10 AM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,February,Monday,5 PM,Weekday
PING MICROWAVE APRON,5,1.95,9.75,2011,February,Tuesday,1 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,February,Monday,2 PM,Weekday
PING MICROWAVE APRON,1,1.95,1.95,2011,January,Wednesday,2 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,January,Wednesday,3 PM,Weekday
PING MICROWAVE APRON,2,4.13,8.26,2011,January,Thursday,3 PM,Weekday
PING MICROWAVE APRON,2,1.95,3.9,2011,January,Sunday,2 PM,Weekend
PING MICROWAVE APRON,3,4.13,12.39,2011,January,Tuesday,6 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,January,Friday,9 AM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,January,Friday,1 PM,Weekday
PING MICROWAVE APRON,2,4.13,8.26,2011,January,Friday,5 PM,Weekday
PING MICROWAVE APRON,3,4.13,12.39,2011,January,Monday,3 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,January,Tuesday,5 PM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,January,Thursday,11 AM,Weekday
PING MICROWAVE APRON,12,1.95,23.4,2011,January,Thursday,1 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,January,Friday,3 PM,Weekday
PING MICROWAVE APRON,1,1.95,1.95,2011,January,Sunday,12 PM,Weekend
PING MICROWAVE APRON,1,4.13,4.13,2011,January,Monday,3 PM,Weekday
PING MICROWAVE APRON,3,4.13,12.39,2011,January,Wednesday,1 PM,Weekday
PING MICROWAVE APRON,4,1.95,7.8,2011,January,Sunday,4 PM,Weekend
PING MICROWAVE APRON,1,4.13,4.13,2011,January,Tuesday,4 PM,Weekday
PING MICROWAVE APRON,2,4.13,8.26,2011,January,Wednesday,3 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,December,Friday,4 PM,Weekday
PING MICROWAVE APRON,3,0.79,2.37,2011,December,Sunday,11 AM,Weekend
PING MICROWAVE APRON,1,0.79,0.79,2011,December,Sunday,12 PM,Weekend
PING MICROWAVE APRON,1,0.79,0.79,2011,December,Sunday,12 PM,Weekend
PING MICROWAVE APRON,2,0.79,1.58,2011,December,Sunday,1 PM,Weekend
PING MICROWAVE APRON,1,0.79,0.79,2011,December,Sunday,2 PM,Weekend
PING MICROWAVE APRON,12,0.79,9.48,2011,December,Sunday,3 PM,Weekend
PING MICROWAVE APRON,2,4.13,8.26,2011,December,Monday,5 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,December,Monday,5 PM,Weekday
PING MICROWAVE APRON,1,4.13,4.13,2011,December,Monday,5 PM,Weekday
PING MICROWAVE APRON,12,0.79,9.48,2011,December,Tuesday,11 AM,Weekday
PING MICROWAVE APRON,12,0.79,9.48,2011,December,Tuesday,12 PM,Weekday
PING MICROWAVE APRON,1,0.79,0.79,2011,December,Tuesday,12 PM,Weekday
