Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PINK  HEART SHAPE LOVE BUCKET,2,5.91,11.82,2010,December,Wednesday,2 PM,Weekday
PINK  HEART SHAPE LOVE BUCKET,2,2.95,5.9,2010,December,Friday,12 PM,Weekday
PINK  HEART SHAPE LOVE BUCKET,1,2.95,2.95,2010,December,Sunday,3 PM,Weekend
PINK  HEART SHAPE LOVE BUCKET,5,2.95,14.75,2010,December,Wednesday,2 PM,Weekday
PINK  HEART SHAPE LOVE BUCKET,6,2.95,17.7,2010,December,Thursday,4 PM,Weekday
PINK  HEART SHAPE LOVE BUCKET,6,2.95,17.7,2010,December,Monday,3 PM,Weekday
PINK  HEART SHAPE LOVE BUCKET,1,2.95,2.95,2010,December,Tuesday,11 AM,Weekday
PINK  HEART SHAPE LOVE BUCKET,1,2.95,2.95,2011,January,Tuesday,11 AM,Weekday
PINK  HEART SHAPE LOVE BUCKET,2,2.95,5.9,2011,January,Friday,2 PM,Weekday
PINK  HEART SHAPE LOVE BUCKET,1,2.95,2.95,2011,January,Wednesday,1 PM,Weekday
PINK  HEART SHAPE LOVE BUCKET,3,2.95,8.85,2011,January,Thursday,10 AM,Weekday
PINK  HEART SHAPE LOVE BUCKET,1,5.79,5.79,2011,January,Thursday,2 PM,Weekday
PINK  HEART SHAPE LOVE BUCKET,2,2.95,5.9,2011,January,Sunday,11 AM,Weekend
PINK  HEART SHAPE LOVE BUCKET,2,5.79,11.58,2011,January,Monday,5 PM,Weekday
PINK  HEART SHAPE LOVE BUCKET,2,2.95,5.9,2011,January,Tuesday,1 PM,Weekday
PINK  HEART SHAPE LOVE BUCKET,3,2.95,8.85,2011,January,Wednesday,4 PM,Weekday
PINK  HEART SHAPE LOVE BUCKET,2,5.79,11.58,2011,January,Tuesday,10 AM,Weekday
PINK  HEART SHAPE LOVE BUCKET,2,2.95,5.9,2011,January,Tuesday,11 AM,Weekday
PINK  HEART SHAPE LOVE BUCKET,1,2.95,2.95,2011,January,Thursday,12 PM,Weekday
PINK  HEART SHAPE LOVE BUCKET,60,2.55,153.0,2011,February,Tuesday,10 AM,Weekday
PINK  HEART SHAPE LOVE BUCKET,2,2.95,5.9,2011,February,Tuesday,1 PM,Weekday
PINK  HEART SHAPE LOVE BUCKET,1,2.95,2.95,2011,February,Tuesday,2 PM,Weekday
PINK  HEART SHAPE LOVE BUCKET,3,2.95,8.85,2011,February,Tuesday,4 PM,Weekday
PINK  HEART SHAPE LOVE BUCKET,6,2.95,17.7,2011,February,Wednesday,12 PM,Weekday
PINK  HEART SHAPE LOVE BUCKET,1,5.79,5.79,2011,February,Thursday,11 AM,Weekday
