Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PINK  HONEYCOMB PAPER FAN,2,4.21,8.42,2010,December,Monday,9 AM,Weekday
PINK  HONEYCOMB PAPER FAN,10,2.1,21.0,2010,December,Wednesday,3 PM,Weekday
PINK  HONEYCOMB PAPER FAN,15,2.1,31.5,2010,December,Wednesday,4 PM,Weekday
PINK  HONEYCOMB PAPER FAN,1,1.66,1.66,2011,January,Tuesday,1 PM,Weekday
PINK  HONEYCOMB PAPER FAN,1,1.66,1.66,2011,January,Monday,9 AM,Weekday
PINK  HONEYCOMB PAPER FAN,2,1.66,3.32,2011,January,Tuesday,1 PM,Weekday
PINK  HONEYCOMB PAPER FAN,1,1.66,1.66,2011,January,Wednesday,9 AM,Weekday
PINK  HONEYCOMB PAPER FAN,1,1.63,1.63,2011,January,Thursday,9 AM,Weekday
PINK  HONEYCOMB PAPER FAN,2,1.63,3.26,2011,January,Thursday,2 PM,Weekday
PINK  HONEYCOMB PAPER FAN,1,1.63,1.63,2011,January,Friday,2 PM,Weekday
PINK  HONEYCOMB PAPER FAN,1,4.13,4.13,2011,January,Tuesday,4 PM,Weekday
PINK  HONEYCOMB PAPER FAN,10,1.63,16.3,2011,January,Tuesday,5 PM,Weekday
PINK  HONEYCOMB PAPER FAN,2,1.63,3.26,2011,January,Thursday,6 PM,Weekday
PINK  HONEYCOMB PAPER FAN,3,1.63,4.89,2011,January,Thursday,6 PM,Weekday
PINK  HONEYCOMB PAPER FAN,2,1.63,3.26,2011,January,Friday,5 PM,Weekday
PINK  HONEYCOMB PAPER FAN,1,4.13,4.13,2011,February,Wednesday,12 PM,Weekday
PINK  HONEYCOMB PAPER FAN,1,2.1,2.1,2011,February,Thursday,11 AM,Weekday
PINK  HONEYCOMB PAPER FAN,24,2.1,50.4,2011,February,Wednesday,9 AM,Weekday
PINK  HONEYCOMB PAPER FAN,3,4.13,12.39,2011,March,Thursday,4 PM,Weekday
PINK  HONEYCOMB PAPER FAN,1,4.13,4.13,2011,March,Monday,10 AM,Weekday
PINK  HONEYCOMB PAPER FAN,1,2.1,2.1,2011,March,Wednesday,3 PM,Weekday
PINK  HONEYCOMB PAPER FAN,1,2.1,2.1,2011,March,Wednesday,3 PM,Weekday
PINK  HONEYCOMB PAPER FAN,3,4.13,12.39,2011,March,Friday,12 PM,Weekday
PINK  HONEYCOMB PAPER FAN,2,2.1,4.2,2011,April,Thursday,7 PM,Weekday
PINK  HONEYCOMB PAPER FAN,2,4.13,8.26,2011,April,Friday,3 PM,Weekday
PINK  HONEYCOMB PAPER FAN,2,2.1,4.2,2011,April,Tuesday,2 PM,Weekday
PINK  HONEYCOMB PAPER FAN,1,2.1,2.1,2011,May,Friday,12 PM,Weekday
PINK  HONEYCOMB PAPER FAN,1,4.13,4.13,2011,May,Tuesday,3 PM,Weekday
PINK  HONEYCOMB PAPER FAN,12,0.65,7.8,2011,June,Thursday,11 AM,Weekday
PINK  HONEYCOMB PAPER FAN,36,0.65,23.4,2011,June,Sunday,3 PM,Weekend
PINK  HONEYCOMB PAPER FAN,7,0.65,4.55,2011,June,Monday,11 AM,Weekday
PINK  HONEYCOMB PAPER FAN,12,0.65,7.8,2011,June,Monday,1 PM,Weekday
PINK  HONEYCOMB PAPER FAN,1,4.13,4.13,2011,June,Tuesday,5 PM,Weekday
PINK  HONEYCOMB PAPER FAN,2,4.13,8.26,2011,June,Friday,3 PM,Weekday
PINK  HONEYCOMB PAPER FAN,48,0.65,31.2,2011,June,Monday,12 PM,Weekday
PINK  HONEYCOMB PAPER FAN,24,0.65,15.6,2011,July,Friday,3 PM,Weekday
PINK  HONEYCOMB PAPER FAN,12,0.65,7.8,2011,July,Monday,3 PM,Weekday
PINK  HONEYCOMB PAPER FAN,1,0.65,0.65,2011,July,Wednesday,1 PM,Weekday
PINK  HONEYCOMB PAPER FAN,2,4.13,8.26,2011,July,Thursday,4 PM,Weekday
PINK  HONEYCOMB PAPER FAN,12,0.65,7.8,2011,August,Tuesday,10 AM,Weekday
PINK  HONEYCOMB PAPER FAN,12,0.65,7.8,2011,August,Wednesday,12 PM,Weekday
PINK  HONEYCOMB PAPER FAN,1,0.65,0.65,2011,August,Wednesday,12 PM,Weekday
PINK  HONEYCOMB PAPER FAN,3,4.13,12.39,2011,August,Monday,3 PM,Weekday
PINK  HONEYCOMB PAPER FAN,12,0.65,7.8,2011,August,Tuesday,11 AM,Weekday
PINK  HONEYCOMB PAPER FAN,12,0.65,7.8,2011,August,Wednesday,9 AM,Weekday
PINK  HONEYCOMB PAPER FAN,14,4.13,57.82,2011,August,Tuesday,12 PM,Weekday
PINK  HONEYCOMB PAPER FAN,12,0.65,7.8,2011,September,Tuesday,2 PM,Weekday
PINK  HONEYCOMB PAPER FAN,12,0.65,7.8,2011,September,Friday,12 PM,Weekday
PINK  HONEYCOMB PAPER FAN,12,0.65,7.8,2011,September,Wednesday,11 AM,Weekday
PINK  HONEYCOMB PAPER FAN,3,0.65,1.95,2011,September,Thursday,1 PM,Weekday
PINK  HONEYCOMB PAPER FAN,1,0.65,0.65,2011,February,Thursday,11 AM,Weekday
PINK  HONEYCOMB PAPER FAN,2,0.65,1.3,2011,February,Sunday,4 PM,Weekend
PINK  HONEYCOMB PAPER FAN,1,0.65,0.65,2011,February,Monday,12 PM,Weekday
PINK  HONEYCOMB PAPER FAN,36,0.65,23.4,2011,February,Thursday,9 AM,Weekday
PINK  HONEYCOMB PAPER FAN,12,0.65,7.8,2011,February,Wednesday,12 PM,Weekday
PINK  HONEYCOMB PAPER FAN,2,0.65,1.3,2011,January,Sunday,1 PM,Weekend
PINK  HONEYCOMB PAPER FAN,6,0.65,3.9,2011,January,Wednesday,4 PM,Weekday
PINK  HONEYCOMB PAPER FAN,12,0.65,7.8,2011,January,Thursday,11 AM,Weekday
PINK  HONEYCOMB PAPER FAN,3,0.65,1.95,2011,January,Thursday,2 PM,Weekday
PINK  HONEYCOMB PAPER FAN,12,0.65,7.8,2011,January,Friday,9 AM,Weekday
PINK  HONEYCOMB PAPER FAN,12,0.65,7.8,2011,January,Thursday,9 AM,Weekday
PINK  HONEYCOMB PAPER FAN,6,0.65,3.9,2011,January,Thursday,4 PM,Weekday
PINK  HONEYCOMB PAPER FAN,8,0.65,5.2,2011,December,Thursday,2 PM,Weekday
PINK  HONEYCOMB PAPER FAN,12,0.65,7.8,2011,December,Thursday,7 PM,Weekday
PINK  HONEYCOMB PAPER FAN,12,0.65,7.8,2011,December,Thursday,11 AM,Weekday
PINK  HONEYCOMB PAPER FAN,2,0.65,1.3,2011,December,Friday,11 AM,Weekday
PINK  HONEYCOMB PAPER FAN,1,0.65,0.65,2011,December,Friday,11 AM,Weekday
