Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PINK BABY BUNTING,1,5.91,5.91,2010,December,Wednesday,5 PM,Weekday
PINK BABY BUNTING,1,5.91,5.91,2010,December,Friday,11 AM,Weekday
PINK BABY BUNTING,1,5.91,5.91,2010,December,Monday,9 AM,Weekday
PINK BABY BUNTING,1,5.91,5.91,2010,December,Tuesday,3 PM,Weekday
PINK BABY BUNTING,1,5.91,5.91,2010,December,Thursday,2 PM,Weekday
PINK BABY BUNTING,1,5.91,5.91,2010,December,Thursday,4 PM,Weekday
PINK BABY BUNTING,1,5.91,5.91,2010,December,Friday,2 PM,Weekday
PINK BABY BUNTING,2,5.91,11.82,2010,December,Monday,11 AM,Weekday
PINK BABY BUNTING,2,5.91,11.82,2010,December,Tuesday,3 PM,Weekday
PINK BABY BUNTING,1,5.91,5.91,2010,December,Friday,2 PM,Weekday
PINK BABY BUNTING,1,5.91,5.91,2010,December,Friday,2 PM,Weekday
PINK BABY BUNTING,1,5.91,5.91,2010,December,Friday,4 PM,Weekday
PINK BABY BUNTING,5,2.95,14.75,2010,December,Sunday,2 PM,Weekend
PINK BABY BUNTING,1,5.91,5.91,2010,December,Tuesday,3 PM,Weekday
PINK BABY BUNTING,1,5.91,5.91,2010,December,Tuesday,3 PM,Weekday
PINK BABY BUNTING,1,5.91,5.91,2010,December,Tuesday,3 PM,Weekday
PINK BABY BUNTING,10,2.95,29.5,2011,January,Thursday,11 AM,Weekday
PINK BABY BUNTING,5,2.95,14.75,2011,January,Thursday,1 PM,Weekday
PINK BABY BUNTING,5,2.95,14.75,2011,January,Friday,12 PM,Weekday
PINK BABY BUNTING,1,5.91,5.91,2011,January,Friday,1 PM,Weekday
PINK BABY BUNTING,50,2.55,127.5,2011,January,Wednesday,3 PM,Weekday
PINK BABY BUNTING,5,2.95,14.75,2011,January,Thursday,1 PM,Weekday
PINK BABY BUNTING,15,2.95,44.25,2011,January,Friday,9 AM,Weekday
PINK BABY BUNTING,2,5.79,11.58,2011,January,Friday,10 AM,Weekday
PINK BABY BUNTING,1,5.79,5.79,2011,January,Friday,10 AM,Weekday
