Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PINK CAT FLORAL CUSHION COVER,1,3.75,3.75,2010,December,Thursday,4 PM,Weekday
PINK CAT FLORAL CUSHION COVER,1,4.13,4.13,2011,May,Thursday,3 PM,Weekday
PINK CAT FLORAL CUSHION COVER,2,4.13,8.26,2011,May,Friday,3 PM,Weekday
PINK CAT FLORAL CUSHION COVER,1,4.13,4.13,2011,May,Friday,4 PM,Weekday
PINK CAT FLORAL CUSHION COVER,2,4.13,8.26,2011,May,Wednesday,4 PM,Weekday
PINK CAT FLORAL CUSHION COVER,1,4.13,4.13,2011,May,Tuesday,3 PM,Weekday
PINK CAT FLORAL CUSHION COVER,1,4.13,4.13,2011,May,Tuesday,3 PM,Weekday
PINK CAT FLORAL CUSHION COVER,1,4.13,4.13,2011,May,Wednesday,5 PM,Weekday
PINK CAT FLORAL CUSHION COVER,1,4.13,4.13,2011,May,Tuesday,3 PM,Weekday
PINK CAT FLORAL CUSHION COVER,1,4.13,4.13,2011,June,Monday,4 PM,Weekday
PINK CAT FLORAL CUSHION COVER,1,3.75,3.75,2011,June,Tuesday,12 PM,Weekday
PINK CAT FLORAL CUSHION COVER,1,4.13,4.13,2011,June,Thursday,3 PM,Weekday
PINK CAT FLORAL CUSHION COVER,1,4.13,4.13,2011,June,Friday,5 PM,Weekday
PINK CAT FLORAL CUSHION COVER,2,4.13,8.26,2011,June,Tuesday,5 PM,Weekday
PINK CAT FLORAL CUSHION COVER,4,3.75,15.0,2011,June,Monday,1 PM,Weekday
PINK CAT FLORAL CUSHION COVER,1,4.13,4.13,2011,June,Thursday,3 PM,Weekday
PINK CAT FLORAL CUSHION COVER,2,4.13,8.26,2011,June,Wednesday,3 PM,Weekday
PINK CAT FLORAL CUSHION COVER,1,4.13,4.13,2011,June,Thursday,3 PM,Weekday
