Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,4.21,4.21,2010,December,Wednesday,2 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,3,4.21,12.63,2010,December,Wednesday,5 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,1.95,1.95,2010,December,Thursday,12 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,50,1.65,82.5,2010,December,Thursday,1 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,8,1.95,15.6,2010,December,Thursday,2 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,8,1.95,15.6,2010,December,Thursday,4 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,12,5.06,60.72,2010,December,Friday,2 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,1.95,1.95,2010,December,Sunday,10 AM,Weekend
PINK FAIRY CAKE CHILDRENS APRON,1,1.95,1.95,2010,December,Sunday,12 PM,Weekend
PINK FAIRY CAKE CHILDRENS APRON,2,1.95,3.9,2010,December,Sunday,12 PM,Weekend
PINK FAIRY CAKE CHILDRENS APRON,6,1.95,11.7,2010,December,Sunday,12 PM,Weekend
PINK FAIRY CAKE CHILDRENS APRON,8,1.95,15.6,2010,December,Monday,12 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,4.21,4.21,2010,December,Monday,4 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,8,1.95,15.6,2010,December,Tuesday,9 AM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,25,5.06,126.5,2010,December,Tuesday,3 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,1.95,1.95,2010,December,Tuesday,3 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,8,1.95,15.6,2010,December,Wednesday,12 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,8,1.95,15.6,2010,December,Wednesday,1 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,2,4.21,8.42,2010,December,Wednesday,2 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,2,1.95,3.9,2010,December,Thursday,1 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,2,1.95,3.9,2010,December,Thursday,6 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,1.95,1.95,2010,December,Thursday,8 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,2,4.21,8.42,2010,December,Friday,9 AM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,3,1.95,5.85,2010,December,Friday,12 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,8,1.95,15.6,2010,December,Friday,12 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,2,4.21,8.42,2010,December,Friday,2 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,9,5.06,45.54,2010,December,Friday,3 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,2,4.21,8.42,2010,December,Monday,9 AM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,4,1.95,7.8,2010,December,Monday,12 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,8,1.95,15.6,2010,December,Tuesday,9 AM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,1.95,1.95,2010,December,Tuesday,10 AM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,2,1.95,3.9,2010,December,Tuesday,2 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,1.95,1.95,2010,December,Tuesday,2 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,26,5.06,131.56,2010,December,Tuesday,3 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,5,1.95,9.75,2010,December,Wednesday,2 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,8,1.95,15.6,2010,December,Thursday,12 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,8,1.95,15.6,2010,December,Friday,11 AM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,4.21,4.21,2010,December,Friday,2 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,4.21,4.21,2010,December,Friday,2 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,2,4.21,8.42,2010,December,Friday,4 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,4.21,4.21,2010,December,Friday,5 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,4.21,4.21,2010,December,Tuesday,12 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,4,5.06,20.24,2010,December,Tuesday,3 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,25,1.65,41.25,2011,January,Tuesday,2 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,2,1.95,3.9,2011,January,Tuesday,3 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,1.95,1.95,2011,January,Tuesday,3 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,147,1.65,242.55,2011,January,Thursday,10 AM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,8,1.95,15.6,2011,February,Thursday,5 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,6,1.95,11.7,2011,February,Friday,1 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,3,1.95,5.85,2011,February,Monday,11 AM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,4.13,4.13,2011,February,Monday,12 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,4.96,4.96,2011,February,Wednesday,12 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,4.96,4.96,2011,February,Thursday,3 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,8,1.95,15.6,2011,February,Tuesday,12 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,8,1.95,15.6,2011,February,Tuesday,1 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,16,1.95,31.2,2011,February,Tuesday,2 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,8,1.95,15.6,2011,February,Wednesday,1 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,10,1.95,19.5,2011,February,Wednesday,2 PM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,4.96,4.96,2011,February,Thursday,10 AM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,2,4.96,9.92,2011,February,Thursday,10 AM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,4.96,4.96,2011,February,Thursday,10 AM,Weekday
PINK FAIRY CAKE CHILDRENS APRON,1,4.96,4.96,2011,February,Thursday,10 AM,Weekday
