Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PINK HEART SHAPE PHOTO FRAME,2,1.65,3.3,2010,December,Thursday,1 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,1,1.65,1.65,2010,December,Sunday,4 PM,Weekend
PINK HEART SHAPE PHOTO FRAME,2,1.65,3.3,2010,December,Sunday,4 PM,Weekend
PINK HEART SHAPE PHOTO FRAME,1,3.36,3.36,2010,December,Monday,9 AM,Weekday
PINK HEART SHAPE PHOTO FRAME,1,3.36,3.36,2010,December,Tuesday,3 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,1,1.65,1.65,2010,December,Wednesday,12 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,12,1.65,19.8,2010,December,Thursday,2 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,3,1.65,4.95,2011,January,Friday,10 AM,Weekday
PINK HEART SHAPE PHOTO FRAME,12,1.65,19.8,2011,January,Sunday,11 AM,Weekend
PINK HEART SHAPE PHOTO FRAME,12,1.65,19.8,2011,January,Sunday,3 PM,Weekend
PINK HEART SHAPE PHOTO FRAME,6,1.65,9.9,2011,January,Wednesday,1 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,1,1.65,1.65,2011,January,Sunday,4 PM,Weekend
PINK HEART SHAPE PHOTO FRAME,1,1.65,1.65,2011,January,Sunday,4 PM,Weekend
PINK HEART SHAPE PHOTO FRAME,1,3.29,3.29,2011,January,Monday,5 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,13,1.65,21.45,2011,January,Thursday,3 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,3,1.65,4.95,2011,January,Thursday,11 AM,Weekday
PINK HEART SHAPE PHOTO FRAME,1,1.65,1.65,2011,January,Monday,3 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,12,1.65,19.8,2011,February,Wednesday,11 AM,Weekday
PINK HEART SHAPE PHOTO FRAME,12,1.65,19.8,2011,February,Thursday,2 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,2,1.65,3.3,2011,February,Wednesday,3 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,6,1.65,9.9,2011,March,Sunday,12 PM,Weekend
PINK HEART SHAPE PHOTO FRAME,1,1.65,1.65,2011,March,Thursday,1 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,2,3.29,6.58,2011,April,Tuesday,11 AM,Weekday
PINK HEART SHAPE PHOTO FRAME,2,1.65,3.3,2011,April,Thursday,1 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,6,1.65,9.9,2011,May,Sunday,11 AM,Weekend
PINK HEART SHAPE PHOTO FRAME,12,1.65,19.8,2011,May,Monday,8 AM,Weekday
PINK HEART SHAPE PHOTO FRAME,1,1.65,1.65,2011,May,Monday,11 AM,Weekday
PINK HEART SHAPE PHOTO FRAME,3,1.65,4.95,2011,May,Tuesday,1 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,1,3.29,3.29,2011,June,Thursday,4 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,2,3.29,6.58,2011,June,Thursday,3 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,1,1.65,1.65,2011,June,Thursday,4 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,1,3.29,3.29,2011,July,Tuesday,5 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,1,3.29,3.29,2011,July,Thursday,4 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,12,1.65,19.8,2011,July,Thursday,3 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,1,3.29,3.29,2011,July,Friday,4 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,1,1.65,1.65,2011,July,Sunday,3 PM,Weekend
PINK HEART SHAPE PHOTO FRAME,12,1.65,19.8,2011,August,Wednesday,1 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,2,3.29,6.58,2011,August,Wednesday,4 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,1,1.65,1.65,2011,August,Tuesday,2 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,4,1.65,6.6,2011,August,Monday,2 PM,Weekday
PINK HEART SHAPE PHOTO FRAME,151,1.45,218.95,2011,August,Wednesday,1 PM,Weekday
