Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PINK MONTE CARLO HANDBAG,1,16.98,16.98,2010,December,Friday,2 PM,Weekday
PINK MONTE CARLO HANDBAG,2,8.5,17.0,2011,February,Tuesday,2 PM,Weekday
PINK MONTE CARLO HANDBAG,2,8.5,17.0,2011,March,Wednesday,12 PM,Weekday
PINK MONTE CARLO HANDBAG,12,1.95,23.4,2011,April,Wednesday,2 PM,Weekday
PINK MONTE CARLO HANDBAG,12,1.95,23.4,2011,June,Friday,1 PM,Weekday
PINK MONTE CARLO HANDBAG,12,1.95,23.4,2011,June,Wednesday,10 AM,Weekday
PINK MONTE CARLO HANDBAG,24,1.95,46.8,2011,June,Tuesday,4 PM,Weekday
PINK MONTE CARLO HANDBAG,12,1.95,23.4,2011,June,Thursday,1 PM,Weekday
PINK MONTE CARLO HANDBAG,12,1.95,23.4,2011,June,Thursday,11 AM,Weekday
PINK MONTE CARLO HANDBAG,9,1.95,17.55,2011,July,Monday,3 PM,Weekday
